# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 IC348_20151222_00019_850 "2015-12-22 05:28:58.995731" 2457378.7284605987 00019 54.0 0.064 0.01182 Jy/bm 1.007665695363056 0.015136111838139033 0.0 0.0
2 IC348_20160115_00022_850 "2016-01-15 07:49:27.998493" 2457402.826018501 00022 66.0 0.072 0.009275 Jy/bm 1.035233469181242 0.00804343432367687 2.658641363014307 0.9132131999490412
3 IC348_20160205_00018_850 "2016-02-05 06:25:21.996331" 2457423.7676156983 00018 67.0 0.037 0.0129 Jy/bm 0.9585252929018787 0.014201337906007838 2.3521606140109976 4.049147843757623
4 IC348_20160226_00020_850 "2016-02-26 06:57:02.001636" 2457444.7896065004 00020 44.0 0.054 0.01206 Jy/bm 0.9591239240279751 0.013335190300611564 2.8278901815670507 3.9827849026082163
5 IC348_20160318_00027_850 "2016-03-18 05:55:16.996908" 2457465.7467245013 00027 39.0 0.048 0.01117 Jy/bm 0.9346644184181988 0.017217902750496884 5.346806617099271 0.7814110806299368
6 IC348_20160417_00009_850 "2016-04-17 04:18:08.997138" 2457495.6792708 00009 35.0 0.036 0.01157 Jy/bm 0.9153823738458757 0.0045376634548740255 2.9824114826342885 4.2648744612091605
7 IC348_20160826_00040_850 "2016-08-26 19:09:50.002620" 2457627.2984954007 00040 39.0 0.082 0.01497 Jy/bm 0.9593314527765541 0.017476109515085676 4.374097812829757 -0.6364816648087412
8 IC348_20161126_00022_850 "2016-11-26 06:00:05.996025" 2457718.7500693984 00022 40.0 0.049 0.009727 Jy/bm 1.2118067787257623 0.030727039702483104 4.673272001758877 0.09634955897865893
9 IC348_20170209_00028_850 "2017-02-09 07:43:20.003386" 2457793.8217592984 00028 46.0 0.089 0.01224 Jy/bm 1.0182665947594571 0.024943223387598162 3.0589107372645903 4.018197914165
10 IC348_20170320_00019_850 "2017-03-20 05:26:02.998939" 2457832.726423599 00019 43.0 0.086 0.01141 Jy/bm 0.9668831674482631 0.004334836306396235 4.3869227943236195 4.506460496000955
11 IC348_20170624_00025_850 "2017-06-24 17:01:58.995988" 2457929.2097106017 00025 50.0 0.098 0.01175 Jy/bm 0.9174100554969291 0.009113209554899712 3.7663438047542193 2.766725794378999
12 IC348_20170801_00044_850 "2017-08-01 15:01:14.001610" 2457967.1258565 00044 57.0 0.089 0.0096 Jy/bm 1.0549505065590252 0.00595643591253649 2.928025636822698 1.0892043836207677
