# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 NGC2071_20151226_00052_850 "2015-12-26 11:51:40.003195" 2457382.994213 00052 51.0 0.116 0.01373 Jy/bm 0.9471906545541439 0.01021528188162118 0.0 0.0
2 NGC2071_20160116_00027_850 "2016-01-16 08:20:14.997125" 2457403.8473958 00027 70.0 0.058 0.008191 Jy/bm 1.1349812931189591 0.008953868014312258 1.6019927306243988 -2.602622362678151
3 NGC2071_20160206_00015_850 "2016-02-06 05:17:32.003360" 2457424.720509298 00015 58.0 0.046 0.01115 Jy/bm 1.0805708051990652 0.01615696588412716 -0.4813157678151424 -2.7103028051921987
4 NGC2071_20160229_00013_850 "2016-02-29 04:30:14.998913" 2457447.6876735985 00013 65.0 0.042 0.01245 Jy/bm 0.9874808817072847 0.009757680828944496 -0.5324638613990544 -0.43354362831905124
5 NGC2071_20160329_00011_850 "2016-03-29 04:53:23.999949" 2457476.7037499994 00011 62.0 0.056 0.01045 Jy/bm 0.9927699307795625 0.005802126442055415 0.28223490831094245 -2.068152014542335
6 NGC2071_20160427_00013_850 "2016-04-27 05:10:56.999910" 2457505.715937499 00013 34.0 0.052 0.01617 Jy/bm 0.7709916190428434 0.01499842404734341 1.726890203174825 -1.2723321959666767
7 NGC2071_20160827_00053_850 "2016-08-27 14:28:46.001394" 2457628.1033102013 00053 42.0 0.083 0.01209 Jy/bm 0.9689330616589789 0.007792375307330733 2.1641884619276914 -1.3801239117745112
8 NGC2071_20161120_00088_850 "2016-11-20 14:56:29.996231" 2457713.122569401 00088 41.0 0.093 0.01258 Jy/bm 0.930382821734464 0.017701070091333974 1.794877876428494 -3.5505659649635963
9 NGC2071_20161126_00056_850 "2016-11-26 12:05:01.000178" 2457719.0034837984 00056 69.0 0.063 0.008619 Jy/bm 1.1255621964425877 0.007554022320365615 -1.5627207861157628 3.2498777732713235
10 NGC2071_20170206_00017_850 "2017-02-06 04:41:13.004115" 2457790.6952893995 00017 51.0 0.113 0.01224 Jy/bm 1.0611367357621113 0.012926544528953346 2.757324983851864 -0.7384976774802409
11 NGC2071_20170319_00014_850 "2017-03-19 05:34:34.003208" 2457831.732338 00014 62.0 0.112 0.0118 Jy/bm 1.0251614534113485 0.013582557835744098 2.590541850342342 -2.8729523573458016
12 NGC2071_20170421_00025_850 "2017-04-21 05:16:50.998070" 2457864.7200347 00025 37.0 0.091 0.01523 Jy/bm 0.8448719762648469 0.010687650727555006 1.9119299611803853 -3.1978007361520984
13 NGC2071_20170624_00036_850 "2017-06-24 18:59:17.001507" 2457929.291168999 00036 46.0 0.11 0.01511 Jy/bm 0.8147287497065973 0.013280358452140031 3.2223159761207665 2.53406867346311
14 NGC2071_20170731_00063_850 "2017-07-31 16:40:50.998199" 2457966.1950347014 00063 43.0 0.096 0.01063 Jy/bm 1.0524706856895758 0.016468681118732988 0.26424354101922587 -3.7551574091104785
15 NGC2071_20170901_00040_850 "2017-09-01 16:00:50.002491" 2457998.167245399 00040 63.0 0.081 0.008573 Jy/bm 1.1301354201666631 0.008145250063870776 2.007965310879587 -1.2893822057995385
16 NGC2071_20170929_00011_850 "2017-09-29 14:52:33.000855" 2458026.119826399 00011 68.0 0.089 0.009115 Jy/bm 1.16471726297653 0.014341623524666865 -2.990969504305743 -5.174749512768228
17 NGC2071_20171107_00034_850 "2017-11-07 10:31:02.000549" 2458064.938217599 00034 50.0 0.08 0.009533 Jy/bm 1.0701605868934774 0.02027238746485886 1.0573265792099082 -0.46924186775643406
18 NGC2071_20171208_00041_850 "2017-12-08 10:08:18.003924" 2458095.922430601 00041 67.0 0.089 0.009051 Jy/bm 1.096007961748202 0.008115922454232597 0.23358514623708226 -1.7087689545178892
19 NGC2071_20180115_00021_850 "2018-01-15 09:51:00.996473" 2458133.9104282 00021 61.0 0.069 0.008685 Jy/bm 1.1322780121494262 0.014816839066050882 2.3856001610223356 -3.0165427927356494
20 NGC2071_20180217_00012_850 "2018-02-17 04:43:50.001533" 2458166.697106499 00012 59.0 0.085 0.008249 Jy/bm 1.1347725258001382 0.014200620708002128 -0.37931472326834403 -2.357565139419046
21 NGC2071_20180331_00012_850 "2018-03-31 04:25:47.003424" 2458208.684571799 00012 64.0 0.118 0.01092 Jy/bm 1.0111973631823843 0.018669461914542856 3.3563308238818395 -2.913453762168274
22 NGC2071_20180906_00012_850 "2018-09-06 14:32:31.997674" 2458368.105925899 00012 49.0 0.115 0.01276 Jy/bm 1.0825474607229923 0.010412800291904702 3.08453807466947 -0.505182357743952
23 NGC2071_20181004_00057_850 "2018-10-04 14:24:35.000703" 2458396.1004051007 00057 68.0 0.121 0.01025 Jy/bm 1.158902352157019 0.013387925401429673 0.7086149147407618 -2.3143826937696965
24 NGC2071_20181101_00020_850 "2018-11-01 15:20:16.995692" 2458424.1390855983 00020 54.0 0.108 0.01098 Jy/bm 1.0067470460910672 0.026055942797327012 3.114227852810204 -4.120895244214653
25 NGC2071_20181203_00042_850 "2018-12-03 08:11:03.998544" 2458455.8410185017 00042 39.0 0.069 0.008097 Jy/bm 1.148528146142374 0.02094088533816196 2.1224460579937636 -0.1944709289932065
26 NGC2071_20190103_00021_850 "2019-01-03 06:26:42.996576" 2458486.768553201 00021 44.0 0.071 0.01213 Jy/bm 1.2001777232014905 0.017200266600030198 2.611817430490339 -1.5864626741944803
27 NGC2071_20190205_00033_850 "2019-02-05 08:02:06.002991" 2458519.8347917013 00033 64.0 0.055 0.007911 Jy/bm 1.1321290499251115 0.01629888480636132 2.262612826643273 -2.632823471848283
28 NGC2071_20190310_00026_850 "2019-03-10 07:12:04.000204" 2458552.8000462987 00026 48.0 0.085 0.01106 Jy/bm 0.9244434641718158 0.022473698944472705 2.7928297911246776 -2.454678793276034
