# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 OMC23_20151226_00036_850 "2015-12-26 08:40:44.002569" 2457382.8616204 00036 62.0 0.109 0.01162 Jy/bm 1.0215580205421393 0.011038462943458014 0.0 0.0
2 OMC23_20160116_00019_850 "2016-01-16 06:28:03.002901" 2457403.7694792002 00019 56.0 0.057 0.009248 Jy/bm 1.0057105376499758 0.010068892134468233 0.47724017368344057 -2.37968348386719
3 OMC23_20160206_00012_850 "2016-02-06 04:31:45.002046" 2457424.6887153015 00012 47.0 0.041 0.01156 Jy/bm 1.0077195789013884 0.006409009339564273 1.0974368732480215 -3.8150819696126472
4 OMC23_20160229_00011_850 "2016-02-29 04:03:45.999284" 2457447.669282399 00011 59.0 0.043 0.01236 Jy/bm 0.9114885608337652 0.008765934741099242 -0.551694907530692 -1.0194051030144877
5 OMC23_20160325_00015_850 "2016-03-25 05:39:46.002159" 2457472.735949099 00015 51.0 0.056 0.01094 Jy/bm 0.9596143497139786 0.007784448383769177 4.615651125661402 -4.81958625182221
6 OMC23_20160422_00011_850 "2016-04-22 05:04:25.996921" 2457500.7114120014 00011 35.0 0.05 0.01136 Jy/bm 0.9575790080383347 0.00651652163446756 3.101173376836198 -4.68538926891084
7 OMC23_20160826_00020_850 "2016-08-26 15:34:37.997661" 2457627.149050899 00020 52.0 0.106 0.01442 Jy/bm 1.0099971463934483 0.012336424766100298 1.044320862792239 -3.7784555289887582
8 OMC23_20161126_00052_850 "2016-11-26 10:51:52.001252" 2457718.9526851997 00052 63.0 0.062 0.008352 Jy/bm 1.1100753344746055 0.008608570397056642 0.4525208988064875 -0.4908831733329374
9 OMC23_20170206_00021_850 "2017-02-06 05:33:17.003424" 2457790.731446799 00021 60.0 0.115 0.01159 Jy/bm 1.0162574634523651 0.005906064644995517 -0.47525025267452026 -2.807297831781333
10 OMC23_20170318_00012_850 "2017-03-18 04:25:54.002059" 2457830.6846528016 00012 64.0 0.102 0.0115 Jy/bm 0.9542825264973365 0.004370162969735039 3.158122988996289 -2.6219241336988204
11 OMC23_20170421_00022_850 "2017-04-21 04:29:10.000191" 2457864.6869212985 00022 45.0 0.09 0.01455 Jy/bm 0.859943954039193 0.017075547947895096 4.736854246501134 -3.855379994964609
12 OMC23_20170708_00073_850 "2017-07-08 18:54:06.998441" 2457943.2875810005 00073 53.0 0.047 0.0097 Jy/bm 1.16282407922761 0.01097549867046873 6.271018693986662 -3.3967653429863187
13 OMC23_20170812_00056_850 "2017-08-12 15:15:12.003744" 2457978.135555599 00056 39.0 0.072 0.01007 Jy/bm 1.01240418515657 0.019262302716398845 4.3578464978232505 -0.4271670158193323
14 OMC23_20170912_00054_850 "2017-09-12 14:19:28.997777" 2458009.0968634 00054 49.0 0.097 0.01036 Jy/bm 1.0399720985417604 0.015054707831021657 1.6614607575335185 -2.9311451561775037
15 OMC23_20171021_00047_850 "2017-10-21 13:49:46.997867" 2458048.0762384012 00047 64.0 0.089 0.008819 Jy/bm 1.0841999544663867 0.006401463420460016 2.840329170075443 -4.274165102635892
16 OMC23_20171118_00046_850 "2017-11-18 11:52:22.002082" 2458075.994699098 00046 64.0 0.057 0.01036 Jy/bm 1.1031726107806947 0.00878358219608352 1.5570798589429842 -2.1577903619737557
17 OMC23_20171224_00046_850 "2017-12-24 12:02:29.999106" 2458112.0017361008 00046 47.0 0.071 0.01008 Jy/bm 1.016286522461985 0.00804968515964019 0.8238518967759736 -2.889047125123767
18 OMC23_20180208_00018_850 "2018-02-08 08:09:22.003040" 2458157.839837998 00018 56.0 0.087 0.008906 Jy/bm 1.085390918137495 0.01165581712802095 6.066432043094011 -4.633392380142887
19 OMC23_20180308_00015_850 "2018-03-08 07:41:40.997686" 2458185.820613399 00015 37.0 0.106 0.0137 Jy/bm 0.907355356274901 0.007018797629256485 5.418267328410722 -6.037378157463884
20 OMC23_20180906_00015_850 "2018-09-06 15:24:43.004308" 2458368.1421644017 00015 59.0 0.114 0.01203 Jy/bm 1.0543920549864558 0.010540141013714767 0.5711691035093498 -5.932411829504148
