# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 OPH_CORE_20160115_00084_850 "2016-01-15 19:47:50.003450" 2457403.324884299 00084 43.0 0.067 0.01266 Jy/bm 0.9044928172625188 0.011226447031566106 0.0 0.0
2 OPH_CORE_20160205_00063_850 "2016-02-05 16:10:29.997253" 2457424.1739583015 00063 39.0 0.038 0.01099 Jy/bm 1.0808192946555852 0.009493028659492014 -6.722616361333493 -1.874516498835074
3 OPH_CORE_20160226_00051_850 "2016-02-26 14:15:29.998147" 2457445.094097201 00051 36.0 0.045 0.009732 Jy/bm 1.0832971380806584 0.011346158572708579 -4.744044537815157 1.368873317310048
4 OPH_CORE_20160319_00065_850 "2016-03-19 14:44:00.001023" 2457467.1138889007 00065 45.0 0.044 0.01157 Jy/bm 1.0594607390004624 0.021953485663887537 -3.531925411722992 0.1637619455511764
5 OPH_CORE_20160417_00043_850 "2016-04-17 11:34:43.999693" 2457495.9824537 00043 41.0 0.038 0.01086 Jy/bm 1.0494296784712316 0.013280551343203856 -3.129903272589739 -0.39344912401162446
6 OPH_CORE_20160521_00034_850 "2016-05-21 08:30:26.000690" 2457529.8544676006 00034 34.0 0.076 0.0164 Jy/bm 0.9066558945670671 0.027694776293497123 -2.4185664580099715 -0.08006748110176432
7 OPH_CORE_20160826_00011_850 "2016-08-26 05:02:19.999616" 2457626.7099536993 00011 44.0 0.108 0.01824 Jy/bm 0.9237992344041809 0.010921402009384492 -3.9724879871104535 -0.7885934403626038
8 OPH_CORE_20170206_00083_850 "2017-02-06 16:00:59.998977" 2457791.1673610993 00083 41.0 0.11 0.01351 Jy/bm 0.9920452035582952 0.007151302364443562 -0.9353958494098921 -0.26275990903670277
9 OPH_CORE_20170320_00053_850 "2017-03-20 13:07:24.997573" 2457833.0468171015 00053 38.0 0.062 0.01038 Jy/bm 1.0379161487463762 0.011114387013791166 -2.9770971130846218 1.6797125316123678
10 OPH_CORE_20170419_00033_850 "2017-04-19 10:36:50.002685" 2457862.9422454014 00033 34.0 0.105 0.01486 Jy/bm 1.003138459790633 0.014010803928027634 -1.48946245672806 0.7069329850951153
11 OPH_CORE_20170518_00028_850 "2017-05-18 08:46:27.001956" 2457891.8655903004 00028 34.0 0.039 0.01117 Jy/bm 1.09288030186842 0.008542178667030515 -3.8225109885689537 1.3033331469088694
12 OPH_CORE_20170616_00010_850 "2017-06-16 08:51:02.998044" 2457920.8687846996 00010 45.0 0.124 0.01335 Jy/bm 1.0116334197609678 0.015845030999940404 -3.925287476900562 1.5316854635531143
13 OPH_CORE_20170715_00011_850 "2017-07-15 09:07:48.996370" 2457949.8804281987 00011 35.0 0.098 0.01381 Jy/bm 0.9726011630230452 0.011101265989164106 -6.352407680466329 0.672640451992707
