# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 SERPENS_MAIN_20160202_00054_850 "2016-02-02 17:14:18.001113" 2457421.218263902 00054 45.0 0.091 0.01223 Jy/bm 0.9606916925620986 0.007591913936993416 0.0 0.0
2 SERPENS_MAIN_20160223_00050_850 "2016-02-23 15:59:52.002082" 2457442.166574098 00050 49.0 0.05 0.01112 Jy/bm 1.0207988128578933 0.007806258514795058 0.8290726594239165 0.6277716107075393
3 SERPENS_MAIN_20160317_00051_850 "2016-03-17 15:18:47.001572" 2457465.1380439997 00051 57.0 0.04 0.01212 Jy/bm 0.9404651920834283 0.013879800381690937 -1.8283114356948285 1.0244901497816095
4 SERPENS_MAIN_20160415_00046_850 "2016-04-15 12:52:09.002059" 2457494.0362153016 00046 50.0 0.04 0.01044 Jy/bm 1.103520335867204 0.008767480763218795 0.6881463501211558 1.186929790692804
5 SERPENS_MAIN_20160521_00039_850 "2016-05-21 09:13:56.999846" 2457529.884687498 00039 35.0 0.077 0.01387 Jy/bm 0.9796250535474303 0.007272257206328289 -0.10942762745627804 2.358288132877626
6 SERPENS_MAIN_20160722_00023_850 "2016-07-22 10:06:44.000652" 2457591.9213426 00023 61.0 0.096 0.01196 Jy/bm 0.9788458924873453 0.010333127885845216 0.8765548024598708 0.013147137775781914
7 SERPENS_MAIN_20160827_00012_850 "2016-08-27 04:59:43.995795" 2457627.7081480995 00012 63.0 0.087 0.0111 Jy/bm 1.0015163020974538 0.00798446477970723 0.2698288312022604 0.943130803429959
8 SERPENS_MAIN_20160929_00012_850 "2016-09-29 05:12:00.996344" 2457660.7166781984 00012 63.0 0.094 0.01248 Jy/bm 0.9521702916497568 0.009485366962850055 0.08273847222418224 2.1596232682284278
9 SERPENS_MAIN_20170222_00070_850 "2017-02-22 15:42:01.998632" 2457807.154189799 00070 45.0 0.097 0.01019 Jy/bm 1.0623664268473898 0.013887387990152444 -1.8660984574919857 -1.283481323871083
10 SERPENS_MAIN_20170320_00056_850 "2017-03-20 13:50:37.999642" 2457833.0768286996 00056 41.0 0.066 0.01058 Jy/bm 1.0165037951879832 0.00750315395636542 -0.39570036862533875 3.4748776448866225
11 SERPENS_MAIN_20170403_00053_850 "2017-04-03 13:23:50.000639" 2457847.0582176 00053 46.0 0.063 0.01018 Jy/bm 1.0281683202588836 0.007193906112576777 1.2146489072219546 4.994292155764371
12 SERPENS_MAIN_20170417_00044_850 "2017-04-17 12:33:59.998913" 2457861.0236110985 00044 49.0 0.057 0.008945 Jy/bm 1.1179315469716435 0.008603151506755452 -2.130811420014994 0.05495032315319115
13 SERPENS_MAIN_20170505_00035_850 "2017-05-05 10:33:03.003795" 2457878.9396180995 00035 38.0 0.046 0.008076 Jy/bm 1.1620745109933568 0.009345200008527958 -1.7131545320789807 -1.7057516455845942
14 SERPENS_MAIN_20170519_00030_850 "2017-05-19 14:54:23.998926" 2457893.1211110987 00030 55.0 0.105 0.01207 Jy/bm 1.036332909817546 0.009857873428820857 -0.8411224432794526 -0.4945215025928958
15 SERPENS_MAIN_20170602_00041_850 "2017-06-02 08:52:53.002517" 2457906.8700578995 00041 39.0 0.079 0.01011 Jy/bm 1.0690494967013913 0.012877398228803464 -3.001155469101636 -1.7696639587172935
16 SERPENS_MAIN_20170616_00025_850 "2017-06-16 13:15:34.997892" 2457921.0524884015 00025 54.0 0.1 0.01061 Jy/bm 1.01435790999261 0.00324685543837283 -0.18477319673445639 3.4037069937512894
17 SERPENS_MAIN_20170705_00027_850 "2017-07-05 11:20:49.997699" 2457939.9728008993 00027 59.0 0.112 0.0112 Jy/bm 1.0121676911447361 0.007729410542156686 0.23574804730783402 2.6300930186069937
18 SERPENS_MAIN_20170721_00017_850 "2017-07-21 10:08:38.999183" 2457955.9226736017 00017 60.0 0.099 0.01033 Jy/bm 1.0226416430195615 0.001880563326072722 -0.4902133037734355 1.383439959812026
19 SERPENS_MAIN_20170810_00024_850 "2017-08-10 09:18:02.998109" 2457975.8875347003 00024 58.0 0.083 0.009289 Jy/bm 1.0284669305395888 0.008179075895256823 -0.48847801177824396 1.4325471164680692
20 SERPENS_MAIN_20170825_00016_850 "2017-08-25 04:35:49.004102" 2457990.6915393993 00016 56.0 0.076 0.009021 Jy/bm 1.1021902108302246 0.007516309427721522 -2.9720130134362814 2.654064402542966
21 SERPENS_MAIN_20170912_00022_850 "2017-09-12 07:04:18.002007" 2458008.794652801 00022 55.0 0.102 0.01022 Jy/bm 1.0974089099325037 0.014955732331405049 -4.530996879329048 1.9593770158287886
22 SERPENS_MAIN_20170926_00016_850 "2017-09-26 06:48:44.000716" 2458022.783842601 00016 50.0 0.066 0.009253 Jy/bm 1.0863427403918557 0.006375772536623708 -0.5729075209074344 1.9106832173673811
23 SERPENS_MAIN_20171018_00014_850 "2017-10-18 04:44:03.998480" 2458044.697268501 00014 58.0 0.099 0.01105 Jy/bm 1.0072178152470819 0.01635217623962752 -1.4303175074474939 0.981917670479987
24 SERPENS_MAIN_20171108_00011_850 "2017-11-08 04:53:18.997521" 2458065.703692101 00011 36.0 0.081 0.01241 Jy/bm 0.9239727185281958 0.018023758351687805 0.0710553316790857 -0.523359671217312
