# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 IC348_20151222_00019_850 2457378.7284605987 54.0 0.064 0.01182 0.0 0.0 1.007665695363056 0.015136111838139033 0.0 0.0 0.0 948.6012910174317 0.0 931.5188269124811 0.0 5.008382592497949 0.0 5.070895543002416 0.0 6.734200228420519 0.0 6.8732127117718775 2168.3491662176584 21.67565427574995 -34.21309816075226 1.4312741946523804 2100.860962031227 21.473731074271637 -28.04957970489603 1.026515016285525 2053.6219024030706 19.078201070163463 -24.761990099268193 0.6934709069999107 2076.776248077443 87.60840922075018 5.119477646297397 0.4044542676523499 6.134087052392137 0.6347525639027458 1.1010568958868285 0.34902311863811586 2059.5184683844386 72.0250490594536 5.221807367578225 0.2804871138194056 6.247530935322757 0.42293528007694875 1.0766426723869404 0.23867598810589505 2027.7074363603092 71.7357810425246 5.392712082666511 0.25800625171938213 6.458010697561624 0.3763160051647643 1.0470865250239987 0.21096642322937859
2 IC348_20160115_00022_850 2457402.826018501 66.0 0.072 0.009275 2.658641363014307 0.9132131999490412 1.035233469181242 0.00804343432367687 -6.0 6.0 -6.003823065152034 0.5405456166322953 6.035727045617108 0.5375796071580689 -5.9708322893382615 0.3582800390971047 6.048635419795431 0.30972080347875536 -5.96550788452933 0.2744723339978579 6.055060213971672 0.23892485861553517 1999.8399027048981 17.417275395220035 -31.391619007564415 1.1500873968480692 1952.4522120406643 17.188887575062616 -26.993539316248444 0.8216853969256429 1893.7482618440417 17.320770034624324 -22.777596495433418 0.6295902917056381 1926.1782016506381 57.14414669999748 4.965528403928493 0.2680263983060014 6.16994372280253 0.4661523593207754 4.322108606774674 0.19151502615553498 1906.633018025045 49.772470786782925 5.10400398098877 0.2014852486931328 6.338404152262616 0.33706807997891475 4.308528310772024 0.1403831907065527 1887.9400197833575 46.11366067410084 5.201901727684415 0.16722637041405689 6.474698697540315 0.26927962521628074 4.2872242260802444 0.11309928639374024
3 IC348_20160205_00018_850 2457423.7676156983 67.0 0.037 0.0129 2.3521606140109976 4.049147843757623 0.9585252929018787 0.014201337906007838 -8.0 6.0 -7.992520881623193 0.5079397610186788 5.900647901182907 0.44769579490175476 -7.976537067645921 0.36024218169734834 5.91488529163928 0.3062451825583523 -7.966537856408138 0.2853407416002156 5.937453079173366 0.24024808298587536 2292.058279137096 26.389396038598875 -34.31111252570258 1.7425292499467586 2244.661612033832 23.11939075851086 -30.111256630915477 1.1051829783059772 2178.991606081122 21.747201421844064 -25.35393383338988 0.7904860442202084 2214.0103640746916 94.87585491291648 6.19257471099315 0.6756062097984444 5.099842644093164 0.4118521513776222 2.7346783804795827 0.31982930789567937 2185.158113113678 79.44537200870072 5.269623316992179 0.3005725404576121 6.470228122541562 0.4908889680812115 4.289343057788835 0.21573090134816325 2172.322560350404 67.71764160398689 6.542708300694791 0.35029970501642 5.324896391135133 0.22338729172954022 5.841569212521436 0.15752749432804125
4 IC348_20160226_00020_850 2457444.7896065004 44.0 0.054 0.01206 2.8278901815670507 3.9827849026082163 0.9591239240279751 0.013335190300611564 -3.0 13.0 -3.180881466446607 0.4771268117774443 13.15400397113038 0.4415968089591521 -3.1356432433868804 0.3202594051169177 13.144927977453307 0.27592201262558086 -3.1114212199171902 0.26847375197481926 13.136729173973322 0.23622278583271575 2076.4196323104848 17.1378072279346 -34.25416695918802 1.1316337173688353 2015.0564536310353 17.394210768437024 -28.51968233268504 0.8315005264738707 1955.7907126038783 17.136935905370986 -24.337988923708593 0.6229081334223239 1990.7531504633823 66.34457503908034 5.907029847043629 0.4471862225166354 4.984592627370159 0.29690702274353975 5.76128926157477 0.28714186590880186 1969.2048086461282 58.04421866710394 6.088268202225912 0.33133142801706233 5.0888471386846 0.2225004963318922 5.75614315678289 0.19703190235060727 1940.8741287882344 55.98852392518869 6.303768614718626 0.2891434518266703 5.222392544335554 0.19716937737588913 5.746656042362847 0.16002521009547716
5 IC348_20160318_00027_850 2457465.7467245013 39.0 0.048 0.01117 5.346806617099271 0.7814110806299368 0.9346644184181988 0.017217902750496884 -1.0 14.0 -0.9476903968740658 0.4560855511538676 13.973381412081125 0.42359994312351806 -0.9501359332178367 0.40725600226274694 13.992214072754905 0.40696201817648986 -0.9260607080832983 0.2339239108486101 14.009838657952798 0.21378846575574031 2166.1567087672297 15.416913173078228 -34.06801232965336 1.0180006387199954 2112.082914412376 15.326340979064435 -28.933888497840908 0.7326495453413938 2048.2945972088705 16.003123860035103 -24.405100177926453 0.5816953502668057 2079.043286195978 63.5525200471883 5.1999343067601345 0.29413711376400975 5.968185448799804 0.4056727255589657 4.030434889261777 0.3563760790726416 2060.50137908209 55.378968057075895 6.1377073869526315 0.29811908709575896 5.2859821159263385 0.21668564985455774 5.607330676355446 0.23252693667262664 2037.5869428421904 51.88456919718437 5.38845904546658 0.1831621789115388 6.318709528469208 0.24989139817722872 0.9054989371855804 0.17612496341369088
6 IC348_20160417_00009_850 2457495.6792708 35.0 0.036 0.01157 2.9824114826342885 4.2648744612091605 0.9153823738458757 0.0045376634548740255 -2.0 14.0 -1.9382466958103635 0.5701765535142393 13.805471514702873 0.5679750716993959 -1.9221374780983354 0.3744358441620172 13.789436235826997 0.34261235896306724 -1.907610249049128 0.27651049113723597 13.796316727282317 0.23146240786622502 2148.8827633632586 19.406135533328037 -32.66998280552123 1.2814146464923764 2094.7621721887986 18.96049480625118 -27.53331277589682 0.906374052711707 2030.5137235109487 19.03508764238651 -22.964561875449725 0.691903786202145 2055.2936110578325 72.48450674444014 5.211826811110186 0.35707025292695593 6.443457390903678 0.6163651165092603 1.1593509968226279 0.2528090264968322 2037.1919962178824 61.432500139288585 5.336016074523579 0.2562639513579988 6.581358035589983 0.42421409885818645 1.1427795912052598 0.17905113001982187 2016.938637212547 55.8918933602712 5.4577077700437036 0.20877999806907574 6.724914912710178 0.331826798711866 1.125185638825239 0.1426882359228798
7 IC348_20160826_00040_850 2457627.2984954007 39.0 0.082 0.01497 4.374097812829757 -0.6364816648087412 0.9593314527765541 0.017476109515085676 -2.0 15.0 -2.133879626321317 0.5896861025511743 15.115149667492688 0.5577677835690763 -2.1101053889710784 0.33585547006527416 15.085328397053502 0.2729854641181793 -2.10056141351987 0.3356511013505949 15.105447352176157 0.27773963513816835 1978.5786812226886 28.397627081375838 -34.052497504995245 1.8751356137671056 1909.7781843926562 25.317720278446238 -27.699951699590677 1.210270354682569 1850.6069381780592 22.60240583303776 -23.530501649359874 0.8215717457506865 1897.1000278215156 108.63562455230307 5.873370642517352 0.7869311747677251 4.780791466921807 0.4714354433423341 2.734009715978566 0.3701935079324381 1869.918707158934 92.29475323507943 6.081697551202108 0.569597477899978 4.926349164587413 0.35140699751576665 2.7061811409735146 0.2638739702734787 1839.7125468864376 85.43940263945022 5.082518596317196 0.3032763898259881 6.306490321185597 0.4784866916433541 4.266208069364863 0.21405664307978273
8 IC348_20161126_00022_850 2457718.7500693984 40.0 0.049 0.009727 4.673272001758877 0.09634955897865893 1.2118067787257623 0.030727039702483104 2.0 -2.0 1.6499379469211135 0.4807046326318834 -2.333630456015385 0.44079161188693583 1.6757362614596047 0.35050856958024856 -2.284014408930517 0.3134780508541248 1.6650779407465848 0.32427897426226976 -2.248820980199781 0.27380019908330244 1819.5169439583094 15.700871772101467 -32.055994728048255 1.036750843027278 1763.3987948922015 16.352319166329522 -26.748752838467734 0.7816946723718278 1701.6468131237061 16.79881132884695 -22.363133005105386 0.6106176881566204 1751.2251092827644 53.78031743544003 5.702231417870032 0.3935139823111635 4.67320955869136 0.24037031009562287 5.892328855077948 0.1960820532434991 1729.5532731454666 49.271231439319706 5.886406364735183 0.30619943380029074 4.7910880661842326 0.19168248978002198 5.871110825769296 0.14855701182199568 1702.3754471643815 49.512871583954805 6.0980611198181 0.27799555323611874 4.924725811513475 0.17884109125511605 5.840934547682852 0.13053587246722573
9 IC348_20170209_00028_850 2457793.8217592984 46.0 0.089 0.01224 3.0589107372645903 4.018197914165 1.0182665947594571 0.024943223387598162 -4.0 13.0 -3.979999602699621 0.4617328702820394 12.915026720398373 0.44031118575124517 -3.93508568375438 0.34527673451924507 12.930066298771749 0.3268588119551664 -3.9024747745714876 0.25386779933922643 12.924199830254537 0.2301041584391181 2404.096647435109 21.965076931109678 -38.076096988600234 1.4503852017654981 2340.775516688559 21.437038098285186 -32.169275111921095 1.0247609739592822 2270.371838443406 21.123475817178498 -27.1856515484284 0.7678143226711873 2306.34683030464 84.50347833835629 6.113525121253041 0.5200287003504367 5.073569560474984 0.3351131540871604 2.5069131484840543 0.31160060007945994 2284.439803171982 74.28781228817321 5.164479687534406 0.25093265202012843 6.282159983750511 0.38340700978695896 4.082825231436168 0.21211685203223127 2254.1909870411955 69.59866615413245 5.278808277825842 0.2142705468480163 6.505910457014834 0.3237454607548916 4.072141300317158 0.16255824146247172
10 IC348_20170320_00019_850 2457832.726423599 43.0 0.086 0.01141 4.3869227943236195 4.506460496000955 0.9668831674482631 0.004334836306396235 -2.0 14.0 -2.0105202456369398 0.5887419506919194 14.060564880889302 0.531447320667466 -1.9846424415374884 0.33852332083167014 14.063601170811154 0.2759724555260659 -1.9591350071654858 0.2671041104065171 14.067464451463053 0.22719974958301195 1981.6428226605826 19.286368436742666 -33.772704152128476 1.273506273828459 1921.3682903530341 19.48161852758193 -28.10531718372442 0.9312854910995428 1858.2679406152033 19.242247601497493 -23.634816185938238 0.6994338181489024 1902.7238811464586 61.451162389591765 6.003017959295083 0.47406156075525585 4.728248850852817 0.25996603869366647 5.90072370689748 0.17858751044643265 1880.0409176744301 55.19560783314084 6.157057152663243 0.3535660033590654 4.865722235608092 0.2043094877395067 5.883954282744989 0.1379828268773281 1853.2848149656913 53.19575356542284 6.336348602009436 0.30167024864662534 5.009184817571644 0.1825623174757383 5.864794034424065 0.11943681925048494
