# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 NGC1333_20151222_00018_850 2457378.7054744996 52.0 0.061 0.01119 0.0 0.0 1.0316478369871247 0.007444994400591138 0.0 0.0 0.0 4.1179884540968645 0.0 3.939386124504158 0.0 1.2057161735910054 0.0 1.2813900281607453 0.0 13.07250244344914 0.0 12.724956389360011 39851.340440894324 304.5132468836766 -838.8013371883931 20.10744172439982 38063.38195052679 365.3307978883304 -670.3249777899865 17.464014519052625 36132.36498891951 405.66922082629355 -533.2637640921124 14.745614751376495 37921.532619456964 1844.5194507899475 4.526945467674024 0.36138663567348805 4.860941131143743 0.4307281074513243 2.8551954952798138 0.7252604190648556 36592.37454475863 2128.699686916482 4.7448882620653094 0.3802141921643424 5.296678197929926 0.47953591574750387 2.6584381164602373 0.5476014310372502 35032.61559613567 2362.993134729521 5.883543365945173 0.5737005693870727 4.960320251523276 0.4160725554107445 4.126078059945718 0.3909801640157182
2 NGC1333_20160115_00010_850 2457402.685543999 64.0 0.081 0.01242 0.004120718027861628 4.802532886089779 0.9618911284081223 0.006362325923446226 -2.0 -1.0 -1.8664760385868817 0.5186112958717148 -1.1087053858012723 0.5538540264722913 -1.8478743505079933 0.81064399466192 -1.0971928447474966 0.9168378042132527 -1.7769262008529836 1.517750289166042 -1.0786620332755774 1.6054781318233893 42606.1154843622 351.68422455706104 -823.8027807998212 23.222208118288393 40999.922094784946 391.45952126136376 -672.5164091002018 18.713053460715003 39212.603014437926 420.3549478205405 -545.7319796183972 15.279424254055217 40572.5562637135 1649.9918226426755 4.550326513502302 0.2972063922113781 5.447021319572027 0.4567260951565342 2.703003574739659 0.2806710355975643 39425.32588537706 1874.0649315230485 5.844615794956862 0.48491885566847903 4.7561269977948895 0.311588825869892 4.1918920481555695 0.25694458012231836 38041.92581833592 2096.7573437184365 6.370013193296124 0.5557176334706578 4.972456455235717 0.34278386786192905 4.12499913002652 0.23010452992336206
3 NGC1333_20160205_00017_850 2457423.7525346987 68.0 0.037 0.0125 0.5091903537765256 4.865010475837787 0.9745107719056448 0.016206785466468983 -10.0 7.0 -9.92464752382591 0.5604728753656729 7.036422133180025 0.5910536401834965 -9.88655495853294 0.6262977667876637 7.0456082896803025 0.6937751966854853 -9.845184796653854 0.9768501239609546 7.040214608882906 0.961696691588704 43224.33118521822 249.93950371007736 -762.4626949366589 16.503860007443265 41880.78256319844 294.75651965891956 -636.3670838483168 14.090331936634797 40325.4521503833 336.3219813668542 -526.0378233921512 12.224921461313716 41115.525686807916 1560.2622191208775 5.53401007641731 0.4645669825809585 5.0291471687609715 0.3623305347519752 1.2948154031253656 0.4856114642875535 40139.526110171086 1746.5724710552563 5.923579558686224 0.4657779012483536 5.196229258569953 0.34591022703941415 1.0960335102246923 0.38821744851413065 38938.70817114273 1946.597941334705 6.4375279092286775 0.5195466180173488 5.366548544427817 0.3592125740253632 4.130125882122904 0.2994324022387812
4 NGC1333_20160229_00017_850 2457447.7127894014 62.0 0.042 0.01093 0.30684445502356783 0.7568385104107244 0.9878985006953654 0.008283504829510761 -9.0 9.0 -8.940418976753165 0.738762148706915 9.049902063822458 0.7862724676984533 -8.895871788074572 0.7324094629141477 9.047153385713273 0.7711529307196757 -8.85918678532343 12.598991820163445 9.059172638467004 11.817179037487291 39364.35156843059 267.63577332378895 -769.9287932459579 17.67236971193787 37764.63057274819 322.4183068858049 -618.9096492483563 15.412656175474758 36022.17273023251 361.9861873619666 -495.0831626755512 13.157786245300295 37322.64204677961 1698.3553615892304 5.127926960715481 0.4309188901857341 4.81801692040123 0.3732263638015411 1.0503216352883031 0.9421313842458916 36082.79609646292 1911.7662084856474 5.630656687943067 0.48508610394329377 5.033417796546965 0.3849679611714662 0.9415262057918916 0.552354624661302 34660.56614314072 2091.0875732056256 5.2585504718992 0.41392222303049914 6.25747519039926 0.5777513489445573 2.4684426099526213 0.37445884124843265
5 NGC1333_20160325_00011_850 2457472.7035532 42.0 0.057 0.01171 0.7286147878140696 -2.0808050749555385 0.9072687465437254 0.010267894713001031 -5.0 16.0 -5.0590093828806175 0.7414952619098191 15.9303816499025 0.7741208842161984 -4.980668393063041 1.0227466674964787 15.9486388025189 1.1101382160175886 -4.749252132587287 53.13433164163927 15.990655378637882 61.270314549746985 41569.1228294043 284.4590034111809 -781.7845504621703 18.783231523287444 39920.0913663176 335.2826722401024 -626.0119749481696 16.027615277107323 38161.80664998154 369.45461018788995 -501.091059169689 13.429254877066636 39297.67663654219 1776.5761347089594 4.991642751468519 0.42037283495893973 5.308460604830824 0.49136709630034986 2.8151955554923305 0.8967121620034354 38014.35706328686 1956.7897648930866 5.816854542731004 0.5187856222342526 5.247253952221785 0.41363164692697396 1.0305568784998886 0.5967022514628291 36615.7302932681 2084.674186209401 6.441342896181325 0.5870005742700879 5.481885965536167 0.42486240811936477 0.9392127828572865 0.3951166310990905
6 NGC1333_20160802_00031_850 2457603.1466551013 69.0 0.094 0.01173 -0.7202767093321012 1.7591065656180283 1.0095605761140638 0.006216555923050318 4.0 -2.0 4.050814033343329 0.7102126898230252 -2.0873801027508136 0.8030127514161203 4.080986786625374 0.8821753732333182 -2.0814605309978447 0.9716234266212536 4.107155315607372 2.8232244974520477 -2.0741143741642247 3.0272899595011102 38711.021701451704 320.46590457933434 -813.4612540664654 21.16081824022179 37033.78529950945 372.9821315016651 -655.3566657938613 17.8297733498041 35175.517246978794 411.9623214884797 -523.4689755573794 14.974362038528295 36925.831915864335 1694.0010216201038 4.355749987267984 0.3026652928687023 5.032657777360126 0.42069467421251405 2.674803669294424 0.3685949523396711 35718.821285637794 1963.4511046890816 4.540291698210203 0.3273216602475013 5.468512521951232 0.47771097183431604 2.5981240276518633 0.3099545896183382 34281.63538579279 2198.6580202809732 4.734156974146365 0.36460595922709754 6.043738468271129 0.5732403557818619 2.5422783421135033 0.25723652983747924
7 NGC1333_20160830_00048_850 2457630.972650498 37.0 0.09 0.01289 1.2127292690169886 -0.33868250605095795 1.0083558503615426 0.010859066529782458 -1.0 0.0 -0.9624462127282527 0.5399953068237479 -0.11861320693498101 0.5612150661529327 -0.8987275672051283 1.064931738823364 -0.1134502759128111 1.1482430982392322 -0.859075862404552 124.16039401361168 -0.10536886988040806 127.00517555692508 39390.82048773423 286.5561570852415 -826.0407636756674 18.921709665927036 37684.89257293275 349.41173235359736 -665.1727720090171 16.70303077041479 35805.22638728668 395.017455131098 -531.7611827985783 14.358435164175436 37566.0076618913 1732.093404618049 4.886725353132509 0.38924472563131157 4.479193665622868 0.3206573788643794 1.053557330634931 0.6280131955484894 36324.509978406866 2016.3733870895999 5.33316575471074 0.4507752290089978 4.653027426705405 0.34439923720531257 4.107463440622607 0.4346784098175776 34839.68449091206 2262.8336240043645 5.917504029883057 0.5505420950050165 4.839960216478635 0.3825521836947282 4.060233194922548 0.32045613020910846
8 NGC1333_20161119_00088_850 2457712.020995401 50.0 0.067 0.008533 0.37201549348881047 1.900255035495979 1.038018530341325 0.005093604748428119 -6.0 14.0 -6.0766476126307225 0.5713868844712038 13.819403120633694 0.5696888549129914 -6.028963620659255 0.727278603263846 13.828119866800705 0.8058460729875262 -6.0076066846165475 0.8836750661190541 13.861150794086598 0.959362753086007 39345.60079285749 286.6060876232396 -801.614428947297 18.925006700672135 37739.48368073348 339.173687781246 -650.0705535778332 16.213618627729513 35943.67518397093 380.823061000423 -522.6017007647645 13.842484995115568 37497.419543992924 1666.71525572082 5.028582970325339 0.427809295944948 4.540607663529681 0.3319255543827683 1.2831272027081093 0.47277945153987816 36317.903449334735 1940.958854540376 5.432498465761224 0.46915090320348907 4.7433725725649305 0.3502249632943524 1.110477964235325 0.4100660638138236 34903.90516052821 2184.2927651302616 5.980806730376919 0.5529031400194877 4.944808116931212 0.38451178101463057 1.0009005233637203 0.32634912423819445
9 NGC1333_20161126_00021_850 2457718.734976899 37.0 0.048 0.01009 1.9833707557560425 1.6288147038156018 1.149097319768195 0.009940973208621902 0.0 -2.0 -0.010185841655726335 0.546246695220374 -2.24192422887603 0.5738108025500821 0.0002942877412692724 0.6424280718463159 -2.230408933784389 0.7025242886657872 0.014328480661589538 1.7070577727164513 -2.2135326934226214 1.802074137521125 37977.512633033206 283.3320097973987 -808.5782734459549 18.708814674553032 36304.759639834054 342.7809476909404 -650.5806819117263 16.38605755015606 34450.227872623815 388.04038254597555 -518.8928225780141 14.104826629467167 36283.29130974885 1673.4330639848347 4.816333056006178 0.3897470241502073 4.419937073573122 0.31863428380937353 1.1840740338894449 0.5891266612816156 35080.9427257585 1959.4430325410897 4.594273443377285 0.34050352338615836 5.245957957038748 0.44575770698202594 2.618746466107303 0.43165533533634726 33633.95923546888 2213.0452662859198 5.8164598673761105 0.5432939046575989 4.777669253042654 0.3792968756687484 0.970686634332523 0.3230785069827559
10 NGC1333_20170206_00029_850 2457790.8069560006 49.0 0.124 0.01383 1.631314371638962 3.3743280780316907 0.9317507388748897 0.007077115467713653 -5.0 13.0 -4.957211998068999 0.6933188660695737 12.421388063275145 0.7180440579152751 -4.914307409186023 0.7223009708029808 12.437628175489237 0.8071726015271946 -4.9019925032894776 0.9281083110529906 12.46090817257084 1.011788770283831 40174.674757730456 281.0588212415603 -795.071308623427 18.55871272333543 38589.11062358593 331.9083300674016 -645.4977659190714 15.866310742223359 36824.47375978643 372.1122137471376 -520.2447364279219 13.52585581105066 38215.29104114523 1676.3058027074717 4.67693326154072 0.351173285833202 5.117633414829769 0.44033210048895927 2.853371326633898 0.5446432649590438 37038.77874406792 1922.8524934552727 4.889217810422765 0.3615610932436961 5.52926236244676 0.47234425710804445 2.6637514455192672 0.4552857427459767 35649.72188125156 2139.018826817098 5.097515395096355 0.3896611189785783 6.076346820762234 0.547040013917035 2.553374485173517 0.34958930128897164
11 NGC1333_20170318_00015_850 2457830.7235531993 44.0 0.111 0.01487 1.7176733289634456 4.502002583728194 0.9262502666636921 0.007883934038191322 -4.0 15.0 -4.0566636853312446 0.7204515031395693 14.825981342052302 0.7320177251832265 -4.02605410041329 0.6942370899187188 14.83297084408045 0.745466710448716 -3.992351611311989 1.3548522150323217 14.838397589726526 1.4404487492497022 40112.32308006268 278.2818226747289 -782.5594037782167 18.375343542204615 38515.766111027726 323.52418685902586 -631.9422606983518 15.465520921661172 36770.22596076797 358.1368080578959 -508.0046245159875 13.017865673770117 38083.133630295066 1703.020619496751 5.010038983138207 0.4243173459006066 4.907793499855055 0.4027725110981668 5.004202514122646 2.469325761178239 36870.80017154679 1943.347702046233 5.163781619990664 0.4095683975572876 5.412032677128642 0.45319272636865143 5.765780069243242 1.2567871758686808 35458.85422565888 2150.1416301817662 5.370439391778724 0.432508897478506 5.9916069213973735 0.5337160301750842 2.502776833770824 0.5874736566150589
12 NGC1333_20170624_00019_850 2457929.1533681005 37.0 0.085 0.01157 -0.8868520239101366 1.377673391641423 1.0442465121592892 0.0033811231589425303 -1.0 -2.0 -0.9758110401948557 0.7132056350195284 -2.1585553510760747 0.7400407765510946 -0.9408814953996227 0.7798595558378997 -2.1313496907390856 0.8650475714338745 -0.9220446169076979 4.6022652143131095 -2.116246381574115 4.738330760594541 39972.41958193141 294.5498764790002 -800.3750856843963 19.44954606495122 38408.42329738781 348.03014566203126 -653.1804513889596 16.63698644140291 36656.05739572318 388.96424490283493 -528.8889264106293 14.138407936050749 38078.23452169467 1651.6740544259387 4.534136053959061 0.31454986476073854 5.171036273747339 0.42881136415314874 5.846650688732003 0.394500527751292 36960.113575100484 1903.0692164912316 5.58500605237021 0.4716287603389232 4.7050398801539615 0.3294764472410851 1.0401669247079708 0.3246157518042055 35616.997535141454 2136.848322098554 4.884429414131574 0.36051403423899153 6.12629051362275 0.5535723827092325 5.685552541983404 0.2659638665053348
13 NGC1333_20170731_00057_850 2457966.121770799 60.0 0.089 0.009457 0.043716828119027475 3.02723309092918 1.0600724900445462 0.008087980713034338 0.0 1.0 -0.12692564659408845 0.6835997709931273 0.696950228491886 0.7665456405964916 -0.07816232358482011 0.6889252039803153 0.7293207569995559 0.7780541883364771 -0.05952512352828876 1.5192071882634455 0.7611724567341298 1.6194371891345378 38788.395163172354 320.2533259624136 -782.6953277003261 21.146781272293207 37247.76819348878 364.40280405837444 -637.5940938636049 17.41965326226572 35527.78040839765 397.5082795168766 -515.5854632409239 14.448974007225113 36992.56794798342 1583.0508111650288 4.429084965111014 0.29477616400780243 5.2367953967447525 0.4376594379320491 2.7147321334954237 0.3016130132845344 35921.585759763206 1813.4203657788046 4.6074748095552165 0.31047591369636324 5.632189932523514 0.4735732376220521 2.6304201393834368 0.26763290582999777 34634.479188368634 2035.1520226014927 6.1520834843033505 0.5491506046549981 4.793348353389197 0.34184472543789624 4.1349621285088425 0.2332049449118692
14 NGC1333_20170901_00048_850 2457998.2288194 53.0 0.078 0.008815 1.95048020217754 2.9890612231531577 1.0789338734560812 0.013968736928715817 -5.0 13.0 -5.052297360032895 0.7498631538702075 12.76901608617186 0.7942261518426402 -4.99140376673742 0.7407251314148192 12.779199708822318 0.8052628063820847 -4.993923368525856 3.67813254404725 12.775424921187067 4.030614704394851 38581.81232833642 272.38507003914435 -789.3966734657172 17.985972539290252 36971.559119799684 325.79048164809365 -637.4073695381458 15.573857233769198 35184.98913028328 368.17372553480516 -510.5721851904408 13.382696238912027 36749.06141776346 1672.4934668419464 4.629176704114423 0.35507532769626454 4.907598724775708 0.4100742736510558 2.834488949999393 0.8528927585935356 35560.307623229615 1933.5014312651444 5.334743303300937 0.4506486056771198 4.82401479549512 0.3655296103528097 1.044145882349938 0.5767141235349249 34142.24216527025 2162.7449281295053 5.902830674396382 0.5392210613409705 5.021801942265549 0.39883367056764213 0.9513493191333198 0.3942234334106901
15 NGC1333_20170930_00036_850 2458026.9033796005 41.0 0.074 0.0108 2.2549169222565317 2.731096272542832 1.0601020098862943 0.012432731291135828 0.0 0.0 -0.03400835502844757 0.7009424125531657 -0.0652371858368781 0.7381701414931587 -0.011438088187674111 0.664940697296237 -0.04737374551444873 0.743464825784419 -0.07036675111703516 1.8634847696031425 -0.0488064571417226 1.9400272158131393 38493.2496479637 289.1245441371927 -777.8137224818471 19.09130383887437 36972.42936812546 337.04917369987953 -634.6346855095097 16.11205969977908 35269.57308619462 373.99504505118665 -513.8446410709304 13.594294427785515 36707.46669850629 1595.4850702630595 4.5068107368350585 0.318657135884188 5.112732722940009 0.436364300817936 5.9963738489584655 0.37586669757636176 35636.506598699874 1848.0036379200658 4.6965345362620265 0.3341426614516436 5.481532905876091 0.46857151555420606 5.852247596378809 0.34463718102299823 34335.677308471604 2087.860092186825 4.888039955259112 0.36656918164556224 5.984271370304406 0.542102666604673 5.7458712949748145 0.29354497288152787
16 NGC1333_20171030_00022_850 2458057.0958795995 46.0 0.105 0.01403 -0.9037398591726244 -0.34034396513261855 0.9927441537142886 0.005251169865112848 -6.0 15.0 -6.047683309792461 0.5685687798220107 14.867010716717289 0.5826727045999894 -6.010976786412641 0.7521884598673437 14.890159145974422 0.8266033212774295 -5.97559571966687 1.7926522179229116 14.905248618488713 1.900303548306212 38608.92641836868 280.0770394209069 -788.2029950652649 18.493884192576093 37018.75636507742 332.00049245450305 -638.3043959516637 15.87071618110425 35254.032086067615 371.6056886193997 -513.066741295265 13.507444188518368 36785.96257742615 1653.0551512085553 4.565050010712457 0.34405777745846844 4.989590606808807 0.4314962403245949 2.9335708682232715 0.52575596127545 35617.80178695631 1928.6374489006482 5.3811203995605466 0.4704998958152569 4.7791353713448235 0.3624004879577599 4.293176590841984 0.46647845240271785 34215.856263788344 2170.0409770221336 4.985902716304712 0.3959586054275413 5.9247288129671505 0.5522948398587625 5.733215587575346 0.36261031669544797
17 NGC1333_20171208_00018_850 2458095.7322801016 48.0 0.107 0.01098 0.08419649155020482 -2.55929606628394 1.0904378965600088 0.015983730606381866 0.0 1.0 -0.014335686450152707 0.7066489939180138 1.1247853437942865 0.7058594653251472 0.013203133688762136 0.6728894877303374 1.1295794933457444 0.7350984445396684 0.03204480644387786 1.6514432020349186 1.143775062917939 1.7850188708835797 39165.647952421794 257.54765795073354 -760.7698251554172 17.006237189911143 37684.70740590192 304.56052202766784 -621.1875923109847 14.558995542525826 36030.40778106126 342.7260254347733 -503.8158554669252 12.457701267698623 37268.48929732287 1576.3253258286275 5.110094672957395 0.4326554425159873 4.783584807921268 0.3642889432696018 1.4020402670131389 0.6825964019712223 36176.312131904575 1819.2685467379065 5.487814101322449 0.45480780449016756 5.002082200993427 0.3699014041222319 1.133133741198803 0.5809321720648905 34860.05129749484 2048.686842874673 5.205362575147093 0.39703750988146846 6.016508976504488 0.5266325893302345 5.7050023515058745 0.41715051867587366
18 NGC1333_20180111_00027_850 2458129.880590301 48.0 0.071 0.008598 0.09595252751824626 1.8821702375919624 1.0563300537040954 0.009263703285098254 -5.0 14.0 -5.012644256800456 0.579352078979476 13.888670989658095 0.5973202656301618 -4.970096998442244 0.7327610283749622 13.921863283005592 0.7932033435305702 -4.92940017222918 1.392867735632905 13.970291148242296 1.5030162876878044 37760.979640836726 272.43839554438716 -779.8295189275649 17.989493791251157 36163.14549139384 328.28652740437974 -629.093205337758 15.693176380462065 34392.272256633056 370.9809233201593 -503.38531036812145 13.484734713420911 35968.41525536641 1654.1736908786297 4.550215478886586 0.33614383307166973 4.93543025566877 0.40614390036576536 5.845723409613772 0.6587380842231746 34791.86536894369 1912.631052087215 4.735392545547745 0.3548370710089717 5.37701589639197 0.45984391414326503 2.5850582091329044 0.46320920056521625 33393.448075381326 2139.617847979326 5.954563763281857 0.5542994455303288 4.929573195990276 0.39037772370478696 0.949695582382537 0.3391887051250052
19 NGC1333_20180208_00013_850 2458157.7943403013 51.0 0.099 0.01064 1.5660071802457416 3.0679288291436535 1.0176454808785655 0.012976746970830972 -6.0 13.0 -5.904868510275293 0.7443886821509986 12.940473238317026 0.818406607858701 -5.854004209911125 1.0280734818409367 12.931996783975734 1.1271083314944954 -5.842902302552517 0.9681002846322796 12.933095432025794 1.0624541323495158 38940.014646933494 274.32549844332544 -781.1414247696998 18.114101773817808 37375.93903653417 324.2117316403261 -633.6035088158263 15.49838782674571 35630.717930345374 363.591797715827 -509.72840087518097 13.216148363893454 37062.68251971286 1640.2254099860168 5.03704989013133 0.43643964493079584 4.650035986432005 0.3552328153119603 1.387441504161809 0.5790119440392371 35893.92053990667 1904.9159809177138 4.880927857403566 0.37201166771342836 5.4237617594825425 0.47089700255290556 2.733346490748823 0.5204175598166029 34499.703338458596 2139.8856101788047 5.104303466049114 0.4046635111727587 5.956169269633566 0.5472674541278946 2.5940100057048783 0.4026613902171311
20 NGC1333_20180311_00010_850 2458188.704490699 56.0 0.1 0.01226 3.0319961398600594 3.2882299461657625 0.8957985842269537 0.012621189069155346 -6.0 12.0 -6.007218575678905 0.773483198553569 11.892332764436588 0.7755381943957746 -5.968620852458685 0.7490465108576384 11.888798058837267 0.803455130012546 -5.964519858079797 4170.689160378522 11.906375844002838 4168.72755840532 39056.75962821191 275.0482262644245 -793.266208860527 18.161824686319232 37436.35217135216 327.56484286843255 -640.3365347318697 15.658677495754398 35639.2361877733 368.79864647151675 -512.75230956659 13.405411462618392 37163.59887911565 1690.7523836872394 4.6715372295524284 0.36816134963282626 4.934523916352859 0.423254030533933 6.06488011999317 0.8747132236620339 35936.60428736101 1964.9036755717734 5.3489473264698795 0.46121763252312126 4.897433664547852 0.3817360650376323 4.231054380108839 0.6576146322188539 34479.74253174935 2201.9410952257995 5.117307016414694 0.4167686628136852 5.913999386234498 0.5486823276556402 2.5413111956056564 0.44742605219028536
