# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
1.587713566285332867e+01 1.403917179202616516e+01 1.246647160306352120e+01 9.190071577385555912e+00 1.193364636215681074e+01 8.176277389630879355e+00 6.288445177041809275e-01 5.449381404105943183e+00 7.164404896646634491e-01 4.934278858827957137e+00 7.887431409129265214e-01 4.545063370066722008e+00 1.749664085174239547e+00 4.490730992451671177e+00 2.160204433742110197e+01 2.216580308631863172e+00 1.293382340414958920e+00 1.107038068313663715e+01 2.518055158458229581e+00 1.350709748536536248e+00 1.174740140258485166e+00 1.963361418541405001e+00 7.501998337846858433e+00 1.086206182691983990e+00
2.355461811982614950e+00 2.566247052398387574e+00 2.846847626574299461e+00 3.194914901719411837e+00 3.329794181840396217e+00 3.799381747831056977e+00 6.121534969975704898e-01 5.304741739745870710e+00 7.008189784384347698e-01 4.826690117300797667e+00 7.730177788827182761e-01 4.454447240160334331e+00 1.647497760673672929e+00 1.800755373734034492e+01 4.408756226940374390e+00 2.082679426546030665e+00 1.237111311194680319e+00 1.032709267845395651e+01 2.350859406315422895e+00 1.294732448092986932e+00 1.155501063483154844e+00 7.602193976473977877e+00 1.827070405142306564e+00 1.078273154279526080e+00
2.341813795958171518e+00 2.487525286552571213e+00 2.840643206666189524e+00 3.125564773877551161e+00 3.329265464063730029e+00 3.749135995217681927e+00 5.883151687015795162e-01 5.098165909393796547e+00 6.741392279705236135e-01 4.642940961225296093e+00 7.448051763067368158e-01 4.291874653775637150e+00 1.595091274501713619e+00 4.018311003963315642e+00 1.816416225502780080e+01 2.121787153700277706e+00 1.215090447473715196e+00 1.006006785263890180e+01 2.355646272199783287e+00 1.333687316085683028e+00 1.129600593552765542e+00 1.898082675158808241e+00 7.099046008620990555e+00 1.104248971150849856e+00
2.339734521612923057e+00 2.443235252052242679e+00 2.853096378052449644e+00 3.079142483835116906e+00 3.352125976369967564e+00 3.699448695212813387e+00 5.762175475826269988e-01 4.993331544631840480e+00 6.553690683334492117e-01 4.513666953018812933e+00 7.190229062243269631e-01 4.143306552160564316e+00 1.533286949086769546e+00 4.149487345135012717e+00 2.010213440885743452e+01 2.103231293020628279e+00 1.161175914629789974e+00 1.081636238888265922e+01 2.415381888458056014e+00 1.322004504014045345e+00 1.081661937678669583e+00 1.953945214871927849e+00 7.615752219716620530e+00 1.100090908473605023e+00
2.279234635949363597e+00 2.407134896674420599e+00 2.778981809371322775e+00 3.027812997034281750e+00 3.271314958674351292e+00 3.641931459041662045e+00 5.541946179729848598e-01 4.802487190438223585e+00 6.412187310296945109e-01 4.416210515711452622e+00 7.130181607364094454e-01 4.108704770226798253e+00 1.637064978237438240e+00 1.701078775214573824e+01 4.697119367879419194e+00 2.284383534580264108e+00 1.220645605261494016e+00 2.655664641324050557e+00 9.079039678318407525e+00 1.395921045555767126e+00 1.122656192636379835e+00 7.101399018691835430e+00 1.874549170620752880e+00 1.134422773325199474e+00
4.426148125453749316e+01 2.602555770755173725e+01 2.585473818738367235e+00 2.791567091322516792e+00 3.069316075811657551e+00 3.402853242989587468e+00 6.110922193994973162e-01 5.295545078429794827e+00 7.144393367117495286e-01 4.920496404676682367e+00 8.025472467247731778e-01 4.624608329510166982e+00 1.842728640238779025e+00 4.436835684316423389e+00 1.847769356304402777e+01 2.280215021083478177e+00 1.356226737458807952e+00 2.639696565287004582e+00 9.096868240232984348e+00 1.362125966043656433e+00 1.207502843950059024e+00 6.778086705968992653e+00 1.776144779644775795e+00 1.063468193273419127e+00
2.313730811721857794e+00 2.461142328999998075e+00 3.272781857009947970e+01 1.793839342798568026e+01 2.661110013702647237e+01 1.496415656903350744e+01 6.716035586915093392e-01 5.819918452341093840e+00 7.558018219749056410e-01 5.205368735112473111e+00 8.253367744042737764e-01 4.755930992535828850e+00 1.660042043359517105e+00 4.045907401586756436e+00 2.272073609505374492e+01 1.963348142635201299e+00 1.258261839004900295e+00 2.543395223973775821e+00 1.109090287067719061e+01 1.243235719849444587e+00 1.166017508772623890e+00 1.901168658382512033e+00 8.218280363994329818e+00 1.034033450236631069e+00
4.660227653520385616e+01 2.543539161752766375e+01 2.721209009467975282e+00 2.935384120385974516e+00 3.203743458178724524e+00 3.543574392448130439e+00 5.663827720261908061e-01 4.908106117314805061e+00 6.558849442574611333e-01 4.517219825154819901e+00 7.312937509373689249e-01 4.214016271980618455e+00 1.656467997247141888e+00 1.705588864670824378e+01 4.645999850096625750e+00 2.248325552899595792e+00 1.236093732704646619e+00 2.625717242599352907e+00 9.128065414563252489e+00 1.372504115792400725e+00 1.135065755139974097e+00 1.921824338605941040e+00 6.844988049796708829e+00 1.112000377343307589e+00
3.957132732030427746e+01 2.879908923261794840e+01 2.761291571323919669e+00 3.104679263874328576e+00 3.241440505793153015e+00 3.716884193235808986e+00 5.863578773232551722e-01 5.081204533899088993e+00 6.783275983920492580e-01 4.671787172182026104e+00 7.554761396036732135e-01 4.353365147184624639e+00 1.660269719605296457e+00 1.772106425161932464e+01 4.568471608901896630e+00 2.151508560630172262e+00 1.234153759285503416e+00 1.007863659335490780e+01 2.390280909280167787e+00 1.313848430225438957e+00 1.135753188511528622e+00 7.290942691427414246e+00 1.814695895253792823e+00 1.070447038625298886e+00
2.208627516043440764e+00 2.336191460736748660e+00 2.692508208442268458e+00 2.947568687067465998e+00 3.180220148171233330e+00 3.560796635608913352e+00 5.706646962900953080e-01 4.945211987013817811e+00 6.612687928297477091e-01 4.554299615926833411e+00 7.370648987540919794e-01 4.247272040453149877e+00 1.642156515411605344e+00 4.177650075066551949e+00 1.769988123792295553e+01 2.208528742014322255e+00 1.228019187245000365e+00 2.556492090786148363e+00 8.921960459540247967e+00 1.351601347314135726e+00 1.122853451710211559e+00 1.863128085955213731e+00 6.662815729705180878e+00 1.090840813177063495e+00
