# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
2.245770902805602631e+01 5.414128524238965845e+00 2.977838135819255072e+01 7.324137139636878402e+00 3.144958292627712382e+01 6.960157352984943202e+00 4.811773579240471443e-01 2.151760927671891199e+00 5.554468402826475693e-01 2.091509397255098879e+00 6.267960097495491878e-01 2.089864772396714088e+00 2.526955920883250606e+00 5.858027272589581003e+00 8.322903852472792963e+00 1.075412853854520812e+01 2.525483549604944589e+00 4.813099512498077104e+00 6.754615452182366475e+00 9.175483596943658782e+00 2.774177632331632282e+00 4.613283456588562537e+00 6.388044263868425610e+00 9.625135095124727869e+00
3.159985147347523338e+01 6.823434199325408400e+00 1.876142825140000170e+01 4.584753374873255183e+00 1.612739399622907044e+01 4.164751567905478069e+00 5.117150543023983866e-01 2.288321402183701725e+00 5.788971932193016645e-01 2.179810621434989493e+00 6.474748520283161168e-01 2.158812189818644089e+00 2.567105001669753861e+00 8.206293479843751015e+00 5.559368402255702613e+00 1.126605578666632113e+01 2.601153969944557165e+00 6.736612060053921880e+00 4.748357553719882773e+00 9.827702942332809499e+00 2.874158302862229952e+00 6.450944738504141185e+00 4.662911111536891973e+00 1.038595653600020796e+01
3.419713573993337263e+01 7.343372621595188221e+00 2.248572247550203329e+01 4.952125234348192961e+00 1.855398663189083308e+01 4.243041352357141527e+00 6.225703852686990114e-01 2.784051665337334391e+00 6.445056755226893364e-01 2.426856304356386218e+00 6.762295522074346366e-01 2.254686206008250426e+00 2.521909957217939979e+00 8.914512204912004023e+00 5.455430992327507944e+00 9.739439656455518346e+00 2.450214837595058093e+00 4.420096684380667718e+00 6.605887755926853622e+00 8.217893821569727919e+00 2.664362991551534776e+00 4.168510636902587940e+00 6.023724488174201142e+00 8.495852385682685082e+00
2.696831864965994541e+01 5.960309859638409868e+00 2.121253816309327078e+01 4.539709450233361032e+00 1.848986822697022703e+01 4.588688618190193580e+00 4.284411424413049341e-01 1.915931594783239156e+00 5.336051144929820911e-01 2.009265390170383636e+00 6.314306126569376731e-01 2.105317457158636163e+00 2.713770422730581000e+00 6.094846771948390973e+00 7.039449514975625988e+00 2.510219238835576050e+01 2.824629845045742993e+00 5.347823406718883454e+00 6.322568936051702337e+00 1.979266574967371994e+01 3.095421090168098743e+00 5.203468421944608124e+00 6.238113168835727862e+00 1.898961986408645330e+01
2.763828544060276826e+01 6.464332984375355196e+00 2.012165711411634916e+01 4.538870657129930208e+00 1.702628287821423925e+01 4.381601037337492954e+00 5.173908581453162681e-01 2.313702852306868785e+00 5.932408307161308736e-01 2.233820913108143902e+00 6.652663704686597734e-01 2.218132730871107849e+00 2.548133417808560175e+00 5.508936301063394936e+00 8.176241126552403315e+00 9.008331095366035157e+00 2.590605472162751610e+00 6.762599873324271371e+00 4.590089698584366218e+00 8.117271796125914207e+00 2.884313803150215794e+00 6.449529038241201384e+00 4.524504606154393649e+00 8.928655993477914166e+00
2.614266146845005068e+01 6.660487299313512466e+00 1.994236889343316577e+01 4.712338393311863882e+00 1.759204274286377156e+01 4.658314047718087991e+00 5.297415575455002301e-01 2.368933572242091223e+00 6.151737264184129472e-01 2.316408223470297401e+00 6.851818110759854141e-01 2.284534835320355395e+00 2.665207981208282728e+00 5.967855401472233368e+00 9.079805752277541941e+00 8.850405796184475093e+00 2.733112092013257222e+00 5.137932678746173210e+00 7.699264889428987679e+00 8.028181634107697917e+00 2.979573595516830764e+00 4.975403210677342258e+00 7.358406731967575887e+00 8.517112306356262152e+00
2.873243195954108131e+01 6.365618689269057384e+00 1.956658821771871004e+01 4.469133729230574836e+00 1.764689646919111610e+01 4.413818088363234970e+00 4.277133449711940094e-01 1.912676982412905957e+00 5.378880080471948322e-01 2.025392402903753108e+00 6.306199262772648195e-01 2.102614464924658755e+00 2.737172976230020982e+00 6.283298803068253058e+00 7.505446770011051427e+00 2.058687613572219277e+01 2.834948954834107138e+00 6.660484684114422294e+00 5.401207914445677716e+00 1.720643223153379253e+01 3.110639206331998530e+00 5.305074699762932333e+00 6.478533244124938584e+00 1.733823878598299828e+01
2.682768785415763446e+01 5.904097420052514700e+00 1.931314324772166913e+01 4.533369348342215943e+00 1.761570748669882036e+01 4.555190851663562412e+00 5.110105316867666891e-01 2.285170888041070381e+00 6.116433557746137062e-01 2.303114778251084793e+00 6.932514722120827200e-01 2.311440715245299593e+00 2.817702596094322498e+00 6.012851866050460181e+00 8.312716734170669142e+00 1.125669661180169356e+01 2.903648101769916945e+00 5.223971370976335571e+00 7.162076514606702027e+00 1.028410499703697134e+01 3.181910207987490580e+00 5.115111757423836281e+00 6.943318666009619555e+00 1.105065156440113228e+01
2.787297490685784496e+01 6.000501911297958735e+00 1.822105306548810688e+01 4.469797312431491143e+00 1.746409386421277432e+01 4.394925288446002831e+00 4.508896001559891120e-01 2.016318115542342859e+00 5.521290483538161542e-01 2.079016395280969487e+00 6.454028951767968314e-01 2.151903879930536334e+00 2.707127966729792501e+00 6.112271817366547566e+00 7.912914514706089975e+00 1.349633936756499430e+01 2.751801243898780225e+00 5.125423925473060471e+00 6.664438553819914013e+00 1.160609436784201343e+01 3.033475540637501577e+00 6.470925177268907369e+00 4.943284749727298255e+00 1.206737595861851453e+01
3.011031192755620367e+01 6.487264445086600162e+00 2.064483314068992925e+01 4.680952390183533041e+00 1.495389505169128697e+01 4.009681277471955241e+00 6.367794039825723784e-01 2.847592465881935819e+00 6.978162653010290262e-01 2.627594860145776146e+00 7.542200185969829551e-01 2.514722185016824429e+00 2.629134455462391884e+00 5.304487151649301957e+00 9.011376533822950563e+00 6.920193121341212006e+00 2.671758313920411965e+00 7.346026131056275332e+00 4.442274145438678268e+00 6.296116048777987473e+00 2.985481881776695712e+00 4.433055576541697462e+00 6.948103351050612275e+00 7.011932341097041110e+00
2.926231879746349307e+01 6.499975802501347211e+00 2.158354571293051194e+01 4.787655193617418981e+00 1.681222335195387174e+01 4.277382243164057130e+00 5.571118437852207173e-01 2.491329814165476719e+00 6.216530503604503766e-01 2.340805825008698271e+00 6.872198708988730420e-01 2.291330131195728370e+00 2.630563446146517492e+00 5.655272774404463298e+00 8.565257918467136022e+00 9.279111094833071505e+00 2.635469598600942209e+00 4.683808937796319682e+00 6.905053672426562983e+00 8.111042497534160844e+00 2.904445700049853585e+00 4.533573219564916990e+00 6.541417627356114650e+00 8.643353435079889735e+00
2.711399301595006506e+01 6.151327117496044217e+00 2.060258171833966401e+01 4.666911613923297786e+00 1.816033341087229758e+01 4.585374356945997043e+00 5.219612058441778224e-01 2.334140832797134024e+00 5.973996536182901718e-01 2.249480787292992279e+00 6.727047665291229217e-01 2.242933847448462359e+00 2.625288999731517858e+00 7.832515416354778992e+00 5.352749414828222640e+00 1.100269359590789264e+01 2.698814863274777931e+00 6.559315394108070407e+00 4.661170877570608440e+00 9.863715970286120793e+00 3.000485496343393343e+00 6.341736602986126847e+00 4.631182845563516892e+00 1.067398357295424560e+01
2.579884933738764730e+01 5.545957324804358102e+00 2.117496896195908107e+01 4.597935905208342611e+00 1.829361232148513494e+01 4.591129728722047609e+00 4.734982308749220437e-01 2.117420884638797851e+00 5.830368743300317069e-01 2.195398380046880593e+00 6.822865544032009621e-01 2.274881483869656496e+00 2.840400254508259170e+00 5.818375830453426545e+00 7.187361029734695705e+00 1.676507727480405308e+01 2.955248277610138086e+00 5.073687327978792183e+00 6.313287026612782071e+00 1.461901006953411120e+01 3.271456740335663138e+00 4.992585242196836859e+00 6.223820060930165710e+00 1.520187221900864749e+01
2.679959032422478060e+01 5.819883409496318549e+00 2.010546708197460219e+01 4.666793112080026340e+00 1.747913590429903508e+01 4.576614681575661869e+00 5.491612892964109482e-01 2.455776005513940152e+00 6.360922623979513579e-01 2.395176005494458860e+00 7.104999117199251035e-01 2.368950515767079601e+00 2.774004332103486181e+00 8.554805586059725186e+00 5.580407326238748134e+00 9.202398103861604284e+00 2.865795611518201280e+00 4.942800741116870178e+00 7.128932186171979879e+00 8.586993938329543496e+00 3.157792791375630514e+00 4.853613302895839254e+00 6.852279151093819465e+00 9.454859256445086402e+00
2.763075977002904438e+01 6.241488892662147236e+00 1.797250365437654551e+01 4.684202883301843201e+00 1.536092920170162301e+01 4.104933229749007317e+00 6.116141043308485070e-01 2.735056643018414668e+00 6.986079714055126733e-01 2.630575999909035012e+00 7.743706573947040095e-01 2.581908497392647828e+00 2.781805444982604847e+00 5.265827850184957803e+00 8.357420396512566185e+00 7.472250691885698792e+00 2.852670257620318228e+00 4.507405000589169042e+00 6.961385007668670077e+00 6.875291877222810655e+00 3.183575025517769497e+00 4.470254634690702389e+00 6.714209084335280409e+00 7.680324521850090846e+00
2.982419851541532196e+01 6.840146669037988403e+00 1.782830069777475401e+01 4.514961202927277206e+00 1.730633991018080309e+01 4.545357550850845030e+00 5.582535432018695953e-01 2.496435334870302114e+00 6.453598491624248368e-01 2.430072650725762173e+00 7.208206519558978398e-01 2.403361929094232963e+00 2.773570194036201642e+00 5.739849262931947749e+00 8.679532293978853730e+00 8.699294637574954692e+00 2.830609507204556063e+00 4.890255445483882468e+00 7.251204221590285215e+00 7.918875058267299316e+00 3.101762846871771284e+00 4.747390560108124546e+00 6.893429789109179140e+00 8.603713077616490068e+00
