# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
1.212483254543971434e+01 1.310123088018058723e+01 1.221140062196099407e+01 1.920616239921525548e+01 1.932975704143916929e+01 2.634658657422124861e+01 5.478145046845525057e-01 3.696728178787042740e+00 6.294567858837356589e-01 3.446402255855022467e+00 6.982834762163537823e-01 3.251674570883796633e+00 1.963561010650041627e+00 5.420059829231697712e+00 1.336922497024564471e+01 2.721324274100780372e+00 1.803554437054412984e+00 3.674789478680249299e+00 1.011680508251773958e+01 2.120875518227538947e+00 1.865759274783766353e+00 2.915135888961488675e+00 9.580096571594449273e+00 2.090792408384178902e+00
1.231312695501579668e+01 1.322732257260844868e+01 7.758477067299711649e+00 9.144608084950849758e+00 7.348272435427004368e+00 8.063711759905789478e+00 5.842251569009913048e-01 3.942432353328042982e+00 6.703855496767109345e-01 3.670495501354795298e+00 7.433311163842062363e-01 3.461446487307307862e+00 1.983747745000286722e+00 1.611999015405787716e+01 4.699087741088776582e+00 2.713188727079347107e+00 1.777351133095099067e+00 3.531983863068667517e+00 1.028797378949633057e+01 2.030151673565742332e+00 1.799397869250269455e+00 8.467674617382991542e+00 3.055080387387236307e+00 1.931900482473916991e+00
1.467107192094158563e+01 1.372559653032542926e+01 2.254804271949055305e+00 3.673001233730552428e+00 2.543899648823984450e+00 4.237506544580532442e+00 5.193988607124151446e-01 3.504975474996094853e+00 6.133365000111260512e-01 3.358140468211105567e+00 6.949185043460370803e-01 3.236005001244874002e+00 2.093352137448504902e+00 1.616241640735632856e+01 5.387108341175368409e+00 2.923639966650044109e+00 1.819592652181725612e+00 3.770530750774799156e+00 9.644050273980960597e+00 2.091367213205472808e+00 1.810774674594734623e+00 2.764938418076143822e+00 8.499859928654673880e+00 1.930168086203522870e+00
1.446478306656693569e+01 1.407128913762400657e+01 1.005577193460742791e+01 9.733455480061182996e+00 7.724485699922148285e+00 8.431095298355220535e+00 5.335179379516915565e-01 3.600252968627124073e+00 6.143106143941744479e-01 3.363473972479148699e+00 6.869362714693434402e-01 3.198834356943521584e+00 1.901770772750942973e+00 5.277741442327076982e+00 1.286837820825690315e+01 2.702182128775076020e+00 1.746390450246595005e+00 3.574883794323161723e+00 9.829073576116208244e+00 2.091281349561861624e+00 1.801827404461673110e+00 2.817640696357600394e+00 9.297285819568882559e+00 2.042064090179900759e+00
1.299340421934630463e+01 1.362528533515856033e+01 8.233785607908975734e+00 1.094516279074553822e+01 2.648705894182813214e+00 4.545979158213324212e+00 5.893518586097198364e-01 3.977028041957719751e+00 6.706680432208075304e-01 3.672042170401806249e+00 7.383704181117849430e-01 3.438346162695040675e+00 1.965111886971052879e+00 1.624531277551910335e+01 4.638145752537808697e+00 2.466199650045996616e+00 1.760450368772080498e+00 1.046328848622564855e+01 3.348082071003230631e+00 1.888428144354385330e+00 1.815852392337445886e+00 8.373704681882172096e+00 3.048949452176310970e+00 1.866455423101341049e+00
1.777427803057279476e+01 1.852058283845275710e+01 1.026906455155037001e+01 1.049532579715284797e+01 5.069068804481284829e+00 8.257936448140597463e+00 5.884112866262588559e-01 3.970680885722866815e+00 6.720005792735342931e-01 3.679338071223418272e+00 7.378433024247349481e-01 3.435891589108106103e+00 2.023777613652915086e+00 1.504937250121666459e+01 4.548751670416009141e+00 2.729934949012046363e+00 1.862790608418477767e+00 1.030424846414204687e+01 3.441825836642273373e+00 2.140252848050796519e+00 1.924264847285498181e+00 8.420178107586426819e+00 3.189459998805172614e+00 2.110629790278574891e+00
1.516673106017872286e+01 1.564423043951746983e+01 2.372747487706167835e+00 3.956065304410675498e+00 6.172560268693035646e+00 7.691101556608975542e+00 6.006983572989105236e-01 4.053595745847768050e+00 6.825965520840340250e-01 3.737353167644832830e+00 7.502036854231606267e-01 3.493449768035902903e+00 1.941197510663220882e+00 1.626155534205722830e+01 4.539190710604238177e+00 2.538224357496698058e+00 1.755454063985789182e+00 1.080555324798072192e+01 3.347515356763326899e+00 1.949744037046777123e+00 1.789177906955773167e+00 8.616556598416570623e+00 3.033368867164909055e+00 1.891249580429678723e+00
1.302754035098373997e+01 1.318196750755906166e+01 1.081254225237832323e+01 1.124198583645412342e+01 4.665147318741614590e+00 7.833816202468020684e+00 6.661232695004113413e-01 4.495092126662425080e+00 7.497585794651296931e-01 4.105078767786565663e+00 8.163424033996274920e-01 3.801435821084030664e+00 2.088433147180182914e+00 5.134866885675075210e+00 1.485858222606780643e+01 2.378052255597079334e+00 1.908813927732295301e+00 3.482910248680289200e+00 1.095433159183076199e+01 1.880855218529500661e+00 1.960269665794645455e+00 9.089868101032326564e+00 3.080499900008980774e+00 1.864249005289433825e+00
1.493124977786264829e+01 1.540789280686388274e+01 2.442819359940100021e+00 3.983095147609402975e+00 6.177906887012928117e+00 7.575464776482442097e+00 5.910434044402573805e-01 3.988442839126660200e+00 6.714863182123400609e-01 3.676522426624180717e+00 7.403130186234657684e-01 3.447392237495344069e+00 2.033643857602750238e+00 1.522898494935239455e+01 4.621349342263584958e+00 2.737593067411858705e+00 1.860429100379566769e+00 1.035281416226038687e+01 3.465190425027749654e+00 2.128062045254631496e+00 1.907045579905475741e+00 8.368842436597059731e+00 3.172632726191747743e+00 2.075753635900440486e+00
1.267248294033598555e+01 1.403341868155361460e+01 2.403116280568306173e+00 3.968232882038364551e+00 4.576922128683602153e+00 7.527985197102888826e+00 5.712116834581417724e-01 3.854615631773698148e+00 6.514884603007848884e-01 3.567030115508160737e+00 7.221309109830270634e-01 3.362724134243925356e+00 1.947472565297456493e+00 5.087215815635430793e+00 1.272780281029583449e+01 2.571761443278028469e+00 1.796156293979974450e+00 3.464827873512555723e+00 9.605192919575697985e+00 2.025687218330324058e+00 1.857738181263386634e+00 2.745771352891537731e+00 9.048743593572645239e+00 2.002027978290918941e+00
1.119556908255516881e+01 1.527823918296560279e+01 2.309647677259369036e+00 3.882798875391305859e+00 2.633092196990690415e+00 4.497503535393551743e+00 5.906800766894688692e-01 3.985990997773524391e+00 6.690098815508993546e-01 3.662963412994162837e+00 7.349348826051016470e-01 3.422348029973163452e+00 1.979058500269576637e+00 5.267286512526628606e+00 1.367405479376231092e+01 2.536946386407562315e+00 1.797661511878962504e+00 3.519226433020331779e+00 1.004899345499817365e+01 1.971001792401170682e+00 1.826163793826863113e+00 2.725101310322324277e+00 9.225256188236736321e+00 1.912771158303717023e+00
