# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_off_x XC_Off_x_err XC_off_y XC_Off_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err 
1 IC348_20151222_00019_450 2457378.7284605987 53.0 0.063 0.144 0.0 0.0 1.0585762017877012 0.004510767342351341 8.0 -18.0 8.093840530711816 0.056594763232799036 -17.748834101535977 0.08285166808155252 3082808.8889655923 26927.69719814263 -32627.787222314837 978.7911595813146 3079214.7865423732 69723.25137662562 7.1464873717703234 0.5478935587585996 5.4516233530578635 0.2622548046078241 1.2919664121064915 0.13010954616764753
2 IC348_20160115_00022_450 2457402.826018501 67.0 0.073 0.1348 2.658641363014307 0.9132131999490412 0.9520840368384216 0.016895953641868966 7.0 -14.0 7.066056790385915 0.041968957687044284 -13.225732642500475 0.06564484356236987 4472781.935871545 36534.10690788047 -36538.93639145749 1327.973227077231 4390780.775357346 102511.83385894322 9.316101549994954 1.173271965127342 6.452291070790907 0.41696697094214186 4.407469401790075 0.14215221948803305
3 IC348_20160205_00018_450 2457423.7676156983 66.0 0.037 0.0936 2.3521606140109976 4.049147843757623 0.7357147772810139 0.01018766693681794 8.0 2.0 7.962443263005127 0.04772715673353156 1.8804436667020923 0.06846303062779391 3245090.565229659 26333.738851813167 -35718.62188151987 957.2014581382837 3239230.925433023 96125.37477735414 6.797419710086656 0.6463978933435611 5.446362836345378 0.3498997971704655 1.4276981285689478 0.1849190768025917
4 IC348_20160226_00020_450 2457444.7896065004 42.0 0.054 0.1682 2.8278901815670507 3.9827849026082163 0.8412607745250945 0.048034047300287035 0.0 0.0 0.0 0.7017763348276256 0.0 0.9345632162988731 3360199.79017793 36100.004570662735 -36887.513321352344 1312.1941112152397 3385016.0985273267 148487.12152054117 6.651772709331767 0.9069610829576789 5.2725367701415315 0.47719828191342395 4.602462384036132 0.24732778047758922
5 IC348_20160318_00027_450 2457465.7467245013 40.0 0.049 0.1458 5.346806617099271 0.7814110806299368 0.8311707140997815 0.020968349025821287 10.0 -8.0 10.31485707546517 0.05409489556270592 -7.671065456073677 0.08042687227765123 2997772.491177095 30563.043112745887 -33817.24793815014 1110.9318473624141 3001531.432933494 68862.26442614362 5.13182626845329 0.22712035141508835 7.1234647485923475 0.5477203435897594 2.840045406462641 0.10510619223357845
6 IC348_20160417_00009_450 2457495.6792708 35.0 0.036 0.1073 2.9824114826342885 4.2648744612091605 0.7472391932290909 0.02020237657606599 -3.0 -2.0 -3.2127709749958626 0.06807924806090997 -1.4503926262314053 0.10134828253511607 3465972.752421741 66083.28820879558 -37461.49909250969 2402.052356141314 3505250.171563587 381945.420725046 5.259297042368899 1.151393635226616 6.598467420121106 2.1112825642937785 2.8452785370283635 0.6942016803891485
7 IC348_20161126_00022_450 2457718.7500693984 40.0 0.049 0.09345 4.673272001758877 0.09634955897865893 1.311743686097583 0.07352746488783513 9.0 -16.0 9.098004637753206 0.0615144719488096 -15.803464626639766 0.09128096307027553 2640203.7704067477 28424.76473634243 -32717.346452772137 1033.2078729331386 2666425.6547695296 67681.06466755144 6.507787010628858 0.48110894463582426 4.833608679551543 0.2184345005204484 4.45147914598383 0.11217531243752894
8 IC348_20170209_00028_450 2457793.8217592984 48.0 0.091 0.3702 3.0589107372645903 4.018197914165 0.9412275025117909 0.05301145329220618 3.0 -21.0 3.3905030082923986 0.05339641930526068 -20.48096140250641 0.0856180663133578 3159468.7916413145 43630.04499944748 -39400.30555685846 1585.90252480852 3190951.4842625097 163493.47425687706 6.691617252342372 1.0914855854364287 4.716830038915936 0.42000862985710197 1.4889553299990144 0.1770038757960441
9 IC348_20170320_00019_450 2457832.726423599 42.0 0.086 0.4231 4.3869227943236195 4.506460496000955 0.8817850234441451 0.039246071416333954 -3.0 -4.0 -2.7614933838063394 0.06459735263509865 -3.5148072895738096 0.09278786821585318 2846530.9588355063 30460.305288564443 -36056.907739169954 1107.1974601916552 2884611.5381440436 106713.93675470019 4.829563984703412 0.3148276406280767 6.1947012168787525 0.5976880216005567 2.7980200064291907 0.19881996975112803
10 IC348_20170624_00025_450 2457929.2097106017 51.0 0.094 0.428 3.7663438047542193 2.766725794378999 0.8048439719335507 0.04282806732234722 0.0 -6.0 0.1798666979374275 0.06524795680815462 -5.6410460434754555 0.09413779732426819 2649096.971305429 27552.072312468787 -33751.815342937036 1001.4864915889211 2684311.3562447876 72744.44375036006 4.7850120493674115 0.2251681094771805 6.249617413797792 0.4467839368615343 2.7881210261598794 0.136489560455452
