# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_off_x XC_Off_x_err XC_off_y XC_Off_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err 
1 SERPENS_SOUTH_20160202_00058_450 2457421.2566782013 54.0 0.093 0.3382 0.0 0.0 0.8878947464332253 0.004994712365481376 0.0 0.0 0.0 0.29903665162250326 0.0 0.2912657821163564 609726.9459470501 45914.22997636468 -6996.911086088987 1668.9300457026845 644754.4829519462 298005.94681746047 4.37385907706464 3.1718153194318646 6.066216316363076 7.596734190914531 3.2129456973999546 1.5282834495009703
2 SERPENS_SOUTH_20160223_00065_450 2457442.2645138986 67.0 0.053 0.08435 0.563076159277626 0.32939360881980373 1.0425733930343313 0.029064937903178496 -9.0 10.0 -8.991119537773557 0.1125237582237777 9.97957780424548 0.1874850632310332 653783.5120058971 7059.178839739765 -6290.442100661147 256.5931250388594 647458.2578562045 24825.731656289037 8.290256893501681 1.4420823816259523 5.690483041919076 0.5003990997656168 1.3883595692722093 0.17134968946824208
3 SERPENS_SOUTH_20160317_00052_450 2457465.153171301 59.0 0.042 0.1131 -0.3165178439381272 0.5678565130885715 0.7023437946264847 0.018899172270922554 0.0 2.0 0.08535338749720722 0.12088760278094743 2.1070140847409675 0.19180564800330868 828653.8132779561 10749.296538911594 -7344.730771777648 390.724705251277 811524.2726525791 53673.40822919517 6.2418450874534885 1.1013756095185 8.798802366502775 2.920542315712624 0.1970798935137994 0.3694571141618486
4 SERPENS_SOUTH_20160415_00048_450 2457494.0518633984 54.0 0.04 0.07804 0.49687033714944534 2.1077881442539943 1.0293179550963043 0.0013324173443218475 0.0 -5.0 0.521482876362029 0.1169056207643557 -5.062929090346358 0.17666319638426353 600669.695491062 6588.611069813581 -6427.35118817408 239.48851732399947 606012.3588203546 24385.521080044724 6.837290021025055 0.9034033170448652 5.279919107967222 0.44004496454662184 4.755358545394733 0.20423689880138346
5 SERPENS_SOUTH_20160521_00044_450 2457529.914409701 41.0 0.075 0.318 2.560984737687822 3.2924709251291957 0.781231563827128 0.0007038346820602982 -4.0 -7.0 -3.747834978534172 0.23518892034973013 -7.0326740599711 0.385101196400855 980530.7680342809 67113.77259139596 -11213.9197297245 2439.5093071067477 984680.9256839794 411149.77738307416 7.200044360214802 10.741844797764392 4.736842630082131 3.428477436887264 4.879684389731839 1.3093203465000267
6 SERPENS_SOUTH_20160721_00011_450 2457590.8550926 67.0 0.077 0.1788 1.9487972808602947 2.2834599933105437 0.8809304421520484 0.01958556855030731 -9.0 9.0 -9.135417528840549 0.1700211637490382 9.20160481309739 0.29757224809259647 673708.1083239468 22650.35932302412 -7352.832408900328 823.3148099064091 669688.7143751757 138783.60978916936 5.448342537790581 2.456005272891198 7.050804461785077 5.051497601796244 3.0953242157219067 1.1025037319266622
7 SERPENS_SOUTH_20160827_00017_450 2457627.7498726994 67.0 0.091 0.3878 2.1240118474567504 -0.8477844214826824 0.7204200915268575 0.06593729088160385 -3.0 10.0 -3.1604961905459277 0.2818482564486464 10.173469401936927 0.437224008588815 861130.9797909553 64386.163791452884 -8525.227223092492 2340.3638418316586 895682.5726454122 410171.5909654544 6.40895832395428 8.255038802287357 5.216278055469205 4.762433479483696 4.987323610880944 3.0881649377349647
8 SERPENS_SOUTH_20160929_00018_450 2457660.7601736 51.0 0.083 0.3201 2.076370467118248 1.1047076665418174 0.8383523971077594 0.07418636190536465 -11.0 15.0 -10.73612749186151 0.21979657823048648 15.017196285919056 0.3670877245129567 658356.9279301073 75890.46355113665 -8317.152089793672 2758.5320452646274 651688.4698299154 474976.2635025144 6.391184465674784 13.649172811963894 4.795246601750658 6.247957623795975 4.797000027081928 3.0146792568927134
9 SERPENS_SOUTH_20170222_00081_450 2457807.2576851994 67.0 0.099 0.168 -1.653243579770583 -0.20082203342403537 1.3578273458045167 0.04861020871726122 -4.0 10.0 -4.155985048719401 0.15926306958657854 10.27665969723057 0.2280952615673347 780415.765158437 11646.477268010729 -8991.62632100194 423.33620352952516 788023.5313516525 59467.71728660352 6.662327113507904 1.5829580753578767 5.084146825231744 0.7496228038215816 1.538510528668906 0.35011496939889974
10 SERPENS_SOUTH_20170322_00094_450 2457835.087465301 45.0 0.068 0.1531 1.1645620278229714 1.7515517980311475 0.9441580544842836 0.019701399671335874 -1.0 -7.0 -0.9248116694559485 0.15320957603517824 -7.051674483948375 0.25848799382742066 733711.136813419 12099.825670509259 -9069.39267771653 439.81490234482544 753497.7046514731 57846.03149267813 6.200752506295081 1.3186851552053025 4.64884370778443 0.6085889808041427 1.7088758346087012 0.30986611212334186
