# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 NGC2024_20151226_00049_850 2457382.9589236006 59.0 0.117 0.01283 0.0 0.0 0.9654794657825282 0.008469521448471781 0.0 0.0 0.0 0.13031940368643757 0.0 0.2141741642466385 0.0 0.15203653087420424 0.0 0.2572930547060785 0.0 0.16956731852926954 0.0 0.29394700433981524 223832.54173651122 1531.684675898412 -1684.5845813158764 101.13931241456058 221621.47007819836 1662.994595669822 -1476.4718061672356 79.49661534208289 219033.2421935082 1754.9988911243922 -1293.1658908106003 63.792213856141444 214160.92353861875 4004.200857679054 7.4905322171441355 0.4874713079428471 13.234456364306714 2.474231671235357 5.8650170905219685 0.12198598404613677 213357.22863578473 3381.6887749696716 13.355856025181742 1.5634179039796947 7.627862657149392 0.3264100542057701 1.1520277189698485 0.07984553018035838 211808.23987555708 3308.4773098670744 13.820224869454321 1.300387243474903 7.8542922313642185 0.2760280322316569 1.1549997594086818 0.06413002730711355
2 NGC2024_20160116_00022_850 2457403.8056133986 64.0 0.057 0.009128 2.3279916608003663 -4.863322689131263 0.987745389646519 0.013624860225072206 11.0 -7.0 10.94637236224122 0.12195991278537299 -7.308676076799429 0.2042273162006048 10.918970685989933 0.14056564316897122 -7.274755585492386 0.24019087346552184 10.891568427374182 0.1565469384200401 -7.251004374998303 0.2725072343724093 253864.342209691 1637.3575032519298 -1749.2311328114176 108.11703941615211 251899.31989270102 1795.8083680899842 -1563.9451069217416 85.84554967233593 249495.05374130578 1910.2935583143571 -1393.8560792057626 69.43699787091583 243696.56246071562 4168.6399474940135 7.753693989793848 0.48959421019753313 13.935990747603 2.6245294249311666 2.716421431330096 0.11754172290373106 243390.71425736835 3310.0828055571233 7.816404809695657 0.2986040297478974 13.758298444869183 1.4591607191545755 2.719050141380647 0.07132975212556629 242115.1873603587 3185.099179608437 14.056950157349869 1.1485330130769027 8.000080481265174 0.24359702813934442 1.152904837814356 0.055886551741202835
3 NGC2024_20160206_00013_850 2457424.704884298 52.0 0.043 0.01114 0.6799352104725087 -4.468090371197153 1.0303573821522127 0.009868945729929102 7.0 -14.0 7.113387300608764 0.12873518493857386 -13.653764548785972 0.21141246998058713 7.083148296283213 0.15107626991330236 -13.64271255315225 0.25520704211865075 7.058243423004001 0.16951111761193613 -13.631399456783186 0.293250730221452 221457.11095858595 1475.3992197471937 -1728.957445548017 97.42270362695122 219214.63252450354 1622.6425572791459 -1517.608696669268 77.56765572960502 216525.97758320178 1728.7661904213014 -1327.2074347482628 62.83868477870689 211930.3937954771 3960.2979713619875 12.486172437391783 2.0796243288997087 7.35473355547192 0.4625518464613172 1.1442488968349007 0.12374224395619764 211021.49561865247 3374.0514751360465 12.7393338324775 1.371931045712624 7.487117176140503 0.3130974784003128 4.2865315193405 0.08081372373834625 209329.77246552703 3350.6047455025123 7.714162265157449 0.2699784841885748 13.269033484705293 1.1832236329278008 2.7198123770637266 0.06558588278603572
4 NGC2024_20160229_00022_850 2457447.7382407 67.0 0.044 0.01128 -0.010667883098663834 -2.5978561092575525 1.0720867165348102 0.011533321508377603 -3.0 -2.0 -3.0558433636418556 0.12913098173200555 -1.908720429434112 0.21237620480671085 -3.0955959142197003 0.15304492173058723 -1.9355133461857008 0.25908850535180744 -3.1288336769993066 0.1726038909124786 -1.9580545464486647 0.2992492499336601 220131.1721657018 1661.2878881309196 -1712.6705504914105 109.69719555128596 217894.20228470018 1786.1160426494826 -1501.972835421355 85.38222544555524 215232.78710053168 1867.8676079313234 -1313.4445359236636 67.89486332844221 210657.77559852402 3980.741937207876 7.249389412167508 0.448764487712383 13.173984866602375 2.448928574510756 5.847414421719012 0.11456306172213232 209779.45943751273 3420.2222795633543 7.401452618337713 0.30941464601635404 13.29690262300366 1.5789478334441764 5.851513388551794 0.07661300754764815 208114.1885784815 3428.4554320368093 13.76067995453506 1.3484429891818468 7.642847638825019 0.2712283937882373 4.2862320607775715 0.06354409643320211
5 NGC2024_20160325_00021_850 2457472.782083299 40.0 0.057 0.01187 4.894762218040409 -3.794386857168686 0.9299443719513029 0.012002167490530723 2.0 1.0 2.1431166914049413 0.11946097630103324 1.191523579490024 0.20075150140729786 2.1521437457788863 0.14132953218582017 1.1853847071864436 0.2428808782186295 2.16156152629776 0.15886217166059266 1.1798225670980287 0.27816292610297877 235957.26182619884 1593.0414031020903 -1744.9693014882032 105.19078337679169 233807.1726774624 1732.6886215759223 -1542.459179421777 82.82821952981408 231235.0029435288 1831.0995370588394 -1360.347060558309 66.5583859754126 226050.58443260382 4074.103575083804 13.314915069887293 2.451198285765082 7.5050132636971965 0.4748873043143426 4.31706688142298 0.1155037484753402 225423.18349484613 3344.457981182351 13.298131001130555 1.4564008154560524 7.616233481448345 0.3053210100122633 1.1696000332150422 0.07382439254484052 223949.1701431181 3243.3016809300375 7.823383384544278 0.25385598430141654 13.681221531840535 1.178069195075331 2.7388375846505575 0.05892466652900823
6 NGC2024_20160329_00010_850 2457476.674467601 64.0 0.053 0.008497 1.5555881070196884 -2.8644789812287907 1.0037023736837842 0.02000669340790256 2.0 0.0 1.917338990148238 0.1272046472865349 0.10999824327862484 0.2099489876125879 1.9031805352512379 0.14933534864693837 0.09465559887928521 0.2535165727052668 1.8930051017113385 0.16621398042089325 0.08282976908472506 0.2887449420044017 224329.2352046891 1449.0311665214988 -1609.9113830205717 95.68158417684336 222238.53699776286 1577.9046709820345 -1413.018286373523 75.42903698737811 219787.6162153712 1671.0347025722763 -1239.42072522573 60.74021064659708 214731.56375080306 3930.2839293959128 7.735371767587478 0.5217689375925674 13.66972657419571 2.6656014194249185 5.868348196763959 0.12630941669203935 214056.4994668941 3258.3718786119143 7.860292197423048 0.33972834540445174 13.741001053281936 1.632295557123189 5.867793705910406 0.08078950820658967 212668.67597416267 3137.374737493799 14.172657482281098 1.3214705581824657 8.079251853182738 0.2804024670090671 1.1579142228278325 0.06362684472401409
7 NGC2024_20160427_00012_850 2457505.693888899 39.0 0.052 0.01342 3.08295928127772 -3.808225813645816 0.83941949328283 0.009798749892129867 1.0 1.0 0.9221852668264887 0.11327602603941957 0.9438717874757288 0.19614956454666807 0.9283207613487718 0.13090469707687605 0.9302757543947564 0.23207609330484785 0.93191719187854 0.14424496777587564 0.9172502096416792 0.2602273306702295 265288.6571276468 1698.4537972265584 -1664.370406935387 112.15131240282086 263390.49541655765 1841.4099682302317 -1485.1624016179542 88.02545759597072 261166.34967099095 1942.1617762376786 -1327.5172112761045 70.59537146300072 254783.12529570796 4253.40865447555 15.842806530777494 3.8015030436377706 8.12992771039176 0.5505806247231633 4.330731417239347 0.11309189196755129 254823.06838156792 3228.5603975957283 8.179740945657482 0.3166735033400405 15.135883833044648 1.824119755653659 2.7583343598299273 0.06676095939977032 254001.67150536142 2930.8906307872694 8.341300379682174 0.23943045978901487 15.147325704010965 1.2685748208174437 5.901079654240299 0.04970232538372895
8 NGC2024_20160826_00029_850 2457627.2134028003 67.0 0.092 0.01181 1.8435510478663368 -5.039556788890646 0.990322360980081 0.022065136025845977 8.0 -4.0 8.185541683038679 0.13040409223964547 -3.8507121991441693 0.21167592506229496 8.172607784870621 0.15396877291518168 -3.8129106180543886 0.25853932205006747 8.16114382653626 0.17332667644392682 -3.7828817724948465 0.29881903727943876 230801.64782365007 1684.5944964370565 -1801.9050719589677 111.23616379974163 228436.16364920101 1823.5484941847385 -1578.778687915433 87.17162012176698 225628.68056791316 1916.8958475526942 -1379.9724499865422 69.67698413083431 220868.3653706659 4158.110936917426 12.93142111133326 2.3099404789077456 7.270778351614155 0.4505545614478898 1.1337174355829847 0.11720355680611544 219917.0934992335 3574.754020870336 7.419637742500084 0.3103928593529813 13.115131760131492 1.511806829999272 5.849913484853694 0.07803532519376907 218136.64431914786 3580.8150179516206 7.6608266896775685 0.27180534049924976 13.615807348611577 1.3024649992161192 2.7135128487944256 0.0644741301656072
9 NGC2024_20161119_00099_850 2457712.1103472 47.0 0.067 0.008818 2.620444599441902 -2.751990828568756 1.0017959250622963 0.016592042852615143 1.0 2.0 1.0101761882927178 0.12180516539777735 1.9170791755856271 0.20445542139951112 1.0042110487970604 0.14562569448957513 1.9165946150869502 0.2503867149281019 0.9980520201548586 0.1649245828291652 1.914025918139174 0.28923896540267324 229267.60552635026 1756.0481117891054 -1777.84235400272 115.95434802030938 227035.00606733144 1882.205946477989 -1567.5976796223654 89.9756396669119 224358.0600528735 1962.9952583393838 -1378.1312590413559 71.35264557065123 219560.23580971954 4071.583041844537 13.25805238695393 2.4744630806832926 7.206027618751165 0.435549242873542 4.300780114089827 0.1080497113502544 218791.25930485045 3447.3021161243505 7.345362473739646 0.2940833933179632 13.235105846916218 1.517965533695753 2.728590216204095 0.07192521701143648 217178.6910500118 3426.6962976234854 7.57218149832954 0.25427070166258575 13.609712935255962 1.2601059863691508 2.7302808527710205 0.05943423404907077
10 NGC2024_20161126_00053_850 2457718.9750694 68.0 0.063 0.008582 0.755937592521003 -0.7091294370401039 1.13541806238978 0.029335680967867282 2.0 -4.0 1.9672479135524554 0.13037616091125362 -3.726088433470551 0.21650035992595604 1.935498506584679 0.15384708083388937 -3.745064983472787 0.26185268715788795 1.9105612830928749 0.17311258293685125 -3.7584514994264566 0.30084175374562183 220878.6198156812 1590.9055657857066 -1664.0215837836038 105.04975036433696 218700.96624399556 1717.3228921434873 -1458.6528543957568 82.09368684659721 216123.48074058618 1800.6297460067055 -1276.1213156805602 65.45084433046668 211408.3796924158 3933.1172555670255 7.421190236289612 0.4709096360387485 13.447631450224891 2.5600075046956814 5.847121117334574 0.11802587426073206 210575.89868208085 3352.556871751958 13.560025183741086 1.6303156334464208 7.574079848434406 0.3209542118735031 1.137914508339108 0.07823675129853237 208966.37586009587 3336.7783586136934 14.023505138451105 1.3783166426156408 7.82291573436345 0.27879262653300724 4.284183644922486 0.06442973610463239
