# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
2.975208127445871042e+00 4.116966356040888897e+00 3.480921615192777985e+00 4.952458506900018875e+00 3.891547793688022505e+00 5.664101208549544353e+00 6.842332714638271751e-01 5.855270336872433923e+00 7.503151346075528361e-01 5.234651030354140921e+00 8.013693608678349456e-01 4.789985509432455046e+00 1.868621693730621036e+00 5.086379483235981880e+00 2.314825192171789681e+01 3.295240321163958708e+00 1.584145525268175092e+00 1.612798875009567467e+01 3.013245924522387487e+00 2.325564396459311123e+00 1.561653913671166016e+00 1.218001983169469682e+01 2.620608729824063232e+00 1.915914219562791398e+00
2.784359914772952749e+00 3.925762907678118196e+00 3.218292227840915842e+00 4.623270285833981141e+00 3.592731772260491230e+00 5.250975627439617988e+00 7.314393743273418513e-01 6.259232722574107122e+00 8.102384703722327330e-01 5.652712296113674206e+00 8.722801681746553681e-01 5.213837136460480082e+00 1.945359714985542610e+00 5.108530297647435603e+00 2.455439763808964315e+01 3.175186295049789997e+00 1.550601848254788528e+00 3.080355175828835890e+00 1.347020422184641220e+01 2.077535606273562152e+00 1.503417473782275415e+00 1.075768387211399535e+01 2.312708942421503711e+00 1.669636575243203414e+00
2.939040217211742245e+00 4.063879643089315152e+00 3.458936154752387360e+00 4.912306273502546894e+00 3.890257989982042641e+00 5.650684616384705983e+00 6.590894658201541523e-01 5.640104258832975503e+00 7.321089749509759326e-01 5.107633919254272570e+00 7.893909586576748350e-01 4.718387579408675592e+00 1.848133739028715361e+00 2.169924331340143553e+01 4.327511765863188309e+00 3.342682644274518111e+00 1.580567847024654249e+00 1.415263853307359909e+01 2.890351227273260104e+00 2.353763801764177099e+00 1.581538733354470594e+00 2.528741579131907002e+00 1.123351913468852104e+01 1.959408575184030665e+00
2.948076307028945298e+00 4.082405051460827217e+00 3.504009023912006526e+00 4.987017911678034210e+00 3.961236732929055648e+00 5.766270835158169739e+00 7.421295416906312781e-01 6.350712891113835745e+00 8.058654564812157695e-01 5.622203567777642519e+00 8.529075879897870527e-01 5.098042407519077557e+00 1.857674228989965259e+00 4.682504274431654068e+00 2.291152289420196553e+01 3.094722916363778165e+00 1.602196470502049053e+00 3.191875900463913229e+00 1.457601585139840772e+01 2.231414610887104910e+00 1.618285495662825868e+00 1.263013185691985640e+01 2.575040986928050391e+00 1.898409263769902378e+00
2.727308885318676435e+00 3.858949001275312707e+00 3.235781694188698321e+00 4.675048352437248589e+00 3.645866072474067909e+00 5.359955851402944838e+00 7.116425123092130489e-01 6.089822630926161828e+00 7.817599045215617437e-01 5.454028738687934919e+00 8.361185144442485617e-01 4.997689922980243615e+00 1.901242868051268964e+00 2.557632514346974162e+01 4.442919021081531028e+00 3.120133941597489358e+00 1.566704832376235590e+00 1.502401623232942285e+01 2.818562961637620212e+00 2.150193987123785178e+00 1.530889980153486096e+00 2.377730894162915831e+00 1.118458292801302889e+01 1.760401659354974724e+00
2.904097853044202093e+00 4.035747829465084813e+00 3.419077244320858799e+00 4.879767580856794851e+00 3.814589122463359683e+00 5.563862025547348544e+00 6.473103446964365570e-01 5.539305421805282847e+00 7.119239946350571779e-01 4.966811284801727844e+00 7.630295485431179969e-01 4.560818809223140313e+00 1.834127226386675691e+00 5.444248258139174013e+00 2.493865626937378721e+01 3.412030374480464534e+00 1.526377965165944373e+00 3.504587557059712033e+00 1.506849397481121677e+01 2.353058505195074090e+00 1.480890778016877629e+00 1.237749577014650981e+01 2.662139591284200080e+00 1.900881407220768926e+00
2.586105704781743952e+00 3.770488195115615060e+00 2.997101992298044859e+00 4.467074417724510305e+00 3.310403154142670168e+00 5.014352643114251329e+00 7.587322745948565927e-01 6.492789372167134587e+00 8.308131438177397410e-01 5.796253718719264647e+00 8.868318659326221987e-01 5.300816289325569919e+00 1.984918331160208771e+00 3.966569267064494397e+01 5.151085548082559029e+00 3.054981810592653613e+00 1.512412834902343350e+00 3.266757203125831399e+00 1.683931407363798272e+01 1.944465894369675318e+00 1.383426995391721315e+00 2.242614854286875126e+00 1.204384287708557899e+01 1.484879953223724902e+00
2.977141577605081579e+00 4.068943912682869701e+00 3.525160871689545505e+00 4.976447056908337885e+00 3.977824566390203209e+00 5.757981014276404963e+00 7.525410559526514165e-01 6.439808564393039170e+00 8.227543477533209026e-01 5.740030680859568690e+00 8.752949121348644335e-01 5.231857058297097574e+00 1.940446190845214414e+00 2.410241109162916828e+01 4.215268365580138621e+00 3.166051322955846459e+00 1.674586563971117492e+00 3.201967005118758980e+00 1.395620542463023028e+01 2.272840740450063901e+00 1.690201643589723135e+00 2.545852748289655576e+00 1.236559605790863259e+01 1.926194451573655764e+00
2.780827012747223659e+00 3.930147663574510286e+00 3.334143608522895708e+00 4.819523083423256082e+00 3.784997616288719779e+00 5.573381423554095271e+00 7.844607726930263869e-01 6.712958969028504086e+00 8.492196016559769856e-01 5.924668275025870123e+00 8.963448715082545926e-01 5.357677962295478657e+00 1.900066622588549414e+00 2.581907497022990938e+01 4.074882605199338315e+00 2.918776024275235415e+00 1.614881967236880822e+00 3.033720956469020624e+00 1.401305933759843825e+01 2.094878993371040998e+00 1.617455156239596903e+00 2.381615326057288762e+00 1.196343980603805157e+01 1.775625224641167677e+00
2.976503901918337913e+00 4.161681690325044869e+00 3.522374695276991652e+00 5.040223761776786660e+00 3.972911148390029901e+00 5.796956988215626438e+00 7.106883923279273541e-01 6.081657789830929417e+00 7.748271463650043822e-01 5.405661619528403072e+00 8.222053677723547560e-01 4.914527604106225134e+00 1.835449441464523712e+00 4.913571470110890793e+00 2.395074775297671010e+01 3.188264806369028648e+00 1.570498741901690032e+00 1.681809587084687152e+01 2.962880457954447433e+00 2.278707435513605883e+00 1.575012458825562511e+00 1.290994211582125217e+01 2.646855774017242258e+00 1.924868158474192903e+00
2.953410678163956415e+00 4.017867635325654163e+00 3.497011720389139100e+00 4.883626164896518240e+00 3.949388892986512634e+00 5.643509638322237620e+00 6.644379177761151611e-01 5.685873180345176081e+00 7.349626688155043164e-01 5.127542909054047193e+00 7.907207647898373271e-01 4.726336196780919430e+00 1.839498471124076495e+00 2.198386423187200123e+01 4.352331551608550342e+00 3.449938340867638065e+00 1.572953431080875042e+00 1.431112070291699290e+01 2.900946717028320077e+00 2.404591822379325894e+00 1.581169740603334262e+00 1.128274888911890095e+01 2.584472600764067263e+00 1.998398183442519294e+00
2.746021296444623783e+00 3.930962574887501226e+00 3.233650396470729493e+00 4.732969470970181725e+00 3.629373805918755025e+00 5.407560895635200815e+00 6.786895400324434169e-01 5.807830200563270928e+00 7.490945963527109175e-01 5.226135782612042036e+00 8.043393435457327767e-01 4.807737836225902228e+00 1.802531732838935641e+00 5.118745559725177863e+00 2.572849270311516179e+01 3.088015363806218883e+00 1.467294811174787217e+00 1.652020080692514270e+01 2.858680813969560752e+00 2.088485795209829465e+00 1.417937553926779337e+00 2.371393463096168386e+00 1.205423677303876850e+01 1.684943348529722718e+00
2.813893158598265831e+00 3.908182520565985030e+00 3.367621348091247135e+00 4.801186200961595318e+00 3.809255451312273166e+00 5.546078957576454194e+00 6.758231877599937265e-01 5.783301639845054076e+00 7.425356950302287595e-01 5.180377001894627575e+00 7.935853498284202168e-01 4.743458548421471299e+00 1.800222445142858563e+00 4.806683734933589136e+00 2.159906681276352813e+01 3.172284672198561140e+00 1.530712044858723253e+00 3.196837883969367411e+00 1.356716225504620610e+01 2.248992171734888412e+00 1.521402796665141111e+00 1.156380123191017795e+01 2.515694994527452710e+00 1.874223288068464832e+00
