# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 OMC23_20151226_00036_850 2457382.8616204 62.0 0.109 0.01162 0.0 0.0 1.0215580205421393 0.011038462943458014 0.0 0.0 0.0 0.3289322444899343 0.0 0.4762762742042078 0.0 0.21479111598114625 0.0 0.32034605500407454 0.0 0.20339207197729045 0.0 0.3130313829719697 71728.73508721312 453.72461225801754 -761.8612929624944 29.960080070305033 70673.04309021712 497.3011260826989 -662.4265576153228 23.772630724928206 69423.4236015067 527.972720200047 -573.9666562648588 19.19120784963106 68473.79702910197 1483.2266583154658 6.377274852525091 0.37363131139869726 8.852842879333204 0.9343159696585005 5.956689946853315 0.14283780661245643 67899.60379966308 1365.0424833650686 9.136879191587408 0.7021679889054957 6.540943454794036 0.283078552127332 4.387792921829227 0.10355062895986976 67024.17252599407 1414.867046366202 6.76402493762971 0.26094896416926333 9.564388245046933 0.6513218698933134 5.955504990477867 0.08968591459190008
2 OMC23_20160116_00019_850 2457403.7694792002 56.0 0.057 0.009248 0.47724017368344057 -2.37968348386719 1.0057105376499758 0.010068892134468233 -1.0 -4.0 -1.0452433662462397 0.8603651643828903 -3.71748732242537 0.9348132727129231 -1.028173157393553 0.44062029935382296 -3.576437900225045 0.5458370462006529 -1.0535382874742822 0.3380638902100859 -3.5724916386822088 0.4034226638574822 76522.90698115947 423.2578617873962 -763.5210430142829 27.948317133790912 75567.24297592073 477.97272577170935 -673.6190197279135 22.848669280335457 74402.68141361173 519.9976844305819 -591.2230387386035 18.90132443550282 73187.06887808068 1479.9573369933148 6.609536554806181 0.3905341569242575 9.102768285522318 0.9704021000519437 6.044719932559568 0.13473234809251536 72746.35199430714 1313.5571046467696 9.3165941995242 0.6819502926867481 6.7215768087249534 0.2759363757889812 4.462580066054699 0.093723637048505 71957.73519335243 1357.3749368823774 9.70107902537525 0.6183355838507888 6.909897252893718 0.24774743032042093 1.3088092722384033 0.08051127125275508
3 OMC23_20160206_00012_850 2457424.6887153015 47.0 0.041 0.01156 1.0974368732480215 -3.8150819696126472 1.0077195789013884 0.006409009339564273 -3.0 -7.0 -2.9662402475057377 0.8550860902197334 -6.823427338767715 0.920179108105873 -2.961729818862864 0.529968766187189 -6.716530407033105 0.5560977811754761 -2.9532500515445292 0.1495744648542416 -6.641806648998255 0.24113043241511356 73654.72718439497 442.25288204366285 -764.0463693804261 29.20258514398129 72624.36082040735 493.94796768613406 -667.0604641513635 23.612338714173706 71382.1519428868 533.3622791848496 -579.0787819969473 19.387112160618546 70345.64835809296 1496.0778648080743 6.459811717560074 0.3855254331756557 8.988957492172952 0.9834696039827584 6.037418802238829 0.13393082868197 69777.51353354132 1373.3234309049092 9.286869574710135 0.7366526709795078 6.616584296889676 0.2885517408619163 4.459682491696716 0.0970741449548275 68910.14956566149 1422.4587982212204 6.8318420155095625 0.2635294814583352 9.72659863887571 0.6823133230419945 2.8810432693675208 0.08395299694976695
4 OMC23_20160229_00011_850 2457447.669282399 59.0 0.043 0.01236 -0.551694907530692 -1.0194051030144877 0.9114885608337652 0.008765934741099242 -1.0 -4.0 -0.9845339778939888 0.5875817944797966 -3.596952315730249 0.7415299327961273 -1.0076903680779594 0.4971384190834403 -3.546596600247085 0.5839788661258055 -1.017978615413341 0.32698021971798646 -3.5391065966458086 0.4070976798612983 81942.81360289025 499.7184817248461 -749.2467090952043 32.99712043799466 80937.20148062489 539.2717852314013 -654.5159470326896 25.778966102690696 79785.1609060698 564.6303942699591 -572.8799886962156 20.523672650714474 78284.53553916965 1577.5940917950509 10.09026516381501 1.2425261207576064 6.953171776501841 0.43462004977148266 1.205865336176785 0.1448430314815244 77855.54699977677 1364.6411062896996 7.101717549228785 0.30271417360246006 10.259611738463079 0.8329200967415182 5.919252852032212 0.09885533177719608 77155.61077184415 1337.088497242096 10.599496295428803 0.6975035411014677 7.3061383512279265 0.25740684895988847 1.2042723304492293 0.08058649511427073
5 OMC23_20160325_00015_850 2457472.735949099 51.0 0.056 0.01094 4.615651125661402 -4.81958625182221 0.9596143497139786 0.007784448383769177 -2.0 9.0 -1.9872920586656733 0.8255607396851538 8.478766456587891 0.8950881740661946 -2.0447657364876193 0.35620723205305316 8.218388082648971 0.4994290348559692 -1.9949474097544453 0.3252964741101406 8.188592019885448 0.3971294507328994 67246.3206506652 353.78202272823125 -793.4200057632943 23.36072911929052 66069.13437048311 389.61093339205837 -682.444323385825 18.624685075063667 64688.99248409218 420.1263741942688 -584.6989091221466 15.271115884287752 64148.46425372144 1499.0349096130221 7.68862747486743 0.6226330743619467 6.221057829032966 0.35836778044024503 4.143154765094039 0.24311829816264638 63473.232929957354 1396.509309952492 8.026718186282315 0.4969514681187728 6.387107471874592 0.2805921745806124 1.0212249079933535 0.1686716061194318 62487.6460770636 1459.1421221001447 8.494722630229711 0.4853314142658447 6.604091010055854 0.2649716656231027 4.174157691965959 0.1385842424250177
6 OMC23_20160422_00011_850 2457500.7114120014 35.0 0.05 0.01136 3.101173376836198 -4.68538926891084 0.9575790080383347 0.00651652163446756 -7.0 7.0 -7.0311283084981255 0.7732254718716186 6.601653519468016 0.8128251867723548 -7.035281422368172 0.35618896405500156 6.465668698960002 0.5439581613378021 -7.031570901340757 0.2849353045977992 6.355110052066124 0.40136038795711637 71368.66433994581 378.34936001799235 -805.9846491734755 24.982944915406748 70283.1654090539 417.10431048607063 -703.8828150572955 19.938958897800415 68967.06409683087 447.44728484192285 -610.6853527034995 16.264199944266572 68196.97409697057 1492.0495977325113 6.276224656190046 0.3591456985649136 8.00562208344642 0.7005276728947852 5.916135533821673 0.1827696145389125 67639.0752147341 1360.7050528009856 6.419065831622697 0.26778651839113293 8.239493069242842 0.517639809593558 2.7582997830374936 0.1317332540276928 66766.87592058131 1416.4520840373648 6.612655106736019 0.24627464364345067 8.601584955651292 0.4789692609785986 5.881777341412784 0.11347807860721665
7 OMC23_20160826_00020_850 2457627.149050899 52.0 0.106 0.01442 1.044320862792239 -3.7784555289887582 1.0099971463934483 0.012336424766100298 0.0 -5.0 -0.08505918150481762 0.7134434910785932 -4.867264901020178 0.7587833446276293 -0.0922230128188346 0.5701428777475688 -4.867460535058825 0.6309928140900889 -0.09040878476392322 0.23597035706018285 -4.75171314042683 0.3622027357518016 68889.65631261964 426.34502608616185 -773.453631413927 28.152167149022567 67781.81336392253 476.61945065127367 -669.305886341027 22.78397848920198 66458.47198418449 513.9822203431993 -575.5041450358337 18.682669133083227 65688.75842463314 1500.647666491039 6.211221765738955 0.3725356826891069 8.453486348986985 0.8859847258808914 2.8866426928370235 0.14313630551826195 65025.715965836534 1417.119722138779 8.7959204670966 0.700519601237818 6.386905652718268 0.2918591050473182 1.3111667899310238 0.10690375035897352 64061.72036456946 1491.6027560842983 6.621319837126366 0.27542430374298993 9.267469056959962 0.6737024897016581 2.874506475298918 0.09442060231570916
8 OMC23_20161126_00052_850 2457718.9526851997 63.0 0.062 0.008352 0.4525208988064875 -0.4908831733329374 1.1100753344746055 0.008608570397056642 1.0 1.0 1.132131045789123 0.5953953523661119 1.0299875034785657 0.7110926989679461 1.1015718759868776 0.5627651055838852 1.0486709804207806 0.577416394493226 1.107840855985586 0.29658820390967666 1.0414611748057325 0.35927364967869957 73615.04625543996 477.2138155128817 -782.2940570797094 31.51110534386189 72525.37807508123 518.5953630969877 -679.5708733455964 24.790565057988246 71234.61670232633 546.8369623269716 -588.1868289842671 19.876901737624856 70266.2044979932 1528.241830514629 6.365372649429596 0.3722204148809105 8.892007399759061 0.945341271440616 5.943223567272483 0.14242611874957922 69665.48706231007 1407.6782752562794 9.172393812942708 0.7095455052504795 6.538369625113927 0.28351980692251993 1.2314539611130488 0.10409873925530415 68761.68626574305 1456.5631238652934 9.590557160890585 0.6544927091499081 6.769976911279841 0.2618557850106526 4.3686438846839835 0.09068561976988315
9 OMC23_20170206_00021_850 2457790.731446799 60.0 0.115 0.01159 -0.47525025267452026 -2.807297831781333 1.0162574634523651 0.005906064644995517 0.0 -2.0 -0.030889770364183278 0.7304954040267145 -1.9429107376751915 0.7510208079615767 -0.033379103223808215 0.3410148021158199 -1.9249123427787538 0.4514919199136421 -0.03219478359633854 0.23273496126451818 -1.8998625367663067 0.35022393669665935 71429.00392229467 401.7857347293815 -762.8161510519576 26.530482575761635 70394.51132066868 453.50115906567964 -665.3001381944032 21.67884806377493 69152.13107344389 493.6843598699275 -577.3592418054423 17.94486491890216 68205.70796793602 1468.0187476056522 6.418508487698696 0.3802207389357188 8.622256516631282 0.8698197679884083 5.986033393804904 0.15199063115306174 67640.00805945239 1352.7644564188454 6.561381650486071 0.2851151895684484 8.927467854998955 0.6601030086830469 2.840133954478578 0.10842889940215383 66753.83976144965 1414.3363046221198 9.374846008948849 0.623304084138959 6.77231697996348 0.26349520756403394 4.40429755382965 0.0934638463123551
10 OMC23_20170318_00012_850 2457830.6846528016 64.0 0.102 0.0115 3.158122988996289 -2.6219241336988204 0.9542825264973365 0.004370162969735039 -10.0 5.0 -10.124973829776422 0.7176388891779003 4.828181920034297 0.7172892416513944 -10.120807021121266 0.4851742157905285 4.75498728155236 0.5340338126925352 -10.139892373430172 0.25611595893141953 4.694508462001693 0.3808087112137711 72870.92946946266 423.01612495321 -781.1347585131156 27.93235531174676 71822.55847563218 459.66773386370403 -682.4947794973813 21.97363046641143 70580.67268096581 485.0271824578964 -594.6038925896676 17.630186467827965 69617.93885783525 1492.7403504770007 6.406698938275034 0.3697561318170088 8.530137927903748 0.8138477326313238 2.754206124197911 0.16542062217616837 69098.80594363385 1349.3262208952785 8.75305961083227 0.58971563519276 6.549497014727728 0.27265854685677826 4.316744261057001 0.11801724986992684 68284.15980689382 1384.1490748512508 9.102246305035758 0.5299489208830411 6.747886059752655 0.24652215157377574 4.302142558425493 0.10120541076584395
