# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC_11_off_x XC_11_Off_x_err XC_11_off_y XC_11_Off_y_err XC_13_off_x XC_13_Off_x_err XC_13_off_y XC_13_Off_y_err XC_15_off_x XC_15_Off_x_err XC_15_off_y XC_15_Off_y_err BA_5 BA_5_err MA_5 MA_5_err BA_6 BA_6_err MA_6 MA_6_err BA_7 BA_7_err MA_7 MA_7_err AC_11_amp AC_11_amp_err AC_11_sig_x AC_11_sig_x_err AC_11_sig_y AC_11_sig_y_err AC_11_theta AC_11_theta_err AC_13_amp AC_13_amp_err AC_13_sig_x AC_13_sig_x_err AC_13_sig_y AC_13_sig_y_err AC_13_theta AC_13_theta_err AC_15_amp AC_15_amp_err AC_15_sig_x AC_15_sig_x_err AC_15_sig_y AC_15_sig_y_err AC_15_theta AC_15_theta_err 
1 OPH_CORE_20160115_00084_850 2457403.324884299 43.0 0.067 0.01266 0.0 0.0 0.9044928172625188 0.011226447031566106 0.0 0.0 0.0 0.07814740700321796 0.0 0.16181833168511747 0.0 0.07733120343342553 0.0 0.1651116586589699 0.0 0.08281250623917198 0.0 0.1806369015902175 49581.894208229736 294.99581540051275 -361.4598481589496 19.478991798485122 49216.87203405128 333.2544254968395 -326.8046731297467 15.93065833021676 48756.51282872267 363.0961608276184 -294.22865997141145 13.198132567691117 47699.66805134341 788.2434326852828 7.466149243007664 0.45168302884510897 12.478466231180084 2.0273752742901863 6.170182900660342 0.09012064670655848 47716.218019855965 582.5640570496286 12.202657944740553 1.0252749259751457 7.48349351435859 0.2505163690776428 4.604267563805604 0.05189934471957364 47524.57248859547 526.986518106148 12.383342360666802 0.7468563205275072 7.609441433528656 0.18756733867856232 4.605838895834456 0.03868328727594759
2 OPH_CORE_20160205_00063_850 2457424.1739583015 39.0 0.038 0.01099 -6.722616361333493 -1.874516498835074 1.0808192946555852 0.009493028659492014 2.0 -6.0 1.866787938932191 0.05300472712557519 -5.565517704538081 0.11887196574393288 1.8812641169102733 0.0641804001457754 -5.530153990849186 0.1468395662824484 1.895172649680461 0.07520979964303404 -5.49916305774417 0.17387459435249364 45567.08336899991 288.54883304275717 -356.2219969637718 19.053288915683808 45192.46185902192 327.64449185991265 -320.79852597272594 15.662485279757819 44728.65501283935 357.58194199235965 -287.9468673504309 12.997697086406598 43805.15240754362 742.7385952660912 7.149296390620848 0.4121600612502622 11.931342782019694 1.8387248664049736 3.0770904677972766 0.08424935246620179 43796.75128882448 557.4827213021093 7.17503889396149 0.23376643858239118 11.74947253519477 0.965439327187688 6.217371737972455 0.04949796978044435 43581.818756389504 518.2125921600525 7.307816401497688 0.18139307463167686 11.970661912656144 0.7323936668224005 6.214062437491341 0.03819589518024808
3 OPH_CORE_20160226_00051_850 2457445.094097201 36.0 0.045 0.009732 -4.744044537815157 1.368873317310048 1.0832971380806584 0.011346158572708579 2.0 -10.0 1.9567852033098347 0.052811326464136096 -9.733776554808486 0.11516403616454747 1.9610587870204768 0.06422936316723604 -9.690526962674596 0.14389840149004685 1.965587798333388 0.07544929445578465 -9.647407796010299 0.1721974698601296 43821.68011680948 276.8021201156807 -350.38954854123864 18.277636766202683 43448.21551050331 314.748090939685 -315.0471710285103 15.045994673313132 42973.40664455733 344.42952003301536 -281.44448032213563 12.51962144551623 42122.981204076124 720.438888559471 7.079259724831091 0.4041390496712143 11.60863310198861 1.708350713795416 3.0534336090704692 0.08612940122696751 42084.93044508441 549.0784598745973 7.1192347073740665 0.2345248995235352 11.532117558597147 0.9360323014684151 3.056125682110474 0.051160274617935673 41871.09032118166 508.93363895508355 7.250003127275449 0.18163713761802175 11.771905246847297 0.7127869841648456 3.0559747522119167 0.03924314897463802
4 OPH_CORE_20160319_00065_850 2457467.1138889007 45.0 0.044 0.01157 -3.531925411722992 0.1637619455511764 1.0594607390004624 0.021953485663887537 2.0 -2.0 1.8805353178410087 0.05251717274844489 -1.7084699410148971 0.11284245751601865 1.881596747422435 0.06428538235393898 -1.6847566270946004 0.14142398247533702 1.8834173386628095 0.07577438936587588 -1.6609030283051993 0.16947258239882995 42472.6407047083 270.0405410169222 -328.96895301969175 17.83116042039006 42116.96079519642 304.73918987852005 -295.32959892342257 14.567536429477835 41685.93639242944 331.1858158029064 -264.87021606565196 12.038227659218729 40829.64030448843 691.1802663190621 7.1917767272206605 0.41740965380683687 12.050131211104954 1.8826494879425475 6.186613604136324 0.08560005883043291 40805.68376636386 523.6414087806758 7.233813221636426 0.24048862409595162 11.88515431699121 1.0024196761962134 6.188510092198181 0.05083749507719349 40600.0745319497 486.086612700224 7.377072279629639 0.1869107505489701 12.117437686643274 0.7606462952365204 3.0459203393020617 0.039192495736584204
5 OPH_CORE_20160417_00043_850 2457495.9824537 41.0 0.038 0.01086 -3.129903272589739 -0.39344912401162446 1.0494296784712316 0.013280551343203856 3.0 -7.0 2.8995200682704763 0.05110205054334413 -6.593890912828101 0.1110871432544998 2.898367085083521 0.062484247828518316 -6.559661543418201 0.138768960790678 2.8975839778710224 0.07373796088394738 -6.524662610845496 0.1662148706516676 45781.15084958988 261.55639218056865 -349.451190273247 17.27093972583315 45417.1686292623 299.9040145628857 -315.02772767766004 14.33639894757558 44970.23161535178 329.81463733097036 -283.40477757471734 11.988387106001701 44022.94750026772 737.980835017817 11.752028381934464 1.7344975300301124 7.341512992613098 0.43887635166461725 1.4947733545481459 0.0922872288695851 44023.18346073705 549.7411701070813 11.603659422052429 0.9109147197324006 7.352745074550086 0.24509734228061547 1.4940853033013513 0.05331736673197655 43824.434433750524 503.028554411098 7.475017105550692 0.18584240029898103 11.831902771276765 0.6817545743316148 6.203527780043323 0.04014328749680208
6 OPH_CORE_20160521_00034_850 2457529.8544676006 34.0 0.076 0.0164 -2.4185664580099715 -0.08006748110176432 0.9066558945670671 0.027694776293497123 2.0 -9.0 2.2387762356627263 0.04752076966022416 -8.750067823628399 0.10137169801794252 2.2382598685007054 0.058277584514044065 -8.710105076674097 0.12812387921146842 2.2372705781368154 0.06931429257906659 -8.670656462878128 0.15556367197881857 52000.33826273194 288.0088949280398 -387.95403626868625 19.017636074626676 51624.66099829442 333.7506666770699 -352.67846812762826 15.954380211762883 51136.6370278571 371.2670490821959 -318.0993977996501 13.495135120090955 50064.70456840441 831.6608681148956 7.400780270091779 0.445634695416876 11.780302123331314 1.7352002763881031 6.244735149877274 0.0924707119589475 50081.422991593645 612.1925749617246 7.3923684044736495 0.24372407125137485 11.674013542098034 0.9093387225840843 6.2356817375483375 0.05217815622546846 49914.017552197525 543.099562430021 7.477235695170748 0.17644001206835652 11.857038783007777 0.6516228377581381 3.0850261662252327 0.03773374499777502
7 OPH_CORE_20160826_00011_850 2457626.7099536993 44.0 0.108 0.01824 -3.9724879871104535 -0.7885934403626038 0.9237992344041809 0.010921402009384492 -1.0 0.0 -0.8868105413960166 0.05188854982610799 0.13822078557930695 0.11375619592476942 -0.8837992336223124 0.0632678439392851 0.1511552909607019 0.14203745736624174 -0.8808342291145834 0.07470801815088922 0.16298870071503302 0.1704194594944592 45664.17882211154 315.2297722776823 -352.5946044802226 20.81506881438252 45289.841479588686 351.63396829757147 -317.06864997763984 16.80926111444372 44823.8287794907 380.03270335252074 -284.01604530153327 13.813756525614464 43898.14800350373 748.1698607274202 7.111847644415936 0.4069800182842913 12.542256867201882 2.1337706986553777 6.188817243402361 0.07984021959988431 43883.15605128237 566.9081603544327 7.158114966182206 0.2350979409813913 12.262056905570082 1.1062223641724676 3.0503668529821635 0.04777378093649535 43679.936393224925 523.1988786185902 7.297730910452086 0.18162747315389552 12.419506174395357 0.8180173610038953 3.0509453761251044 0.036833083219161886
8 OPH_CORE_20170206_00083_850 2457791.1673610993 41.0 0.11 0.01351 -0.9353958494098921 -0.26275990903670277 0.9920452035582952 0.007151302364443562 7.0 -7.0 7.108699618615788 0.04997183007833016 -6.798614229900977 0.10708772440241623 7.114557101499656 0.061224469858552594 -6.76863032850062 0.13469885848621305 7.120417970855499 0.0722144467143465 -6.738951800355807 0.16180357639986542 46214.523222678756 267.213880628019 -354.67805519185725 17.644511812079777 45848.778278401864 306.7079037309598 -320.02233303134597 14.661647336233093 45394.330775713606 338.2524716972133 -287.8772860051042 12.295092784411075 44439.40124056029 746.6885096410335 11.744718876869374 1.7374854128711876 7.3055268911632965 0.4341170655559288 1.5047281784767748 0.09088538497349291 44438.65405245273 556.8812403088774 7.312799630665289 0.2424404555549028 11.606916705021172 0.9160337672383037 3.073941325040714 0.052453589200165254 44241.60295470985 509.0417676708116 7.4280868816575065 0.18328718693291268 11.835801564413808 0.6850007543459803 3.0703480147893165 0.03938006986316943
9 OPH_CORE_20170320_00053_850 2457833.0468171015 38.0 0.062 0.01038 -2.9770971130846218 1.6797125316123678 1.0379161487463762 0.011114387013791166 5.0 -8.0 4.83656308195998 0.05139306949736624 -7.487743908628346 0.11540543701305626 4.8471593581439265 0.06208544355773597 -7.450156721770128 0.14216304416973416 4.8571548385246786 0.07310779905151552 -7.412180424180605 0.1696792271054021 46511.166837621095 276.7897683860542 -355.9508500334634 18.276820888931447 46151.722899743545 317.1671109790237 -321.90560415949255 15.161631843485024 45693.864793636254 349.3985370842355 -289.5028369457325 12.70023947189348 44735.603094030164 748.5814859609183 7.268473129362146 0.42654845795306245 11.897578138020974 1.801168963287407 3.102094270472211 0.08704190503843579 44742.0933896775 556.1008443465862 11.724341677258852 0.9375032358228306 7.276592198064706 0.2373586184073845 4.668720626202432 0.050243064224932035 44548.34668926867 509.2317843715399 11.936377157724486 0.6987889401768504 7.3925988759703305 0.1798684858952536 1.5214145015968943 0.03792214387085454
10 OPH_CORE_20170419_00033_850 2457862.9422454014 34.0 0.105 0.01486 -1.48946245672806 0.7069329850951153 1.003138459790633 0.014010803928027634 3.0 -10.0 3.049417584530147 0.04981617711497293 -9.717379618243314 0.1081543963469656 3.050316134869462 0.06089006321555275 -9.663272301001086 0.1357164450498805 3.050581129580223 0.07207046861084566 -9.611634314384247 0.16351588719765367 45516.45633231998 268.53159862960626 -357.22998800101544 17.7315222944325 45143.21205590203 308.9318237831392 -321.92530343571667 14.767957986748762 44673.188007177545 341.0754835793706 -288.66712535632524 12.397705945540348 43772.26697080418 742.1598794630966 7.195290570709857 0.42001341700642947 11.53073771900581 1.6631676579541894 3.078293840574144 0.08967028844109205 43758.38981281579 555.4313099353145 7.210942763241832 0.23652076385486534 11.451167539233898 0.893279776664918 6.217976149250315 0.051884164102398204 43562.171143508844 506.3989508738516 7.320893983477327 0.178358741145094 11.692717564801612 0.6693284213328203 6.213972624172657 0.03878180088914582
