# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
6.369461938817892133e+01 9.863775358988633002e+00 5.198903803546821223e+01 7.965872893222530671e+00 4.661631368124733399e+01 7.125534758388838874e+00 1.092964121926398136e+00 4.315746572463232233e+00 1.116173754621553105e+00 3.711484606921521490e+00 1.021279988600364286e+00 2.961188840143128331e+00 4.605728232771774344e+00 7.600500297305415209e+00 1.173606437834918026e+01 1.157856640658727265e+01 3.831169665770695065e+00 5.062473177872977459e+00 7.760606176760269648e+00 6.831493745555475172e+00 3.871057572595225871e+00 4.540177638826103035e+00 6.721052519733534680e+00 6.410310565409342409e+00
8.777283932652329312e+00 1.264343947639446020e+00 1.084108558745321282e+01 1.549703993465054275e+00 1.252155174795311687e+01 1.785911516529756993e+00 8.721503309866598386e-01 3.443827393553967831e+00 8.875136793194186025e-01 2.951147478630199217e+00 9.238633396133240083e-01 2.678730469810187476e+00 2.984537225587005072e+00 5.014485055935941737e+00 8.571458224929395797e+00 6.336647774235813380e+00 2.626647056638684585e+00 3.610349940557538329e+00 6.140969699221806799e+00 3.989146770506293294e+00 2.467510889831616705e+00 4.702719202983429270e+00 2.962400485737289646e+00 3.413588876743603340e+00
8.289424227878289031e+00 1.211860501398849932e+00 9.736380793722902993e+00 1.408472502653601133e+00 1.127130543060526335e+01 1.623604379827794819e+00 1.326057007279646482e+00 5.236151672482612263e+00 1.194434246547259715e+00 3.971715259550112620e+00 1.159303149700478430e+00 3.361385318782729392e+00 4.968697927697773409e+00 7.735920154718499475e+00 1.245210461136227487e+01 1.064652983398308095e+01 4.198913849692070599e+00 5.397534136269027449e+00 8.946777825247401950e+00 6.162366694157506153e+00 3.625656966286074034e+00 6.123183087393127444e+00 3.959109514327186830e+00 4.752196672433575131e+00
9.015607744780034238e+00 1.354099926079939120e+00 1.063939808296073686e+01 1.575205166351816066e+00 1.237080824386717381e+01 1.821460086866601547e+00 8.611765079071865836e-01 3.400495452549205488e+00 8.979933058267206558e-01 2.985994178996451698e+00 9.134610917773993144e-01 2.648569249553106353e+00 3.473702098182074316e+00 8.393725380909208056e+00 5.480542079969717761e+00 9.576490822600399966e+00 3.064642567427771969e+00 5.942563576519166446e+00 4.056260112284835628e+00 5.615008703053590011e+00 2.996626376090683941e+00 3.446044732032087055e+00 5.120255137983149574e+00 4.847288605250056115e+00
8.024376546469156324e+00 1.275649285271397426e+00 1.001660292939944696e+01 1.565539102326240606e+00 1.181503193141050900e+01 1.823497605157118562e+00 7.728781526458773365e-01 3.051835030000356053e+00 7.925499286530723886e-01 2.635375399309868083e+00 8.525043675974601776e-01 2.471825996821786831e+00 3.318743884238060105e+00 5.500762807389125264e+00 7.458326101109388873e+00 1.177110226113298808e+01 2.923993612921033325e+00 3.888344002399015675e+00 5.437542613425111249e+00 6.617523244651485115e+00 2.769766639521294316e+00 3.190751232647903723e+00 4.417402989131759661e+00 5.299378491879786601e+00
9.290439912381662779e+00 1.332019584861550587e+00 1.073458989774024808e+01 1.532264799599453831e+00 1.194293287256745906e+01 1.707191754548488261e+00 9.718156153013730592e-01 3.837371993076924781e+00 9.799149052967477402e-01 3.258398652272368690e+00 1.014203085090195744e+00 2.940669455481376371e+00 3.788786424836492639e+00 6.682821386946763198e+00 1.134411698028488580e+01 8.361101535823742381e+00 3.245804739742800926e+00 4.599434053325624383e+00 7.733204213261093862e+00 5.105014120798950117e+00 2.992403753903736696e+00 3.646107885324025855e+00 5.877052417765009196e+00 4.310142388434032412e+00
1.019267244373425285e+01 1.448699107314032508e+00 1.186372382173160567e+01 1.685253634083820895e+00 1.323067425409827891e+01 1.876906435258185013e+00 1.429544814913076056e+00 5.644790149143367408e+00 1.313714368971728996e+00 4.368343767527238519e+00 1.207608520729165358e+00 3.501446137941859771e+00 5.706856766208935561e+00 1.478485922603251979e+01 8.720554114801853274e+00 1.239096691021720886e+01 4.900877638393982494e+00 1.026326679222288085e+01 6.442567306899012358e+00 7.574221165545286460e+00 4.597866626391445166e+00 8.390076309996253201e+00 5.404325039677745579e+00 6.520539503230270206e+00
9.645497967604468315e+00 1.387508276275751351e+00 1.134484145818073131e+01 1.629461062125165283e+00 1.327195830819271372e+01 1.906826639136372625e+00 7.871937915765524485e-01 3.108362662511517716e+00 8.461166886470965487e-01 2.813494816859846370e+00 8.958536005464227125e-01 2.597516564647722515e+00 2.815131587987843353e+00 7.377711526422543464e+00 4.427032397161282162e+00 6.512824903337924631e+00 2.606633631152004860e+00 5.501930913175614890e+00 3.499253006262753374e+00 4.235865451616779964e+00 2.651132291924730211e+00 4.857160714032175086e+00 3.169107683601741332e+00 3.939976204243855751e+00
9.571791667373926060e+00 1.450502391632401356e+00 1.079260606867128658e+01 1.626865073637729253e+00 1.239070013117119728e+01 1.855185282651529377e+00 1.103444651055243142e+00 4.357130613496147831e+00 1.108349471282001453e+00 3.685467399461225035e+00 1.127639752217676650e+00 3.269577672518231282e+00 4.423619453214653774e+00 6.286276614185322131e+00 9.580031550073824675e+00 1.034967815812592384e+01 3.936172247039695815e+00 6.896406680448831317e+00 4.588852263090438477e+00 6.065684370809070636e+00 3.737653416496523384e+00 3.754741300574755858e+00 5.749194384761822540e+00 4.933880390127394655e+00
9.607871186757890314e+00 1.339548223567630147e+00 1.162873160430457276e+01 1.620334129013734747e+00 1.308849168416280939e+01 1.832404082524065947e+00 9.694904740268935894e-01 3.828190749581148467e+00 1.006330437615684303e+00 3.346235207926486765e+00 1.024161570870539606e+00 2.969543952903772155e+00 3.213046900232353842e+00 4.869826871907513066e+00 8.716872043433220085e+00 5.927263799783380804e+00 2.915338551528356081e+00 6.333065866663464938e+00 3.723679713794799451e+00 3.937465412458223568e+00 2.847165258264170884e+00 3.186966927027035990e+00 5.340261028731100978e+00 3.606584584532214421e+00
8.561273260662360940e+00 1.332376271431298775e+00 1.051976894676269403e+01 1.615593094867566748e+00 1.221145429678856864e+01 1.863492944958051067e+00 7.024370256440655158e-01 2.773686822144273201e+00 7.624492019747337590e-01 2.535284893438559006e+00 7.659393747181884038e-01 2.220831854577791198e+00 3.440116788476299536e+00 6.227429998205204598e+00 7.505437688718230582e+00 1.924167202692705203e+01 3.009748932613918182e+00 4.344421437845773504e+00 5.463912803774329419e+00 1.046117062896124494e+01 2.994216449190113316e+00 4.679662345417943570e+00 3.831587905427050078e+00 8.760136942107983771e+00
9.094615230598767752e+00 1.371469338761434287e+00 1.070027121403936476e+01 1.592488453937633164e+00 1.235927161548180919e+01 1.826747518443157858e+00 6.397635818076009562e-01 2.526210523745902936e+00 7.278677031283572463e-01 2.420295018081661809e+00 7.676942357873843825e-01 2.225920061009226902e+00 2.898286480792086284e+00 7.066245446614673575e+00 5.004167816355821863e+00 1.030197571540319146e+01 2.575229301997128850e+00 5.032948570497715934e+00 3.679212997650044947e+00 5.936066091480115325e+00 2.570722051532456032e+00 3.145507834743774378e+00 4.435183264418403937e+00 5.034913544392952467e+00
9.392509198715993435e+00 1.346702677167922024e+00 1.151657584247013588e+01 1.642429677497170726e+00 1.337490404962874635e+01 1.906646900827995150e+00 7.878942511417910133e-01 3.111128586599966273e+00 8.452525708124724035e-01 2.810621467802975726e+00 8.778501386222485880e-01 2.545315729499810331e+00 2.828743708627713183e+00 4.657290798925703079e+00 7.886960443062253745e+00 6.180749501433409065e+00 2.523134110898103799e+00 3.398948648794820393e+00 5.682218294194229635e+00 3.979630493003192271e+00 2.479257602025189300e+00 2.955314634040075994e+00 4.767721088585149758e+00 3.589006878799809286e+00
8.895114827897010912e+00 1.340324822617552147e+00 1.077355792831491499e+01 1.608840474971160894e+00 1.243277320795377250e+01 1.843174422969355630e+00 7.786307916093148096e-01 3.074550279151861076e+00 8.430175373770030234e-01 2.803189560665680702e+00 8.711228373096562283e-01 2.525810031719212034e+00 3.149705868122007590e+00 5.087397059041074421e+00 7.472670829961434613e+00 8.955978301475793657e+00 2.782334204741932826e+00 3.633819452423351581e+00 5.482547168505046642e+00 5.179579314156643299e+00 2.743119355490477584e+00 4.597314506907732579e+00 3.194066725510084304e+00 4.464347403924321611e+00
9.491758449725642421e+00 1.363067756876237269e+00 1.170342746127567857e+01 1.667210974929181688e+00 1.350571017733192214e+01 1.922531049098644029e+00 1.100975328350696225e+00 4.347380131918906265e+00 1.046239565981590625e+00 3.478940469316723405e+00 1.073197805892493140e+00 3.111723927563055270e+00 4.179790904264562457e+00 1.072651953816100345e+01 6.270231098059301011e+00 8.943905879331842002e+00 3.666241846493105250e+00 7.565676369965960824e+00 4.758080543944718244e+00 5.667729767408332897e+00 3.404755950771981787e+00 3.881823599829571148e+00 6.127145172762713976e+00 4.895057980662408603e+00
9.016086288946887350e+00 1.340725458362766132e+00 1.089567249900708390e+01 1.602083063005633745e+00 1.256500817494402789e+01 1.838397487174708411e+00 6.989836473634358782e-01 2.760050597174348308e+00 7.811410997554817381e-01 2.597438946408735738e+00 8.288903554925357575e-01 2.403357446033023148e+00 3.019149230348904478e+00 4.989282580262297984e+00 7.008110636347137046e+00 9.327946213615057047e+00 2.706731014650971989e+00 5.136406565316833372e+00 3.653985758872572820e+00 5.494116774066578834e+00 2.724772407670533525e+00 4.472584733368307752e+00 3.212849796076397535e+00 4.864298189294500752e+00
8.688709397221414221e+00 1.270127478228463058e+00 1.070687025103955037e+01 1.548265651305227086e+00 1.242073064110424596e+01 1.792609136710191287e+00 8.788921160238244434e-01 3.470448410626076452e+00 9.080147044995557915e-01 3.019317184093920137e+00 9.400063840572230323e-01 2.725537037167407917e+00 3.307787744194504942e+00 5.326445728184284967e+00 8.380445923456031565e+00 7.883538697291925246e+00 2.958977790208243697e+00 3.905276474731859349e+00 6.244186737116847574e+00 4.882698497618567224e+00 2.848431802649034061e+00 3.318679475805725421e+00 5.157439283049612300e+00 4.272700708938464764e+00
8.527485856951752652e+00 1.234870710999488530e+00 1.060392771252995381e+01 1.518141538040739702e+00 1.233699798194320785e+01 1.756276545084346719e+00 7.706493899581050577e-01 3.043034440045186084e+00 8.689372914748589860e-01 2.889377534377265189e+00 9.216043015074790734e-01 2.672180429261128420e+00 2.764030265383188745e+00 4.498419011669386514e+00 7.518040417651758567e+00 6.042945085717661868e+00 2.432296035881486240e+00 3.184673169477373555e+00 5.411878042684077350e+00 3.588750794938082134e+00 2.377905911841343478e+00 2.720467885886908022e+00 4.498192809794828939e+00 3.138756725647091184e+00
8.502042440775706922e+00 1.202044369910487465e+00 1.031632918858766423e+01 1.449902910227795827e+00 1.211270715706293721e+01 1.700454065398055992e+00 1.002812075136489289e+00 3.959766561763201853e+00 1.044322071634258053e+00 3.472564442772790194e+00 1.062987351166478911e+00 3.082118843105521755e+00 3.181706148164938242e+00 8.644674299554964136e+00 4.589149563122128406e+00 5.709477156816446630e+00 2.826578738568013893e+00 6.034770306276887375e+00 3.451851792987827849e+00 3.555273468114656499e+00 2.759542516555197444e+00 5.014024520339149582e+00 2.982340887905759796e+00 3.177517879412248281e+00
1.040525048481185166e+01 1.482887658977232626e+00 1.189546308856219525e+01 1.689913873923325260e+00 1.359220511524925712e+01 1.932092439292189656e+00 1.014201589346179766e+00 4.004739901759173826e+00 1.020997748215290102e+00 3.395006730119362715e+00 1.038278647120020270e+00 3.010476266102044551e+00 3.712466344901372395e+00 1.063104357197434879e+01 5.803973914807487589e+00 7.313361906080808161e+00 3.260876049680814237e+00 7.327958772647659380e+00 4.377226320362462175e+00 4.730704316447241098e+00 3.117914802251219086e+00 5.973933882466322842e+00 3.716492822803393103e+00 4.223277501882080287e+00
