# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
6.315871464501928045e+00 3.712240983205338019e+00 8.709152317263058052e+00 5.050433893062503898e+00 1.121719112936521512e+01 6.413245569884130859e+00 7.855960061965785446e-01 2.606296234746382723e+00 9.818728683919938360e-01 2.793383364579236972e+00 1.143151858183157676e+00 2.930244494120980203e+00 5.002306426399155015e+00 7.462957709820456031e+00 8.751199075574202624e+00 2.212584517869371936e+01 5.959098582400121025e+00 7.253687738470375734e+00 9.308571589823898762e+00 2.099413014332962746e+01 6.878225339354488987e+00 1.006669998843821290e+01 7.619227333824375670e+00 1.307878962227222708e+01
5.669087395640612037e+00 3.482299022294729873e+00 7.930880569447928963e+00 4.752051124416367678e+00 1.026365736832052278e+01 5.999044207042556032e+00 9.073554225273400275e-01 3.010245709668658787e+00 1.052087196436249261e+00 2.993139871528079698e+00 1.184379973505437444e+00 3.035924625140103750e+00 4.474492038382123837e+00 6.137032708597319974e+00 9.278845547117118286e+00 8.561862056122986786e+00 5.246428940400322816e+00 9.251548684778345688e+00 6.049021115024669548e+00 9.848316239045173504e+00 6.103180641513876736e+00 9.751355207687511850e+00 6.276960363744883864e+00 7.695987161612759309e+00
5.722401601116851033e+00 3.435093095260739027e+00 7.891116014297104186e+00 4.641527200983343704e+00 1.011044192674255093e+01 5.822332177159364797e+00 6.448867026896388799e-01 2.139478519497315823e+00 7.922234374516591293e-01 2.253839412931095687e+00 9.475853846982181805e-01 2.428948343002558463e+00 4.231185817155124873e+00 9.592198879252190835e+00 7.361380239218825672e+00 1.482305966178575041e+01 4.889313324239704883e+00 8.884851662653234783e+00 6.714756641113825530e+00 1.488274105543051817e+01 5.666110071849422170e+00 9.115245921739646207e+00 6.577397701207726932e+00 1.001619302911356790e+01
6.337838991660180277e+00 3.644962263560576954e+00 8.747144321168921266e+00 4.966981149493074454e+00 1.116166452420450028e+01 6.257297918201731868e+00 6.905883280260231016e-01 2.291098384909248331e+00 8.665504277853163240e-01 2.465296298070111636e+00 1.019912599638529427e+00 2.614344910083165718e+00 4.605864410494985073e+00 8.898462096578462877e+00 7.583005787980866330e+00 2.875549016012670478e+01 5.351359614732694503e+00 7.344095099579983632e+00 9.415976924885677946e+00 2.117535748622775316e+01 6.086274511337974147e+00 7.262836482799009730e+00 1.057871236586362329e+01 1.252467950687573328e+01
6.652883595422311558e+00 3.865616751216458535e+00 8.906517650000239428e+00 5.107733771665177613e+00 1.109915974106300496e+01 6.272210450544403848e+00 7.340792701707707923e-01 2.435384105496511520e+00 9.012367479047822538e-01 2.563977261892293580e+00 1.041118296961576206e+00 2.668701525440046129e+00 4.818303824022540205e+00 8.679930745124602609e+00 9.981743909534893433e+00 2.736987139013782766e+01 5.478034058223844482e+00 9.896446841592458910e+00 8.029469934602303738e+00 2.287430735938711734e+01 6.068296127607592183e+00 1.030123553252818169e+01 7.780363382381137782e+00 1.321413396038841981e+01
5.887444175532000834e+00 3.528170452476465435e+00 8.300700671929543972e+00 4.895374656076441511e+00 1.078959301395052428e+01 6.261006029399797335e+00 8.269223817759993045e-01 2.743400736571151466e+00 1.002467664565489081e+00 2.851974572012528242e+00 1.160772205125077061e+00 2.975410787938757462e+00 4.593732983114794166e+00 6.249892708334467528e+00 8.546965364815923394e+00 1.124443706125945219e+01 5.496150485999725888e+00 6.244386677663819718e+00 9.273195640650875760e+00 1.188032349215000671e+01 6.399481452700928052e+00 6.397533284960736921e+00 1.049683987821644848e+01 8.602708019892553182e+00
6.104001422160907353e+00 3.545454855244144721e+00 8.531636896677971649e+00 4.890830716891769292e+00 1.102663291078922114e+01 6.236527353435020515e+00 7.394236924482661122e-01 2.453114787222172577e+00 9.391584431224662133e-01 2.671862760873905618e+00 1.113145997371989049e+00 2.853330358259518196e+00 4.697773170026762202e+00 8.038871942737959131e+00 6.515253912619640708e+00 1.915994259061931615e+01 5.644653663814816369e+00 8.599577368252614207e+00 6.685857233904229702e+00 1.666249030912010198e+01 6.586006693913387444e+00 9.659426300040870217e+00 7.004581770817480901e+00 1.071751909167792860e+01
6.077005309701352331e+00 3.651178668050743426e+00 8.428661107291118171e+00 4.968848919644859308e+00 1.084945990048029962e+01 6.270897134665228911e+00 7.395571052190200723e-01 2.453557396808011770e+00 9.116521417038826458e-01 2.593608580338262026e+00 1.073069655203150008e+00 2.750602541235868337e+00 4.520061922432471846e+00 8.834615739761876085e+00 6.743801173954983241e+00 1.442407191512734599e+01 5.433505908875796209e+00 8.950671572828646561e+00 6.798884616155559613e+00 1.571540262006162969e+01 6.357745320228384678e+00 9.701394706314520278e+00 7.040782798302322121e+00 1.091501476302964768e+01
5.932386345925766413e+00 3.516778818441745891e+00 8.345683041079269060e+00 4.871492757633781423e+00 1.086072310087839909e+01 6.241304568111089246e+00 7.310868411655564447e-01 2.425456433387133792e+00 9.212662828715026953e-01 2.620960373052239056e+00 1.093388627911971334e+00 2.802686241501110676e+00 4.538149395015516063e+00 8.049342224906189003e+00 6.473513928527682815e+00 1.796192425874440346e+01 5.485096452957711755e+00 6.495849561106649794e+00 8.653021410564958771e+00 1.654494032283590599e+01 6.441693724203976679e+00 9.532713254680025727e+00 6.945671665382528559e+00 1.080782897253708619e+01
6.027460378367377025e+00 3.675855109247246233e+00 8.368704213476272358e+00 4.963850848678575289e+00 1.075095892389052388e+01 6.221769067048554369e+00 7.253518172596102875e-01 2.406429890279582651e+00 8.920654253546531631e-01 2.537885260567359857e+00 1.048664168031448352e+00 2.688043890991921980e+00 4.546301585559662684e+00 7.251805148168244841e+00 8.946798522490325922e+00 1.661158867997385968e+01 5.382725059252748245e+00 6.897693307653017136e+00 9.170418608182792752e+00 1.744376575159496667e+01 6.225844223234778596e+00 9.600381815600664837e+00 7.135376423505666921e+00 1.168839311991100338e+01
