# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
2.506754299009485987e+00 4.396476023507640463e+01 2.954300461860119409e+00 5.479892337890379395e+01 3.387020870825683261e+00 6.616628634995429081e+01 6.360006254825556482e-01 3.855940419959122512e+00 7.075454158737234378e-01 3.517679793192046045e+00 7.650963118210060143e-01 3.279607905490993680e+00 2.176496130858149858e+00 5.213155027977863121e+00 1.212296028829084449e+01 3.868020513995538145e+00 2.020314619713712290e+00 8.812033918455677295e+00 3.856541467503380449e+00 2.878411905711251162e+00 2.122005865790040691e+00 8.160541322932724384e+00 3.277936151635453488e+00 2.922857823008663036e+00
2.162628330880970395e+00 4.036506436844572221e+01 2.646270730065389820e+00 5.171411335798471498e+01 3.095788838180021596e+00 6.328477812725252960e+01 5.930900523671850388e-01 3.595782376564738758e+00 6.800901465680024849e-01 3.381181295967774503e+00 7.535533155746123590e-01 3.230128475413850619e+00 2.171983255372411659e+00 5.450078970640549691e+00 1.259801051563903052e+01 3.647885976716157774e+00 1.944331533284693325e+00 8.561782337563469625e+00 3.760153791165331327e+00 2.605447229173267321e+00 2.035937668095995523e+00 3.105564946582752839e+00 7.769375539361171867e+00 2.623461645301525813e+00
2.284494321660713645e+00 4.208636579118311971e+01 2.794186780922135682e+00 5.434262847934171248e+01 3.256459410453282910e+00 6.673306480461629064e+01 6.195660846009536371e-01 3.756301109716300157e+00 7.025318855385568328e-01 3.492754169723735647e+00 7.726861499016178803e-01 3.312141928403534941e+00 2.195649326755499953e+00 5.380728995542249926e+00 1.276134317828496201e+01 3.628418161456969937e+00 2.032699065801057969e+00 3.622217626308501526e+00 1.003484487534903380e+01 2.699325242756949628e+00 2.133446246586044204e+00 3.303216687399456397e+00 8.570254931708531032e+00 2.736221173290680042e+00
2.427728728921522805e+00 4.504338593250218281e+01 2.851223996337767019e+00 5.505032136049324976e+01 3.210984327537746985e+00 6.452513216671438556e+01 7.001962966313602932e-01 4.245145485928551565e+00 7.670878119973068010e-01 3.813704704021800396e+00 8.179275689354617018e-01 3.506070633454363872e+00 2.315245501746535428e+00 1.732607256556479314e+01 5.639818692739393846e+00 3.923656492092174819e+00 2.020319914158293706e+00 3.800870444421749816e+00 1.134102236520397611e+01 2.750805308093378088e+00 2.005797612188638279e+00 8.737265480482356850e+00 3.234531133888834731e+00 2.628254308225238312e+00
2.513715428775781469e+00 4.379068825642089280e+01 3.055801510229064988e+00 5.579701882505677446e+01 3.561902253856731537e+00 6.839689026483524970e+01 4.962431912450432914e-01 3.008619949451835307e+00 5.545008214390085843e-01 2.756793096448147740e+00 6.089346087934710550e-01 2.610216154530371924e+00 2.200137251639565417e+00 5.003347375798436580e+00 8.088402606919835591e+00 6.581445699895269286e+00 2.066958315710808236e+00 3.522774572623918576e+00 6.773883671016404762e+00 4.688489251415445480e+00 2.188343627044647910e+00 3.321857736569677755e+00 6.100283160661509108e+00 4.514902351422481530e+00
2.331720903227953112e+00 4.229154769694905269e+01 2.842500180251056552e+00 5.379672437666012996e+01 3.319496898343499147e+00 6.555092620354396615e+01 5.308858590098983754e-01 3.218651271798084856e+00 5.938900676669505163e-01 2.952623332787859045e+00 6.486433577968946373e-01 2.780428862632653431e+00 2.188924500925139238e+00 9.783854638152599037e+00 4.659595829163007075e+00 4.940655859057831556e+00 2.013612566919694036e+00 3.361555162281436804e+00 7.056250478637419832e+00 3.660295179545510535e+00 2.123820235677531976e+00 3.086585945104471485e+00 6.018173781101813447e+00 3.696480687392329045e+00
2.386442458344967488e+00 4.316716059125704419e+01 2.909987735781954576e+00 5.559036266688147521e+01 3.387882814299680856e+00 6.814150328005131030e+01 5.973100657824220727e-01 3.621367517967204019e+00 6.779003796177135444e-01 3.370294518402620731e+00 7.445389616425309720e-01 3.191488196778883513e+00 2.202366954015297473e+00 5.198627336245252195e+00 1.149317516623164970e+01 3.878114126366673187e+00 2.097689156095822405e+00 8.790142868575498980e+00 3.977204753100015644e+00 2.973664953826332447e+00 2.237536954037663950e+00 3.452918980617522671e+00 8.459311327778088696e+00 3.079241116339489714e+00
2.371243015305340762e+00 4.166342037614518290e+01 2.880984602111093640e+00 5.342438742161169785e+01 3.342735753910134555e+00 6.513230317919523316e+01 6.691323751349518290e-01 4.056811345853130746e+00 7.381343613104172086e-01 3.669757803827768949e+00 7.926491474043648733e-01 3.397713947905674381e+00 2.242374135697107196e+00 5.192682399516201031e+00 1.227194588371849449e+01 3.855563179260273365e+00 2.083175725893719576e+00 8.906570296719356961e+00 3.861959181840805666e+00 2.893173951973190938e+00 2.184385631089898361e+00 8.203490995056156976e+00 3.288945553547882650e+00 2.954469303440728112e+00
2.276297727419759109e+00 3.990832569436693689e+01 2.798284865293523271e+00 5.183645468906759390e+01 3.277730162643943679e+00 6.400595411232335152e+01 5.630903970825001936e-01 3.413900703905226930e+00 6.453199192485064017e-01 3.208315404122797698e+00 7.153987351349346824e-01 3.066577782471593405e+00 2.154107608161704768e+00 5.305215555503671077e+00 1.129326693469112897e+01 4.113322748100568305e+00 2.002124476127020714e+00 3.579209067737558314e+00 8.995838096589373833e+00 3.014113452764794143e+00 2.121028481576554547e+00 7.811479750692648771e+00 3.310200385930699873e+00 3.045742109607969539e+00
2.322831211026596065e+00 4.172198647424065143e+01 2.798898949610756137e+00 5.220755348638116544e+01 3.239755664111982014e+00 6.256367458328011821e+01 5.925786747325318959e-01 3.592682035086321779e+00 6.536661467033657580e-01 3.249810038740904350e+00 7.025734250590718322e-01 3.011601703888069359e+00 2.190085931598103386e+00 5.159057533839325416e+00 1.055750750924730674e+01 4.480012000594959076e+00 1.997037413585941668e+00 7.400914440622498702e+00 3.715787445133000855e+00 3.282427283324654166e+00 2.075937792896293210e+00 6.642276575407414896e+00 3.097651287300353662e+00 3.298962566670545105e+00
2.439339469458790433e+00 4.290729391824806527e+01 2.864873027637754532e+00 5.302748395215820665e+01 3.263181355499480851e+00 6.345866333743555998e+01 4.815295523631601404e-01 2.919414209880014432e+00 5.442416256976924105e-01 2.705787796131697398e+00 6.031930615982596944e-01 2.585604869188089072e+00 2.195636104318292148e+00 5.408199984662553916e+00 9.039103648429342996e+00 6.145154804542314331e+00 1.933700777567586737e+00 6.269447426471992380e+00 3.728282982686149438e+00 4.085521847400126028e+00 1.983695454293940230e+00 3.035047190001709527e+00 5.717071198579403379e+00 3.801439690561867035e+00
2.357895832023982674e+00 4.316481878185193466e+01 2.886891433922685213e+00 5.587338542237417727e+01 3.366925242101906246e+00 6.859238109325266919e+01 6.057094660281847620e-01 3.672291337606655492e+00 6.849534332686739724e-01 3.405359979778730395e+00 7.509079514822194490e-01 3.218789076577746489e+00 2.145203042723838660e+00 5.196915842292207266e+00 1.215937874050782064e+01 3.647322726800006354e+00 2.039106548185508405e+00 9.181277748907515246e+00 3.948606497491777390e+00 2.804515353962755420e+00 2.177623580205896303e+00 3.421465951882052270e+00 8.786591132454352859e+00 2.918096615048497711e+00
2.107608206243574145e+00 4.146061391164327148e+01 2.602142964797792501e+00 5.351211608797277108e+01 3.070839921793985461e+00 6.588444968038723459e+01 7.531864418658873461e-01 4.566413835576046409e+00 8.423975346889687188e-01 4.188119495704640372e+00 9.124884792776635223e-01 3.911408806337377531e+00 2.227214568913105985e+00 4.853751841904616171e+00 1.395732603512022330e+01 2.814375949748962658e+00 2.020212902944753530e+00 9.503414379789727917e+00 3.452166718636463738e+00 2.112824163464535054e+00 2.137675035330883766e+00 8.642908428523126574e+00 2.927687157787377537e+00 2.214733583108883685e+00
2.215805631787400198e+00 4.100774129821203928e+01 2.716793693919700825e+00 5.296163039212754597e+01 3.177286188533166023e+00 6.497100110510899640e+01 6.259249847458956406e-01 3.794853896398887816e+00 7.129669504422676551e-01 3.544633837219555161e+00 7.854653882719577762e-01 3.366920504977955808e+00 2.200691243403667396e+00 5.224160447509662575e+00 1.245470534052462774e+01 3.466050377026887119e+00 2.023440774565339773e+00 8.818908421509846107e+00 3.756154563017279013e+00 2.579499994049947453e+00 2.141752772623019663e+00 8.152841802292405404e+00 3.178138069365513907e+00 2.655176940397861785e+00
2.392598923501978003e+00 4.205903419122874709e+01 2.906679687583755278e+00 5.334229152086257386e+01 3.383481043146559841e+00 6.469863908929303875e+01 6.148076791031116262e-01 3.727451927320228453e+00 6.719480742965038278e-01 3.340701693839581488e+00 7.171680312583168515e-01 3.074161892280018016e+00 2.149396444851131349e+00 4.919811986454540431e+00 1.034040925759113883e+01 4.312800363653071400e+00 2.025355202717434633e+00 3.442202521897507417e+00 8.295296111822468177e+00 3.287925095281159837e+00 2.142069216536074627e+00 3.218744563933041647e+00 7.120118875596192609e+00 3.390565806257149539e+00
2.364523539009184994e+00 4.163539478355775714e+01 2.894381846156569349e+00 5.342036838893589845e+01 3.376126922247072670e+00 6.516631543378417746e+01 6.299639075164754631e-01 3.819341044991882761e+00 6.963503987830620412e-01 3.462021881289825576e+00 7.481574456505506454e-01 3.206998934809440094e+00 2.181077609488027313e+00 1.146243593303720942e+01 4.559335885674626887e+00 4.097501185675503699e+00 2.069401303565890249e+00 8.021921817473467442e+00 3.753676214883749918e+00 3.128146374048308864e+00 2.192104690335999972e+00 7.526495638354956164e+00 3.251162006382959380e+00 3.225235158781313061e+00
2.581094543639813832e+00 4.407224473943225007e+01 3.126091918522675428e+00 5.620891568967919483e+01 3.634194352900407932e+00 6.901053498628667171e+01 4.866103097508751030e-01 2.950217757618047720e+00 5.459911916057076375e-01 2.714486049328708628e+00 6.027536176825289971e-01 2.583721138596324796e+00 2.205219527303311278e+00 8.502629208192852062e+00 4.640443129810199352e+00 6.854075223157687802e+00 2.103968423851317215e+00 6.276161920182249609e+00 3.898423119190697950e+00 4.912856036855312247e+00 2.231840290055266962e+00 6.186790571476078249e+00 3.417703563199758765e+00 4.714953863092855357e+00
2.510556743867874196e+00 4.285471774903994913e+01 3.063996886247009055e+00 5.523978685119298149e+01 3.584766509078815666e+00 6.835643984603572676e+01 5.373318221897307456e-01 3.257731847536501135e+00 5.895992721501330802e-01 2.931290860672393084e+00 6.402011900324012794e-01 2.744241290432898772e+00 2.140386209818817775e+00 4.670326960370744018e+00 7.909535821640120368e+00 5.940984608295509339e+00 2.037971575861324602e+00 3.365562408487181134e+00 6.754213481047808720e+00 4.320123248815840533e+00 2.173886102856158686e+00 3.223746424200415905e+00 6.165497209007825496e+00 4.223901017673789227e+00
2.767258042322975342e+00 4.781509585595740930e+01 3.198089201752242428e+00 5.795994668485167267e+01 3.630298176190656534e+00 6.931819286808439529e+01 4.856726089323246121e-01 2.944532669921667178e+00 5.565895869080019764e-01 2.767177774313473559e+00 6.239689946297292122e-01 2.674661507016661499e+00 2.198649021801782677e+00 8.751644706209244617e+00 4.679779121061419467e+00 6.589037110119148721e+00 2.070909681849451900e+00 6.519888823148556334e+00 3.867722758591962684e+00 4.498173571828300688e+00 2.182624973104926092e+00 3.345595723327505322e+00 6.499823941674273797e+00 4.206624245994473377e+00
2.280777682598383649e+00 4.070949998941989634e+01 2.800424913174176300e+00 5.270669282075558471e+01 3.280039124113110827e+00 6.497753836861994614e+01 5.757911230900503163e-01 3.490902589612014495e+00 6.616540744775112337e-01 3.289523340854475730e+00 7.345265901887314541e-01 3.148569890467165511e+00 2.185576218846272400e+00 1.230753745084612305e+01 4.905504801950943516e+00 3.931835009862132857e+00 2.041767760067989546e+00 8.424853685157792427e+00 3.878939932250487388e+00 2.919101518257114503e+00 2.166117570397082304e+00 3.298810997843108606e+00 7.961772278138289138e+00 2.968958698389354556e+00
2.321604144723872665e+00 4.079534653878064887e+01 2.827392092800994572e+00 5.247902676950258893e+01 3.296619455267182808e+00 6.443090716639136417e+01 5.745122115183912692e-01 3.483148802480965589e+00 6.589774624494816324e-01 3.276216117017631380e+00 7.293250472511763061e-01 3.126273308163048270e+00 2.203974058208030051e+00 1.206143015768885363e+01 4.896191371327716091e+00 4.030768775508768442e+00 2.061813692179694790e+00 8.276453679425745946e+00 3.887393273871464494e+00 3.001443571961883716e+00 2.187095807151472560e+00 3.312062186452630286e+00 7.814253666180080771e+00 3.058785398848530956e+00
2.121588984921207732e+00 4.041065915257208019e+01 2.610301365257559514e+00 5.222080815613262672e+01 3.070006509511793436e+00 6.436079711572651263e+01 6.768166387129179729e-01 4.103399507089156906e+00 7.660868763675430237e-01 3.808728386705960922e+00 8.398114142200017174e-01 3.599876351051303658e+00 2.191320283256017909e+00 5.066127386910737940e+00 1.321016206699763806e+01 3.101903485789198278e+00 1.983923994801220836e+00 9.078246950152799144e+00 3.574333580331733096e+00 2.291639019014367840e+00 2.091392349442141363e+00 2.995508853423604290e+00 8.293633734699623616e+00 2.364262529524661982e+00
2.286617287470182003e+00 3.998846659537252179e+01 2.791964406385964548e+00 5.099473517217653296e+01 3.262891141314367083e+00 6.214060290837939249e+01 5.993229146903135129e-01 3.633571012796163568e+00 6.622022501652318205e-01 3.292248713595660181e+00 7.136346799131048080e-01 3.059016117316363470e+00 2.126329837401732981e+00 1.088800669387381603e+01 4.559586826577414875e+00 4.370802594846858291e+00 1.964572478429348346e+00 7.272770497646448007e+00 3.594203625091457077e+00 3.197225141481873312e+00 2.074754385731464090e+00 3.055867587861960111e+00 6.718356325737848245e+00 3.239467763192182215e+00
2.390259414691351836e+00 4.244871552678060311e+01 2.858072525048156898e+00 5.293443783914805323e+01 3.303555152406976170e+00 6.354431630295308508e+01 5.886947416250155607e-01 3.569134561779095716e+00 6.484478542765794717e-01 3.223866400039760549e+00 6.965017146149393712e-01 2.985575139037170533e+00 2.119796627561224778e+00 1.051347676299696943e+01 4.501934360885817554e+00 4.362939893585466855e+00 1.957564659394782414e+00 6.969026965680575003e+00 3.549354459958261376e+00 3.240641193052145486e+00 2.064373956706728741e+00 6.377359760082843110e+00 3.019505078802555698e+00 3.310385907986231668e+00
2.404471804321252293e+00 4.110904010931376718e+01 2.949753612835705585e+00 5.310331794819822449e+01 3.464565459125095614e+00 6.567196315029907794e+01 5.700182000146951644e-01 3.455902559571222277e+00 6.225555727666630679e-01 3.095138650267228897e+00 6.710312902347851383e-01 2.876395378619264420e+00 2.176587172742074472e+00 8.743306045447690522e+00 4.279226357926656732e+00 5.348901784852679420e+00 2.044095837158919959e+00 3.222772829965560248e+00 6.642139006681190061e+00 3.920943962520075932e+00 2.184162082630551893e+00 3.060802405519761127e+00 5.924312151310779484e+00 3.914397636872214203e+00
2.317500784353609955e+00 4.249958917675365910e+01 2.804563567616709108e+00 5.305897467008007595e+01 3.248921933591169431e+00 6.344264498691878629e+01 6.418822943419660865e-01 3.891599742813620200e+00 7.047083509772287258e-01 3.503574812247203685e+00 7.519678914893417332e-01 3.223332482309775759e+00 2.239888675094767745e+00 5.133678922395430888e+00 1.123807183469405935e+01 4.138246722630797514e+00 2.054635643381816923e+00 7.951845037213913336e+00 3.757735143373661213e+00 3.094522576515531753e+00 2.134364343030339839e+00 3.150988604690044159e+00 7.154587797591260845e+00 3.157901133282009276e+00
2.533817739184562434e+00 4.388711993078911178e+01 3.035223245279718984e+00 5.545463067828541170e+01 3.497191199330803357e+00 6.745971863755889331e+01 4.551498969919118287e-01 2.759479783794350993e+00 5.220795330140105550e-01 2.595605276515462911e+00 5.844529386857049147e-01 2.505274743837278439e+00 2.234937580337895469e+00 5.389729604671805063e+00 8.364697293415057189e+00 7.345213321181969235e+00 2.069427933086579241e+00 6.442169104762562881e+00 4.031989683427285698e+00 4.975302374023876872e+00 2.144047543930301281e+00 6.169999402819120071e+00 3.401514444276426019e+00 4.571606195505106385e+00
2.364742148219233897e+00 4.273303797312343022e+01 2.890942937733388174e+00 5.510224307782409880e+01 3.371997230045793881e+00 6.761751592256663912e+01 5.685564812830630199e-01 3.447040485337962146e+00 6.513117451464111030e-01 3.238104762665925396e+00 7.203646933789615847e-01 3.087864468778082738e+00 2.199814410283595034e+00 1.265070700321665242e+01 5.052675117957388551e+00 3.965803066995325032e+00 2.087031771649152212e+00 8.889244878688769447e+00 4.104495209429019908e+00 3.026988727835624449e+00 2.220757266962580800e+00 8.476121081738899221e+00 3.541938762369887250e+00 3.122217192032344713e+00
2.424899115577516362e+00 4.200067905234260479e+01 2.938139329210587292e+00 5.393028924442870675e+01 3.409231416315190888e+00 6.600965439740103591e+01 5.948205343457393379e-01 3.606273974270465033e+00 6.696151342572959075e-01 3.329103093452607354e+00 7.318913902305813624e-01 3.137274034629376818e+00 2.182749420893028258e+00 5.215530610186723592e+00 1.127577035330877209e+01 4.160110224127000045e+00 2.054185380163970009e+00 3.618483904494656400e+00 9.185250528437622464e+00 3.111501841185901895e+00 2.172688578747060895e+00 8.003871156612026638e+00 3.378540402847395097e+00 3.164336981540500027e+00
2.321630331896415989e+00 4.363632359843911956e+01 2.805583973781136997e+00 5.556883032251682408e+01 3.244664302246333953e+00 6.752852132602065183e+01 7.075453311040217352e-01 4.289701106139602871e+00 7.880885897310795363e-01 3.918113552936772770e+00 8.543398681207853285e-01 3.662153048134923150e+00 2.262588549695074835e+00 5.328138706275802328e+00 1.404827702365965081e+01 3.443440086355832541e+00 2.044880444364892913e+00 3.475015892526359007e+00 1.047843732014417206e+01 2.501116936339491392e+00 2.125907265292434900e+00 3.120506803789452555e+00 8.694915124915612026e+00 2.509132719104165687e+00
2.251544151891456735e+00 4.195494522680080252e+01 2.762802000324532603e+00 5.420675299488587484e+01 3.233267485920456874e+00 6.663920421189052945e+01 6.764081198229318082e-01 4.100922665041071724e+00 7.575310014302159001e-01 3.766191417720292200e+00 8.236893503768801805e-01 3.530768699521108722e+00 2.193458538691528403e+00 1.405378031478308820e+01 4.726411152722835851e+00 3.293366264136575960e+00 2.032931136248960158e+00 3.435312386672066065e+00 1.016049423831831078e+01 2.491895303919897664e+00 2.151072799529165636e+00 8.682945974766111519e+00 3.181116840046870564e+00 2.579412367498165715e+00
2.308544975555882672e+00 4.257090776697734924e+01 2.835763848296866119e+00 5.513703293821423301e+01 3.317925281432675622e+00 6.789261783288219476e+01 6.094585545205044586e-01 3.695021262742391954e+00 6.903429819800324108e-01 3.432154996216513432e+00 7.573969190677414254e-01 3.246604228540490134e+00 2.111185053143385115e+00 5.089989329653262118e+00 1.207571695367024489e+01 3.551070248745054947e+00 1.988329948350562537e+00 3.520933904258766844e+00 9.780051868682489769e+00 2.703538143033811458e+00 2.115718268882391673e+00 8.562241022255420830e+00 3.299082413236209543e+00 2.795064226754513381e+00
2.361370929740117752e+00 4.219142741293406829e+01 2.872466538399020219e+00 5.387603444972774014e+01 3.340092794026443990e+00 6.553583492656413512e+01 6.724222304378643100e-01 4.076757051234189078e+00 7.388246581833316506e-01 3.673189760931420800e+00 7.901099438219224558e-01 3.386829582418178664e+00 2.182779163989492233e+00 1.260738807154093699e+01 4.572854598514571656e+00 3.714198758703684433e+00 2.050071229462266498e+00 8.652753840208788461e+00 3.723398532004967176e+00 2.839306172318780686e+00 2.160282358297161753e+00 8.031003041668455467e+00 3.205150060434622805e+00 2.934556721252817191e+00
