# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
3.477963739451815695e+00 3.504319153112055663e+00 3.432462850696494705e+00 3.589909089029715172e+00 3.666701896278950379e+00 3.942809920306213911e+00 6.290432755661202746e-01 5.460156343398817391e+00 7.161456604676670334e-01 4.939674492570434339e+00 7.879930933002700089e-01 4.547100486849468659e+00 1.747277065204480229e+00 4.905025577073552689e+00 1.983001687370296295e+01 2.308931562252481751e+00 1.291121453225674065e+00 1.166327480714195097e+01 2.402908234873906590e+00 1.224164670930010246e+00 1.172825294587923395e+00 8.692872477836393941e+00 1.717230536221886927e+00 1.085386333892847111e+00
2.358984463229822470e+00 2.574277598752774399e+00 2.848744484273590505e+00 3.192631567679458993e+00 3.330075703462131109e+00 3.795207233223254928e+00 6.152958571685623879e-01 5.340827564990916265e+00 7.040902177721736210e-01 4.856521144511100729e+00 7.760261081709696196e-01 4.478045242112661306e+00 1.646407770921177960e+00 4.475828209551799830e+00 1.798480310443448360e+01 2.158506359169199751e+00 1.235534346078726697e+00 2.659269377216188168e+00 9.260321463670191378e+00 1.167522754196327783e+00 1.153298642711889421e+00 2.111285427727395358e+00 6.705265309320560974e+00 1.071710952166729625e+00
2.350377133652739037e+00 2.493979102852349250e+00 2.850917782305427917e+00 3.128683847050083511e+00 3.340679851602817330e+00 3.758600188771826112e+00 5.902473975260049688e-01 5.123404504902679513e+00 6.763765526320842936e-01 4.665363763539095210e+00 7.474826566497224656e-01 4.313335729740808588e+00 1.596976637753943606e+00 4.388724500896133307e+00 1.670959684196913031e+01 2.206674055262638490e+00 1.216908201715252158e+00 2.667897441906868394e+00 8.978254529185408117e+00 1.206732013299082196e+00 1.132648036572676542e+00 2.114126146026944042e+00 6.525760740930512505e+00 1.101095087709290654e+00
2.337285772131851846e+00 2.443703263033863760e+00 2.853404278942579086e+00 3.074884258437616147e+00 3.355074128233685560e+00 3.699123342017097915e+00 5.758291392245855622e-01 4.998252716915587257e+00 6.548679678614028887e-01 4.517006556081422985e+00 7.187411038906671434e-01 4.147483029837021107e+00 1.532119872089573454e+00 4.532835854548006971e+00 1.841443544596832282e+01 2.193112064628275348e+00 1.160532731967790721e+00 2.735739302465432399e+00 9.615030361488985378e+00 1.199118520057296244e+00 1.081801251356785398e+00 2.175507222207465841e+00 6.963925887345821408e+00 1.099673845198052113e+00
2.274305515908752184e+00 2.405690379559444647e+00 2.773458188966937854e+00 3.017157950345618733e+00 3.264906875539288933e+00 3.628016397195002352e+00 5.577377070896432087e-01 4.841217249642270737e+00 6.444774387192032661e-01 4.445336955242398247e+00 7.157653655542858262e-01 4.130311660884963487e+00 1.635861377486308443e+00 1.883567503061107828e+01 4.292705731071706943e+00 2.364440373176952992e+00 1.218376949036818147e+00 1.036234129299990947e+01 2.350929898434168219e+00 1.257611961248688237e+00 1.119506082685971071e+00 2.163072390728419947e+00 6.241650500023911974e+00 1.126351422404890723e+00
2.114919996543146663e+00 2.195293816519052310e+00 2.586739052173064213e+00 2.785709272371895473e+00 3.069039443207637774e+00 3.395529837578682208e+00 6.141445037508074245e-01 5.330833716835313041e+00 7.172120558118175726e-01 4.947030018673640228e+00 8.057255956105661143e-01 4.649425603201069457e+00 1.843519274159804322e+00 4.839344052044801892e+00 1.697221584794026228e+01 2.369141292573901936e+00 1.356786361042548794e+00 2.772544951703168614e+00 8.722214491739650910e+00 1.230741077572703679e+00 1.208685388359901580e+00 2.053635328164365337e+00 5.965786170349537620e+00 1.058743814997541000e+00
2.309308801256977794e+00 2.463491076771495703e+00 2.808239291817260952e+00 3.088222620517178107e+00 3.307858248245267863e+00 3.719791081405293021e+00 6.721897673032916076e-01 5.834672102175864516e+00 7.556422997050920021e-01 5.212105905785499260e+00 8.247488620850174090e-01 4.759198977634604866e+00 1.658447104434288777e+00 4.419575834289013017e+00 2.087068412815846585e+01 2.045542389099682890e+00 1.256423699651545878e+00 2.674416220265272592e+00 1.061068719085522183e+01 1.126853819353726971e+00 1.164395782171264271e+00 2.114013658588722588e+00 7.489173762191265737e+00 1.033472798628305211e+00
2.224004860446913145e+00 2.319079425542528217e+00 2.717541031467173074e+00 2.928664518841435971e+00 3.197450007629150548e+00 3.531729898786986510e+00 5.698016241985347508e-01 4.945933244060158884e+00 6.590986270042645812e-01 4.546187851413698411e+00 7.340771956431964007e-01 4.235979756917638284e+00 1.655163435111549619e+00 1.886812177051681871e+01 4.246154544895721195e+00 2.328524501117385181e+00 1.234201299515568895e+00 2.757942855977014496e+00 8.786432163390024641e+00 1.237237793834822686e+00 1.132888680476306087e+00 2.133331537857004800e+00 6.271370170228833807e+00 1.104936851729404257e+00
2.287257364324406073e+00 2.499206851823664532e+00 2.755756656036081775e+00 3.090953167899364029e+00 3.237005104528190902e+00 3.703633831246478714e+00 5.902210589406504671e-01 5.123175806338397642e+00 6.815748953132774179e-01 4.701219782044474549e+00 7.582664421569222934e-01 4.375563345008463223e+00 1.659359542521467556e+00 4.632078166564281396e+00 1.761746401237159887e+01 2.230052813937496659e+00 1.232471728395051036e+00 1.066480569744426354e+01 2.276701442262353492e+00 1.185097509723135989e+00 1.133311568700864580e+00 8.133402608937387868e+00 1.646745423053910473e+00 1.064029962493296066e+00
2.217077498641135680e+00 2.342179150316883618e+00 2.702697884998991551e+00 2.950789202727808647e+00 3.191075067307884261e+00 3.569104964129298008e+00 5.726115001517427805e-01 4.970323153049050369e+00 6.638777104094462089e-01 4.579151963615185394e+00 7.402037100639882183e-01 4.271332664045598193e+00 1.645124947864347265e+00 4.561111269551531677e+00 1.626765559354847213e+01 2.297393180633422460e+00 1.230987856824869109e+00 2.690601902519650590e+00 8.568179952860477400e+00 1.223806601375770464e+00 1.127007007450636200e+00 2.075967959923865180e+00 6.127885654141744354e+00 1.088150455998215360e+00
2.194008315187487845e+00 2.366970508067130385e+00 2.693655108803601372e+00 2.988517906752933051e+00 3.187874304938205672e+00 3.611881163936448758e+00 5.920688723877167714e-01 5.139215052382690274e+00 6.842462959354718155e-01 4.719645965817356625e+00 7.619110754970612742e-01 4.396594652154009353e+00 1.642282520976565907e+00 1.860564008388402968e+01 4.034174746829049418e+00 2.205573306920272980e+00 1.224861229328697343e+00 1.030756381799690402e+01 2.218346774763533258e+00 1.175851108028455716e+00 1.122470877413543677e+00 2.031737064924837632e+00 6.171302405433758409e+00 1.050706263580682753e+00
2.387810230780838872e+00 2.477650464341067504e+00 2.870735139895833399e+00 3.078986154417712839e+00 3.331023280810666787e+00 3.662821352201702130e+00 6.250487089032052967e-01 5.425483193961575523e+00 7.138871960114593351e-01 4.924096412013330593e+00 7.859413625089963773e-01 4.535261079742505252e+00 1.662118470790285185e+00 2.098211704058579485e+01 4.116010624380902705e+00 2.197495356164213209e+00 1.247579828061069485e+00 2.710975780924452572e+00 9.676553550978002960e+00 1.181816324616276948e+00 1.148720715900976685e+00 8.730857732931148973e+00 1.662593105012237782e+00 1.063636866850295126e+00
2.326679104631536266e+00 2.482853922299922633e+00 2.797508207371171451e+00 3.084459490732404330e+00 3.272964352121680243e+00 3.695626599475702712e+00 6.844764028337759765e-01 5.941321311346796641e+00 7.735292932364360441e-01 5.335482870873416772e+00 8.460998770022478688e-01 4.882404671169465082e+00 1.681495395899329948e+00 2.366849636336477403e+01 3.986071220827294148e+00 2.019303324153049584e+00 1.257056977636455741e+00 2.624854498757094312e+00 1.058655085550213393e+01 1.093727751279806037e+00 1.158208800701516772e+00 9.446137555842067712e+00 1.615908244707147556e+00 9.930566877931437109e-01
2.221671335185706475e+00 2.404090018525609995e+00 2.703540978193650801e+00 3.007510515114874217e+00 3.180361751736972220e+00 3.612794453531603001e+00 6.740541796330775659e-01 5.850855318124029480e+00 7.673331933491347456e-01 5.292744724594186323e+00 8.437039917899360475e-01 4.868579305056240258e+00 1.668347126650677970e+00 4.362303540405787494e+00 2.028527069386363024e+01 2.020559709955570771e+00 1.236955062106415593e+00 1.193529631651627554e+01 2.153535683674812518e+00 1.078884401524597969e+00 1.131099208612470708e+00 1.975373380849609894e+00 7.027619384079374143e+00 9.673244499382375183e-01
2.143365098328905649e+00 2.339855211735065499e+00 2.628963023303370061e+00 2.947261150816761432e+00 3.113647048852808297e+00 3.558389658003987321e+00 7.024712400433068549e-01 6.097518195690939002e+00 7.972282632130335278e-01 5.498948416453869115e+00 8.719769431203406862e-01 5.031727835987314101e+00 1.709288372890173990e+00 2.529577315813514815e+01 4.033146439799590866e+00 1.981598659041638566e+00 1.254689240187650601e+00 1.286691312096611739e+01 2.181601528343880325e+00 1.053328031285644117e+00 1.134852579859963573e+00 1.977259458216917842e+00 7.345243016160489802e+00 9.399174334072047943e-01
2.254872420903746288e+00 2.358664065900086815e+00 2.769860202490350254e+00 2.994751611966287808e+00 3.272645144032930276e+00 3.628533086000701680e+00 6.063387938332419624e-01 5.263079339112520572e+00 6.922704343473915500e-01 4.774993099861730705e+00 7.626352951578705408e-01 4.400773675594592760e+00 1.555984285012085744e+00 4.288710469380164980e+00 1.783342708041797309e+01 2.094382464591407533e+00 1.176599333811335191e+00 2.581617583377863401e+00 9.349917149291140817e+00 1.139742372252121827e+00 1.095271412532419442e+00 2.045642396110772143e+00 6.775504931139771259e+00 1.040808827053174568e+00
2.319060030380305282e+00 2.556780758749225946e+00 2.811681243870285840e+00 3.175491147705463035e+00 3.292784778615060581e+00 3.776263106635914024e+00 6.172706710349187276e-01 5.357969070422865521e+00 7.034678952822043252e-01 4.852228525843085727e+00 7.721700201912770067e-01 4.455793680594465123e+00 1.603389403215882858e+00 2.026172881455932639e+01 3.940953405474208804e+00 2.103139644816526044e+00 1.214970480891154336e+00 2.641412162001880670e+00 9.495042418579432209e+00 1.154103296229822107e+00 1.132204537224916097e+00 2.097844074814783966e+00 6.833485272227584062e+00 1.061282604498398507e+00
2.231280157609936143e+00 2.417936074278184133e+00 2.705421839020031527e+00 3.013171188383486410e+00 3.182960340249646691e+00 3.621446183098501415e+00 6.295712093722267699e-01 5.464738837177692155e+00 7.263396282321277209e-01 5.009988253364662469e+00 8.074822049958945147e-01 4.659562025808228647e+00 1.689180114234864805e+00 1.934090300434040799e+01 3.970176851385608607e+00 2.132246288263695888e+00 1.253028264479567611e+00 2.569730144333073341e+00 8.883384543348853413e+00 1.131775832996509523e+00 1.152467347783785234e+00 1.993120897838406291e+00 6.308528156152505950e+00 1.016923538594172838e+00
2.247294999120113879e+00 2.519913737533020281e+00 2.732353359132273951e+00 3.123456123119540351e+00 3.221088349124130890e+00 3.738070763532010066e+00 6.406864081291420154e-01 5.561219922442959707e+00 7.350318614499038450e-01 5.069943684527911110e+00 8.131586284312751767e-01 4.692317726216551854e+00 1.686111524679572815e+00 4.386054342208020707e+00 1.782195595129303811e+01 2.124906146682423724e+00 1.252385823614080795e+00 2.567263246581958036e+00 9.039666027341311860e+00 1.132324682950570205e+00 1.151008120640910182e+00 1.994449745167768961e+00 6.402966657648797799e+00 1.018354501795054157e+00
2.231209450081080181e+00 2.407517920231257769e+00 2.689847355953165042e+00 3.001375887081267901e+00 3.149780046815829682e+00 3.592660878663214152e+00 7.220465170082053241e-01 6.267433459490333370e+00 8.172272207418037615e-01 5.636892949335579495e+00 8.933310416500015450e-01 5.154951251835414361e+00 1.744451888445100129e+00 2.664162298161593156e+01 4.085786706588077521e+00 1.966684902735702289e+00 1.277834716775347657e+00 2.615594903392596926e+00 1.127213817934671702e+01 1.045790430144308392e+00 1.147226044290877489e+00 9.541683671917454035e+00 1.556963666775454058e+00 9.267557604950382721e-01
2.204139732098706617e+00 2.259833424412270642e+00 2.657795517229966986e+00 2.809549121205614064e+00 3.113306999208590220e+00 3.367480382671248496e+00 6.268629125484931341e-01 5.441230960027573893e+00 7.200313398522627528e-01 4.966476273902523886e+00 7.987972735267809821e-01 4.609445888514815515e+00 1.793280016650817821e+00 5.166006032563117856e+00 2.117741671537359949e+01 2.354544861332080963e+00 1.283673182933540824e+00 2.850575807348378898e+00 9.871052459282230629e+00 1.198311588579044962e+00 1.130026698365520943e+00 8.284705874094344225e+00 1.641614364326513753e+00 1.023270341941925121e+00
2.185454708587483807e+00 2.364219227766501064e+00 2.678081026950343446e+00 2.983627290490495465e+00 3.172884465508154506e+00 3.611799907584953395e+00 6.198489635132263809e-01 5.380349018283136608e+00 7.119733032940327444e-01 4.910895245287848709e+00 7.880595113522540496e-01 4.547483707940536135e+00 1.631343545384784655e+00 4.393421498642720024e+00 1.796527179041471456e+01 2.114461462528283597e+00 1.210589278590189499e+00 2.569756280740580934e+00 9.112214691342728656e+00 1.126416164868860648e+00 1.110895524662973699e+00 1.992503954462718552e+00 6.435504319684466346e+00 1.012198357330555076e+00
2.197765603311391924e+00 2.470885295650812719e+00 2.682995564783657638e+00 3.078641128987667397e+00 3.166586521729082726e+00 3.689793719207154599e+00 6.257267627919939068e-01 5.431368772389126853e+00 7.192651115266800455e-01 4.961191228914712426e+00 7.969925707562214301e-01 4.599031811116315538e+00 1.663238473103152426e+00 2.054877818843604942e+01 4.050072252338857481e+00 2.130803970901313349e+00 1.223602704254254103e+00 2.595260307590403492e+00 9.220650175546566629e+00 1.123751069882745535e+00 1.112584876693939906e+00 1.986569876216590202e+00 6.402581106897247132e+00 9.999023419414734271e-01
2.131374172954619617e+00 2.275980088668840384e+00 2.604583244923410756e+00 2.864432135530844192e+00 3.086181020828636878e+00 3.465740724767120362e+00 5.944702420376792862e-01 5.160059105716808148e+00 6.864345647636221903e-01 4.734739739015466853e+00 7.632174980670575204e-01 4.404133351453729972e+00 1.653796471557578585e+00 4.628486343296887462e+00 1.785821149301790456e+01 2.231704701861481954e+00 1.208061277560546376e+00 2.639064821583347875e+00 8.851945579630246641e+00 1.163774736488760730e+00 1.085773766063844015e+00 1.988020342125521811e+00 6.074608999538048337e+00 1.019574397189555226e+00
