# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
8.454598371061482709e+00 2.135102785045259299e+00 9.715468401507219909e+00 2.486188792775005041e+00 1.123946246846860220e+01 2.900414094971693224e+00 4.812578666768488889e-01 2.152059692209977282e+00 5.555148524544141209e-01 2.091738239089153684e+00 6.267662150477627536e-01 2.089751179165368900e+00 2.526919756890832147e+00 5.907861847071470329e+00 8.253140405071395236e+00 1.015664269220062010e+01 2.525956150790291677e+00 4.806571427083379255e+00 6.765579438958001290e+00 9.073687703449770936e+00 2.774325420831607047e+00 4.593285455018046193e+00 6.416479373624568439e+00 9.629923520705563789e+00
7.628845405477085784e+00 1.925467133366005834e+00 9.388138208949786900e+00 2.393943930597223879e+00 1.113294092272265878e+01 2.859352349726708820e+00 5.116605919542768222e-01 2.288012763884014866e+00 5.790330327189140425e-01 2.180293674009583071e+00 6.475177144979811228e-01 2.158940407323982846e+00 2.567751594728636011e+00 8.278275695034576387e+00 5.514197992431610906e+00 1.064234859028742619e+01 2.601142392132277603e+00 6.724749397580885635e+00 4.755622461345336838e+00 9.719001171616408641e+00 2.874206783685956168e+00 6.422210500140890233e+00 4.683764365735477497e+00 1.038513963818754604e+01
7.454984494748749135e+00 1.825138386920992284e+00 9.010938729589765828e+00 2.241879608440656479e+00 1.056931474496988699e+01 2.661311139151880223e+00 6.226694052079724262e-01 2.784415215448752701e+00 6.446782969202382585e-01 2.427474709940157460e+00 6.763566416733052256e-01 2.255094578589531551e+00 2.522590988009181245e+00 5.608754746234650312e+00 8.677219631987709292e+00 9.199493709728445268e+00 2.450438702618658482e+00 4.413677530981982677e+00 6.617454864458570007e+00 8.120789651765802475e+00 2.664876501245011298e+00 4.150888820323830330e+00 6.052172495715498535e+00 8.497552202898962292e+00
7.789267710059544214e+00 1.875220429693461366e+00 9.720812398454063086e+00 2.384196369701939933e+00 1.158650869750886514e+01 2.880986064382607736e+00 4.285460508261332846e-01 1.916346190353607204e+00 5.334978507011332027e-01 2.008835317073760063e+00 6.313453303295329944e-01 2.105018777202470215e+00 2.713391181416105358e+00 6.146289939735296137e+00 6.980481032509129768e+00 2.369603719272804554e+01 2.824901205029868301e+00 5.340331276039208319e+00 6.332753456364224931e+00 1.957884139233777177e+01 3.095317336338071268e+00 5.180186868992138649e+00 6.265714564932946651e+00 1.899470696898417188e+01
7.392191518745427459e+00 1.890616658001201600e+00 9.132960474188656974e+00 2.362408133651817010e+00 1.089041997979606613e+01 2.835150436911316962e+00 5.177756267789515032e-01 2.315357580200923415e+00 5.934025874807042911e-01 2.234400900015260039e+00 6.654780258764456669e-01 2.218823341078546285e+00 2.549045952439444651e+00 5.558615520865636483e+00 8.113264143869946210e+00 8.507379928225221377e+00 2.591247128508644249e+00 6.755770003108913180e+00 4.599302151118552118e+00 8.023919621296302651e+00 2.883752701768468096e+00 6.419895570799407203e+00 4.543844384911790435e+00 8.924798312178532811e+00
7.381430072889533456e+00 1.970449318648235026e+00 9.284462402965786509e+00 2.490106102933479892e+00 1.111255626121784346e+01 2.992732404791275336e+00 5.297143350891110325e-01 2.368744375153843951e+00 6.150763752742444135e-01 2.316011509468846263e+00 6.851338996921184643e-01 2.284359548916111038e+00 2.665336080543489583e+00 6.020404186121380619e+00 9.005171085770816930e+00 8.361721282417036605e+00 2.733267928235876720e+00 5.130678384801944603e+00 7.711575363098361002e+00 7.937244995213078802e+00 2.979438257758233899e+00 4.953022672604154408e+00 7.391523679239776712e+00 8.515663527345390449e+00
7.689631088120931324e+00 1.877766041367318062e+00 9.652684698116150486e+00 2.392204000057126745e+00 1.154468917840578612e+01 2.890946690540689978e+00 4.276593878271205407e-01 1.912381265024382104e+00 5.378185581521627290e-01 2.025104532687476144e+00 6.305894956006742325e-01 2.102498683674370650e+00 2.737064911303929815e+00 6.337327380363855234e+00 7.443624798624608019e+00 1.943278237784456763e+01 2.834980467935371617e+00 5.438015611696558338e+00 6.615148303818409126e+00 1.700869462694869938e+01 3.110813788904898569e+00 5.281827444669058735e+00 6.508035237343523960e+00 1.733998577926509199e+01
7.620826197204512376e+00 1.935856033173949386e+00 9.515255714602337989e+00 2.444817562659108212e+00 1.135521373285006241e+01 2.940529606954821684e+00 5.109555452104439510e-01 2.284859956086461086e+00 6.116382600046645912e-01 2.303065590096422088e+00 6.932199896420389029e-01 2.311320024526036132e+00 2.817589415999930846e+00 6.064516394334173555e+00 8.242532715543333666e+00 1.063503088124693896e+01 2.903427654296608207e+00 5.215078960757264959e+00 7.172144171731073214e+00 1.016343165958297057e+01 3.181889906245112698e+00 5.091878815946118131e+00 6.974161877320794289e+00 1.104893933350751922e+01
7.276575433845325236e+00 1.823377427865413125e+00 9.133888025169984104e+00 2.317641692265543174e+00 1.095933644483879021e+01 2.805702120165582070e+00 4.509624325343163376e-01 2.016586447596103948e+00 5.521497337003790085e-01 2.079067201272587706e+00 6.454008699259087267e-01 2.151882469125894648e+00 2.707344030050648165e+00 6.165439987067961702e+00 7.847705318659826901e+00 1.274961691070528325e+01 2.752137600943380669e+00 5.117852846796506761e+00 6.675546275282289166e+00 1.147085639362444631e+01 3.033582831127025869e+00 6.441972715043360331e+00 4.965531937165790666e+00 1.206929231722010343e+01
7.086771291845277432e+00 1.890964761943216610e+00 8.881976834020839817e+00 2.382709983002830878e+00 1.069171559664494886e+01 2.873272900472869207e+00 6.366680835383745629e-01 2.847013685298384722e+00 6.978549804756384312e-01 2.627706426232419901e+00 7.542764914678186106e-01 2.514893372924639880e+00 2.629264665061498807e+00 5.349865114568789437e+00 8.936551190896052432e+00 6.534918312841095478e+00 2.671985120185010665e+00 7.334784937781428482e+00 4.449124318306155068e+00 6.222742298611906975e+00 2.985843897725545038e+00 4.413689851102431838e+00 6.979504069419001588e+00 7.013495628433494389e+00
7.354461681559443242e+00 1.880882070435244025e+00 9.076501746081289568e+00 2.348206567165610714e+00 1.079116058493666941e+01 2.813202268445254006e+00 5.572164395832662764e-01 2.491726637609927852e+00 6.216192144061519764e-01 2.340647908589972737e+00 6.872316025695615060e-01 2.291353657415731160e+00 2.630332599539447536e+00 5.703125251144189001e+00 8.492798258978757175e+00 8.762963317404887320e+00 2.635646774982110863e+00 4.676825526312070380e+00 6.916198237213460942e+00 8.017100728193504722e+00 2.904475941199142319e+00 4.513178456756104850e+00 6.570336517892052086e+00 8.643694199852371085e+00
