# XC11_off_x XC11_off_y XC13_off_x XC13_off_y XC15_off_x XC15_off_y BA_5 MA_5 BA_6 MA_6 BA_7 MA_7 AC11_amp AC11_sig_x AC11_sig_y AC11_theta AC13_amp AC13_sig_x AC13_sig_y AC13_theta AC15_amp AC15_sig_x AC15_sig_y AC15_theta 
2.871874811446260001e+00 4.534494474942206921e+00 2.926685389842702545e+00 4.767067144798426526e+00 3.111151996919429674e+00 5.186237761645563715e+00 5.478959173402894178e-01 3.697070382903779873e+00 6.293424334456060310e-01 3.445560088124568487e+00 6.981345514221475312e-01 3.250799869408639076e+00 1.963257504150111465e+00 5.480440228321599605e+00 1.322470095213087404e+01 2.541287406208002864e+00 1.803337893224258082e+00 3.662756273509954585e+00 1.013804039153031411e+01 2.269092483945283956e+00 1.866048297054888616e+00 2.914905143626794537e+00 9.578679719106091284e+00 2.091025863794409023e+00
1.953643780966126897e+00 3.133609805018163552e+00 2.375411223492372326e+00 3.907355979701903514e+00 2.696995042487713157e+00 4.528985513041028810e+00 5.843019478321427318e-01 3.942729661235280680e+00 6.705714948801630992e-01 3.671283306697487703e+00 7.433990959186946856e-01 3.461570047470016842e+00 1.983888176227247779e+00 1.631236015416837049e+01 4.652512238075737550e+00 2.533328890703184566e+00 1.777430718299146895e+00 3.521519965348667736e+00 1.031820538326408432e+01 2.171709483719052702e+00 1.799386496502207500e+00 8.467094628163533088e+00 3.054766231155731315e+00 1.931802488653498129e+00
1.878842514170733669e+00 2.975283965494572858e+00 2.254116379825729322e+00 3.672938886554078852e+00 2.541352156392381989e+00 4.239349396447066987e+00 5.188115531347020637e-01 3.500816130281386052e+00 6.128711680826293140e-01 3.355382272188248027e+00 6.947690320519860352e-01 3.235128605144816483e+00 2.093838542601849095e+00 1.633256283181963298e+01 5.334273302121966154e+00 2.733406980084243543e+00 1.819834262652060497e+00 3.759709502735027797e+00 9.665239360058579976e+00 2.238949171706914321e+00 1.811501619448464107e+00 2.765816052579349815e+00 8.500627595918132329e+00 1.931395152565348550e+00
2.030890193963816870e+00 3.223725919372584681e+00 2.443986795860944916e+00 3.996753664747512591e+00 2.765313093927085131e+00 4.634813888435161289e+00 5.335822967525948313e-01 3.600485521151066681e+00 6.144451222431687176e-01 3.363999456417256173e+00 6.871377513549078442e-01 3.199594264576615998e+00 1.902129841338615401e+00 5.338251584933504823e+00 1.273793488217549985e+01 2.523747138391057909e+00 1.746116566520911073e+00 3.562057966880712190e+00 9.851781832522814142e+00 2.236289712592421708e+00 1.802340319351003917e+00 2.817192918414618497e+00 9.298645658321627039e+00 2.041935973832175844e+00
1.942918314775642807e+00 3.195983483601204878e+00 2.337332416327076778e+00 3.939952787611230356e+00 2.646590994316518675e+00 4.548892444962522319e+00 5.888372016634622064e-01 3.973332402407832920e+00 6.704288344127138366e-01 3.670502255010987813e+00 7.381755296660063026e-01 3.437246990527501822e+00 1.965131031039271559e+00 1.643461813586575815e+01 4.594305852092070985e+00 2.304564118418085172e+00 1.759821069879764055e+00 1.042925997999242860e+01 3.356866616721292829e+00 2.019873486674538476e+00 1.815642357978332067e+00 8.372850220992869907e+00 3.048830037102885360e+00 1.866658586877740111e+00
2.003964378984963268e+00 3.196461982704556171e+00 2.443179984615343692e+00 3.986142136954466064e+00 2.790923967672778172e+00 4.639732772899486157e+00 5.886549444117834540e-01 3.972102569983795739e+00 6.720328314975986261e-01 3.679283974183042982e+00 7.379744456950052545e-01 3.436310659759344244e+00 2.024412192085863538e+00 1.523499807741511525e+01 4.504781781436335564e+00 2.548970783480237756e+00 1.862956406463228687e+00 1.027474794189567575e+01 3.451772919721971533e+00 2.289614060043510424e+00 1.924087816970795561e+00 8.417077157617356420e+00 3.188971185606492842e+00 2.110662599744790757e+00
1.946727087257890787e+00 3.171224012355066346e+00 2.372470954262509313e+00 3.957586576731018102e+00 2.704151356711069099e+00 4.594544093208603464e+00 6.006389322359620975e-01 4.052967661013539669e+00 6.827597797408087033e-01 3.738012432298619903e+00 7.502821446187647458e-01 3.493620357788124409e+00 1.942145389882219852e+00 1.646035734215601920e+01 4.496944936253102654e+00 2.371792400673613965e+00 1.755585696308532562e+00 1.077528200558591642e+01 3.357090866148698893e+00 2.085643814085511139e+00 1.789416237792476272e+00 8.617021965894752000e+00 3.033584687288508608e+00 1.891456746417838675e+00
2.012666815421257471e+00 3.334525367447650268e+00 2.421987099000275645e+00 4.113118419573511986e+00 2.741146155941707185e+00 4.743847168777010737e+00 6.660504942376876958e-01 4.494349156211387530e+00 7.495297109451132256e-01 4.103568304659042987e+00 8.161187961980816974e-01 3.800182749031907115e+00 2.087966100123966662e+00 5.194142899405729707e+00 1.469880751662039131e+01 2.221424521170676236e+00 1.908525881995517981e+00 3.472309032945076535e+00 1.098005729937335317e+01 2.012364279428352276e+00 1.960618323079678982e+00 9.089336423801716691e+00 3.081357105818158804e+00 1.865205431660763358e+00
2.003474874155035224e+00 3.194055221992803340e+00 2.440669150550355493e+00 3.980727728111279617e+00 2.778719718519122139e+00 4.615223919471892700e+00 5.911583405961102766e-01 3.988994856778536935e+00 6.715704538064498630e-01 3.676752485067028786e+00 7.403903632585299155e-01 3.447560159052090345e+00 2.033627744855817099e+00 1.541487815616278745e+01 4.575710873607230056e+00 2.555444064083470579e+00 1.860075433451837235e+00 1.032173770832937265e+01 3.474576890767751891e+00 2.276023882547627775e+00 1.907080557282802458e+00 8.370623513283623751e+00 3.172526325299344307e+00 2.075462007816196941e+00
1.977740624976090711e+00 3.190141766913004329e+00 2.400464650324945381e+00 3.965022334082342503e+00 2.731624703735592075e+00 4.597576565135068627e+00 5.713268319932505168e-01 3.855176662755513295e+00 6.517063076284703715e-01 3.567999116961068751e+00 7.223927210404379462e-01 3.363755807957314659e+00 1.947476888337673184e+00 5.145392378806277200e+00 1.260413732563911182e+01 2.400841358235216827e+00 1.795385124151540834e+00 3.452054013599856752e+00 9.629046891893983329e+00 2.165283805772154402e+00 1.857320552918293677e+00 2.744203386483828666e+00 9.045769973563174915e+00 2.000984618568266704e+00
1.898857847351537842e+00 3.127307913147577167e+00 2.307845681162462359e+00 3.880921711117502948e+00 2.631026766238449000e+00 4.501088242870904033e+00 5.909660754770347246e-01 3.987697483613049432e+00 6.696481362029240714e-01 3.666228090340178269e+00 7.354936512150070937e-01 3.424759118396415225e+00 1.979433692046409732e+00 5.326591011466754289e+00 1.353765023393063771e+01 2.368308486327956430e+00 1.798655368730575965e+00 3.509202276306965018e+00 1.008194423616575541e+01 2.108705658085575863e+00 1.827295826691830882e+00 2.725811659784778573e+00 9.229355075122850138e+00 1.913448246998366020e+00
1.951712752566598486e+00 3.222483253032881745e+00 2.377548970352347801e+00 4.010885305262164913e+00 2.707243755077585856e+00 4.642838541387951601e+00 5.906175363449145399e-01 3.985345660899738185e+00 6.669667247056026982e-01 3.651547737811423389e+00 7.368061986191573043e-01 3.430870865301671735e+00 1.956287771203511827e+00 1.581285665525236617e+01 4.487174515460525370e+00 2.291328892735090328e+00 1.807431465751469624e+00 3.517028448102116123e+00 1.020650502060262710e+01 2.080412887731647675e+00 1.875846687598120566e+00 8.475042238858730315e+00 3.125046709791852617e+00 1.942436766263731851e+00
1.826358202775765438e+00 3.054289253251070591e+00 2.216494436687661995e+00 3.774889133846055955e+00 2.523200932963496790e+00 4.360561018535422662e+00 6.981296686648796879e-01 4.710811760959960459e+00 7.842684828466688352e-01 4.293758135019060340e+00 8.550771553078931886e-01 3.981588742900719957e+00 2.029759304490771576e+00 4.884893246743930106e+00 1.424109314999419063e+01 2.126141977937784588e+00 1.773332596771731717e+00 1.018036185822815298e+01 2.990092387369219118e+00 1.815650240976345309e+00 1.799445411565279374e+00 7.909982070755376959e+00 2.678778420400083959e+00 1.648778308644941903e+00
