# Epoch JD Elevation T225 RMS Cal_f Cal_f_err B_5 B_Err_5 m_5 m_5_err B_10 B_Err_10 m_10 m_10_err B_15 B_Err_15 m_15 m_15_err
  1  2457382.861620   62  0.109000  0.011620  1.021558  0.011038  1.000000      inf -0.000000      inf  1.000000     inf -0.000000      inf  1.000000      inf -0.000000      inf
  2  2457403.769479   56  0.057000  0.009248  1.005711  0.010069  1.065864  0.002099  0.000936  0.000139  1.079003  0.001653  0.000165  0.000028  1.082432  0.001774  0.000094  0.000014
  3  2457424.688715   47  0.041000  0.011560  1.007720  0.006409  1.026449  0.001638  0.000352  0.000108  1.029403  0.001645  0.000171  0.000028  1.030305  0.002451  0.000157  0.000019
  4  2457447.669282   59  0.043000  0.012360  0.911489  0.008766  1.139718  0.000907  0.002294  0.000060  1.164374  0.002205  0.001120  0.000038  1.200892  0.001811  0.000388  0.000014
  5  2457472.735949   51  0.056000  0.010940  0.959614  0.007784  0.938948  0.003408 -0.001449  0.000225  0.922383  0.003774 -0.000547  0.000065  0.903018  0.003947 -0.000146  0.000030
  6  2457500.711412   35  0.050000  0.011360  0.957579  0.006517  0.995929  0.001469 -0.000882  0.000097  0.991543  0.002250 -0.000708  0.000038  0.969728  0.002749 -0.000281  0.000021
  7  2457627.149051   52  0.106000  0.014420  1.009997  0.012336  0.961265  0.001308 -0.000780  0.000086  0.950224  0.001492 -0.000217  0.000026  0.937495  0.001741  0.000043  0.000013
  8  2457718.952685   63  0.062000  0.008352  1.110075  0.008609  1.026278  0.000321 -0.000007  0.000021  1.025545  0.000587  0.000040  0.000010  1.025908  0.000979  0.000035  0.000008
  9  2457790.731447   60  0.115000  0.011590  1.016257  0.005906  0.995900  0.001132 -0.000067  0.000075  0.995323  0.000630 -0.000076  0.000011  0.989942  0.000740  0.000032  0.000006
 10  2457830.684653   64  0.102000  0.011500  0.954283  0.004370  1.016042  0.001098 -0.000124  0.000072  1.019604  0.002468 -0.000331  0.000042  1.010869  0.002778 -0.000175  0.000021
 11  2457864.686921   45  0.090000  0.014550  0.859944  0.017076  1.032612  0.003222  0.000039  0.000213  1.038475  0.003654 -0.000216  0.000063  1.036593  0.003500 -0.000178  0.000027
 12  2457943.287581   53  0.047000  0.009700  1.162824  0.010975  0.946451  0.001526 -0.000535  0.000101  0.938908  0.001772 -0.000174  0.000030  0.928300  0.002112  0.000039  0.000016
 13  2457978.135556   39  0.072000  0.010070  1.012404  0.019262  1.080281  0.003194  0.000422  0.000211  1.088104  0.002822 -0.000069  0.000048  1.081850  0.003090  0.000048  0.000024
 14  2458009.096863   49  0.097000  0.010360  1.039972  0.015055  1.037754  0.002223  0.000238  0.000147  1.042315  0.001726 -0.000073  0.000030  1.036994  0.002072  0.000027  0.000016
 15  2458048.076238   64  0.089000  0.008819  1.084200  0.006401  0.950677  0.001021 -0.000875  0.000067  0.943200  0.001712 -0.000509  0.000029  0.926479  0.002143 -0.000191  0.000016
 16  2458075.994699   64  0.057000  0.010360  1.103173  0.008784  0.954117  0.000695 -0.001015  0.000046  0.944603  0.001030 -0.000524  0.000018  0.928107  0.001512 -0.000209  0.000012
 17  2458112.001736   47  0.071000  0.010080  1.016287  0.008050  0.920591  0.003562 -0.001698  0.000235  0.900338  0.003621 -0.000602  0.000062  0.878703  0.003586 -0.000156  0.000027
 18  2458157.839838   56  0.087000  0.008906  1.085391  0.011656  0.899291  0.003594 -0.001857  0.000237  0.878403  0.003445 -0.000758  0.000059  0.851719  0.003635 -0.000214  0.000028
 19  2458185.820613   37  0.106000  0.013700  0.907355  0.007019  0.915118  0.003494 -0.001624  0.000231  0.896382  0.003084 -0.000542  0.000053  0.877624  0.003748 -0.000155  0.000029
 20  2458368.142164   59  0.114000  0.012030  1.054392  0.010540  1.005311  0.001497 -0.000168  0.000099  1.003938  0.001061 -0.000146  0.000018  0.997553  0.001164 -0.000019  0.000009
 21  2458396.059977   56  0.117000  0.010750  1.101180  0.013865  1.003514  0.001375 -0.000317  0.000091  1.000875  0.000872 -0.000222  0.000015  0.993410  0.000726 -0.000075  0.000006
 22  2458424.939410   46  0.112000  0.011710  1.006620  0.014803  1.061214  0.002720  0.000506  0.000180  1.070082  0.002311 -0.000031  0.000040  1.066789  0.002745  0.000027  0.000021
 23  2458455.955359   64  0.085000  0.007756  1.162423  0.003350  0.983355  0.001338 -0.000438  0.000088  0.983451  0.001902 -0.000510  0.000033  0.967438  0.002306 -0.000214  0.000018
 24  2458485.889560   63  0.099000  0.008567  1.124714  0.004350  0.969730  0.000915 -0.000740  0.000060  0.967604  0.001812 -0.000702  0.000031  0.946055  0.002356 -0.000295  0.000018
 25  2458519.864954   51  0.053000  0.008279  1.087024  0.009766  0.952596  0.002786 -0.001642  0.000184  0.936646  0.003236 -0.000868  0.000055  0.905950  0.003569 -0.000248  0.000027
 26  2458552.695937   64  0.076000  0.012660  0.820423  0.009135  1.026901  0.000575 -0.000197  0.000038  1.027697  0.001993 -0.000214  0.000034  1.022216  0.002667 -0.000117  0.000020
