# Epoch JD Elevation T225 RMS Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y B_5 B_5_err m_5 m_5_err Covariance XCorr_offset_x, XCorr_offset_y
  1  2457382.861620   62  0.109000  0.011620  1.021558  0.011038   0   0  1.000000      inf -0.000000      inf      inf   0.0853   0.0978
  2  2457403.769479   56  0.057000  0.009248  1.005711  0.010069  34  10  1.065864  0.002099  0.000936  0.000139 -0.000000  -0.7011  -2.7782
  3  2457424.688715   47  0.041000  0.011560  1.007720  0.006409  42  11  1.026449  0.001638  0.000352  0.000108 -0.000000  -3.0031  -7.3636
  4  2457447.669282   59  0.043000  0.012360  0.911489  0.008766  19   3  1.139718  0.000907  0.002294  0.000060 -0.000000  -0.7187  -2.8842
  5  2457472.735949   51  0.056000  0.010940  0.959614  0.007784  41  29  0.938948  0.003408 -0.001449  0.000225 -0.000001  -1.9381   7.7607
  6  2457500.711412   35  0.050000  0.011360  0.957579  0.006517  42  29  0.995929  0.001469 -0.000882  0.000097 -0.000000  -7.1921   5.7026
  7  2457627.149051   52  0.106000  0.014420  1.009997  0.012336  43  15  0.961265  0.001308 -0.000780  0.000086 -0.000000   0.1254  -4.0390
  8  2457718.952685   63  0.062000  0.008352  1.110075  0.008609  -5   0  1.026278  0.000321 -0.000007  0.000021 -0.000000   0.9707   0.9291
  9  2457790.731447   60  0.115000  0.011590  1.016257  0.005906  12   2  0.995900  0.001132 -0.000067  0.000075 -0.000000   0.1354  -1.4711
 10  2457830.684653   64  0.102000  0.011500  0.954283  0.004370   1  20  1.016042  0.001098 -0.000124  0.000072 -0.000000 -15.0097   3.0718
 11  2457864.686921   45  0.090000  0.014550  0.859944  0.017076  43  30  1.032612  0.003222  0.000039  0.000213 -0.000001  -6.5967   7.1143
 12  2457943.287581   53  0.047000  0.009700  1.162824  0.010975  45  15  0.946451  0.001526 -0.000535  0.000101 -0.000000   0.3221  -5.1381
 13  2457978.135556   39  0.072000  0.010070  1.012404  0.019262  27  -8  1.080281  0.003194  0.000422  0.000211 -0.000001  -6.4779 -13.9280
 14  2458009.096863   49  0.097000  0.010360  1.039972  0.015055  45  14  1.037754  0.002223  0.000238  0.000147 -0.000000  -1.5378  -5.1134
 15  2458048.076238   64  0.089000  0.008819  1.084200  0.006401 -15  11  0.950677  0.001021 -0.000875  0.000067 -0.000000  -8.9796   3.1568
 16  2458075.994699   64  0.057000  0.010360  1.103173  0.008784 -21   6  0.954117  0.000695 -0.001015  0.000046 -0.000000  -6.9273   2.6732
 17  2458112.001736   47  0.071000  0.010080  1.016287  0.008050  40  28  0.920591  0.003562 -0.001698  0.000235 -0.000001 -13.3930   7.9970
 18  2458157.839838   56  0.087000  0.008906  1.085391  0.011656  38  29  0.899291  0.003594 -0.001857  0.000237 -0.000001 -10.2429   8.5110
 19  2458185.820613   37  0.106000  0.013700  0.907355  0.007019  42  29  0.915118  0.003494 -0.001624  0.000231 -0.000001  -6.7267   9.9932
 20  2458368.142164   59  0.114000  0.012030  1.054392  0.010540  18   4  1.005311  0.001497 -0.000168  0.000099 -0.000000  -1.4286  -1.1652
 21  2458396.059977   56  0.117000  0.010750  1.101180  0.013865  26   6  1.003514  0.001375 -0.000317  0.000091 -0.000000   0.0525   0.1818
 22  2458424.939410   46  0.112000  0.011710  1.006620  0.014803  39   7  1.061214  0.002720  0.000506  0.000180 -0.000000  -6.0693 -10.4889
 23  2458455.955359   64  0.085000  0.007756  1.162423  0.003350 -21  10  0.983355  0.001338 -0.000438  0.000088 -0.000000 -14.7243   2.3647
 24  2458485.889560   63  0.099000  0.008567  1.124714  0.004350  -4  19  0.969730  0.000915 -0.000740  0.000060 -0.000000 -17.5064   3.0754
 25  2458519.864954   51  0.053000  0.008279  1.087024  0.009766  38  27  0.952596  0.002786 -0.001642  0.000184 -0.000000 -14.8898   6.5486
 26  2458552.695937   64  0.076000  0.012660  0.820423  0.009135 -21  10  1.026901  0.000575 -0.000197  0.000038 -0.000000 -15.3927   1.6983
 27  2458580.696875   54  0.071000  0.011540  0.948547  0.010460  39  28  0.952841  0.003687 -0.001084  0.000243 -0.000001 -12.7661   7.9467
 28  2458708.199931   56  0.101000  0.009675  1.103383  0.011539  31   7  0.979316  0.001823 -0.000363  0.000120 -0.000000   0.3657  -3.0307
 29  2458736.156215   62  0.065000  0.008478  1.131810  0.012280   1   0  0.979851  0.000414 -0.000412  0.000027 -0.000000   0.2009   0.4068
 30  2458766.005787   43  0.091000  0.011080  1.000168  0.018851  39   7  1.093125  0.000745  0.001022  0.000049 -0.000000  -5.7131  -9.9294
 31  2458798.911759   46  0.116000  0.011810  1.039672  0.009042  38   4  1.018815  0.001784  0.000062  0.000118 -0.000000  -4.1198 -10.1402
