# Epoch JD Elevation T225 RMS Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y B_5 B_5_err m_5 m_5_err Covariance XCorr_offset_x, XCorr_offset_y
  1  2457421.218264   45  0.091000  0.012230  0.960692  0.007592   0   0  1.000000      inf -0.000000      inf      inf   0.0519   0.0978
  2  2457442.166574   49  0.050000  0.011120  1.020799  0.007806   1   0  0.984846  0.001231 -0.000553  0.000081 -0.000000  -0.0819   0.2247
  3  2457465.138044   57  0.040000  0.012120  0.940465  0.013880  10  12  1.055917  0.004427  0.001740  0.000292 -0.000001   2.6411   2.4723
  4  2457494.036215   50  0.040000  0.010440  1.103520  0.008767   6   4  0.939391  0.002355 -0.002375  0.000156 -0.000000   0.8179   0.0320
  5  2457529.884687   35  0.077000  0.013870  0.979625  0.007272 -13 -12  0.996186  0.001439 -0.000824  0.000095 -0.000000  -1.8016  -1.4199
  6  2457591.921343   61  0.096000  0.011960  0.978846  0.010333  -8  13  0.964806  0.003287 -0.001136  0.000217 -0.000001  -4.6394  13.9463
  7  2457627.708148   63  0.087000  0.011100  1.001516  0.007984 -16   1  0.956693  0.002182 -0.001994  0.000144 -0.000000   2.4495   6.1273
  8  2457660.716678   63  0.094000  0.012480  0.952170  0.009485 -11  15  0.986729  0.002643 -0.002004  0.000174 -0.000000  -3.4235  14.1931
  9  2457807.154190   45  0.097000  0.010190  1.062366  0.013887  -4  -3  1.032988  0.002279 -0.000847  0.000150 -0.000000  -0.8555   0.8905
 10  2457833.076829   41  0.066000  0.010580  1.016504  0.007503  -7  -7  1.046909  0.002640 -0.000321  0.000174 -0.000000  -0.7744  -0.8513
 11  2457847.058218   46  0.063000  0.010180  1.028168  0.007194   2  -1  1.044862  0.001160  0.000023  0.000077 -0.000000   0.9661  -0.4904
 12  2457861.023611   49  0.057000  0.008945  1.117932  0.008603   2   3  0.977511  0.000895 -0.001573  0.000059 -0.000000   0.0226   0.8988
 13  2457878.939618   38  0.046000  0.008076  1.162075  0.009345 -11  -8  0.997642  0.001702 -0.002704  0.000112 -0.000000  -1.9826   0.1104
 14  2457893.121111   55  0.105000  0.012070  1.036333  0.009858  -5  16  0.996101  0.004079 -0.001927  0.000269 -0.000001  -5.3653  11.2492
