# Epoch JD Elevation T225 RMS Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y B_5 B_5_err m_5 m_5_err Covariance XCorr_offset_x, XCorr_offset_y
  1  2457378.728461   54  0.064000  0.011820  1.007666  0.015136   0   0  1.000000      inf -0.000000      inf      inf   0.0016   0.0006
  2  2457402.826019   66  0.072000  0.009275  1.035233  0.008043  -6   6  0.923438  0.010290  0.000127  0.000679 -0.000006  -5.7526   5.9729
  3  2457423.767616   67  0.037000  0.012900  0.958525  0.014201  -8   6  1.056168  0.016303  0.001418  0.001076 -0.000015  -7.8903   5.8771
  4  2457444.789607   44  0.054000  0.012060  0.959124  0.013335  -3  13  0.959656  0.004139 -0.001066  0.000273 -0.000001  -3.3062  14.3466
  5  2457465.746725   39  0.048000  0.011170  0.934664  0.017218  -1  14  0.999439  0.008405  0.000151  0.000555 -0.000004  -1.2723  14.9960
  6  2457495.679271   35  0.036000  0.011570  0.915382  0.004538  -2  14  0.990041  0.011469  0.000996  0.000757 -0.000008  -2.0864  14.8943
  7  2457627.298495   39  0.082000  0.014970  0.959331  0.017476  -2  15  0.916523  0.008951 -0.002203  0.000591 -0.000005  -2.3910  16.2591
  8  2457718.750069   40  0.049000  0.009727  1.211807  0.030727   2  -2  0.843438  0.005758 -0.002432  0.000380 -0.000002   1.5901  -2.1466
  9  2457793.821759   46  0.089000  0.012240  1.018267  0.024943  -4  13  1.109007  0.010108 -0.000023  0.000667 -0.000006  -4.6755  14.9491
 10  2457832.726424   43  0.086000  0.011410  0.966883  0.004335  -2  14  0.916499  0.006197 -0.001775  0.000409 -0.000002  -2.2323  15.2811
 11  2457929.209711   50  0.098000  0.011750  0.917410  0.009113   2  -2  0.943328  0.005857 -0.000780  0.000387 -0.000002   1.8549  -1.7611
 12  2457967.125857   57  0.089000  0.009600  1.054951  0.005956   1   0  0.882075  0.005417 -0.001396  0.000358 -0.000002   0.9759   0.0489
 13  2457999.314676   30  0.043000  0.011240  1.221320  0.029949  -1  15  0.814275  0.009276 -0.002470  0.000613 -0.000005  -1.4558  16.4005
 14  2458026.926458   47  0.077000  0.010700  1.112196  0.025056   2  -1  0.905899  0.004919 -0.001695  0.000325 -0.000001   1.8815  -0.8467
 15  2458057.132500   38  0.103000  0.015350  1.015801  0.032793  -2  13  0.867556  0.010686 -0.003042  0.000706 -0.000007  -2.2648  14.1798
 16  2458095.777454   57  0.101000  0.010070  1.084386  0.027403   3   0  0.936348  0.005601 -0.001320  0.000370 -0.000002   2.8787  -0.0460
 17  2458129.704433   63  0.098000  0.009842  1.054835  0.020415   1  -2  0.916099  0.007103 -0.001556  0.000469 -0.000003   1.0331  -2.0052
 18  2458158.786690   56  0.091000  0.008990  1.129984  0.016785  -5  11  0.912038  0.008457 -0.001057  0.000558 -0.000004  -5.0229  11.2281
 19  2458188.737431   48  0.101000  0.011810  0.931483  0.021298  -3  12  0.930427  0.007646 -0.001731  0.000505 -0.000003  -2.9491  12.3557
 20  2458368.228935   52  0.114000  0.012180  1.118525  0.030927  -2  16  0.895750  0.007842 -0.001626  0.000518 -0.000004  -2.2409  17.0207
 21  2458368.274178   39  0.110000  0.014840  1.062396  0.047574   1   0  0.886809  0.005173 -0.002347  0.000342 -0.000002   0.8365   0.1174
 22  2458395.897766   39  0.100000  0.010860  1.151557  0.048895   1  -1  0.864529  0.005598 -0.001884  0.000370 -0.000002   1.0083  -1.1090
 23  2458424.840972   49  0.102000  0.009569  1.128607  0.046462   1  -3  0.850962  0.006266 -0.001934  0.000414 -0.000002   0.9506  -2.9330
 24  2458455.723148   36  0.063000  0.008093  1.204103  0.047114   2   0  0.903113  0.006066 -0.001355  0.000401 -0.000002   1.8832   0.0525
 25  2458486.698275   56  0.072000  0.008883  1.128906  0.028491  -4  10  0.886721  0.008316 -0.001146  0.000549 -0.000004  -3.8724   9.7785
 26  2458523.791343   58  0.053000  0.008048  1.095577  0.031434  -3  15  0.992215  0.006899 -0.001359  0.000456 -0.000003  -3.3802  16.1695
 27  2458552.762164   43  0.088000  0.012510  0.895188  0.032294  -2  16  1.185580  0.010773 -0.000283  0.000711 -0.000007  -2.0733  16.5706
 28  2458584.680660   40  0.111000  0.018800  0.765405  0.034111   1  -1  0.922310  0.005955 -0.002447  0.000393 -0.000002   0.8087  -1.0595
 29  2458677.133750   44  0.118000  0.012340  1.077067  0.033347   1  -1  0.868303  0.005259 -0.002044  0.000347 -0.000002   0.9543  -1.0195
 30  2458708.077477   52  0.107000  0.010080  1.110387  0.035420   1  -3  0.866799  0.006454 -0.001825  0.000426 -0.000002   0.8750  -3.1794
 31  2458736.053796   67  0.065000  0.008953  1.158846  0.024803   0  -2  0.946366  0.006687 -0.000495  0.000442 -0.000003   0.2778  -1.9135
 32  2458765.962095   64  0.096000  0.010130  1.034343  0.026479   1   0  0.866627  0.006236 -0.002487  0.000412 -0.000002   1.0592  -0.0872
