# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC7_offset_x XC7_Offset_x_err XC7_offset_y XC7_Offset_y_err XC9_offset_x XC9_Offset_x_err XC9_offset_y XC9_Offset_y_err XC11_offset_x XC11_Offset_x_err XC11_offset_y XC11_Offset_y_err BA7 BA7_err MA7 MA7_err BA9 BA9_err MA9 MA9_err BA11 BA11_err MA11 MA11_err AC7_amp AC7_amp_err AC7_sig_x AC7_sig_x_err AC7_sig_y AC7_sig_y_err AC7_theta AC7_theta_err AC9_amp AC9_amp_err AC9_sig_x AC9_sig_x_err AC9_sig_y AC9_sig_y_err AC9_theta AC9_theta_err AC11_amp AC11_amp_err AC11_sig_x AC11_sig_x_err AC11_sig_y AC11_sig_y_err AC11_theta AC11_theta_err
1 OMC23_20151226_00036_850 2457382.8616204 62.0 0.109 0.01162 0.0 0.0 1.0215580205421393 0.011038462943458014 0.0 0.0 0.0 2.313456338160238 0.0 2.3686493228610948 0.0 1.0150261322193783 0.0 1.0644981135629428 0.0 0.3289322444899343 0.0 0.4762762742042078 69423.4236015067 527.972720200047 -573.9666562648588 19.19120784963106 65974.30177278536 556.6532505616835 -409.77846901063276 11.932676846491853 62542.50945117786 550.0436816459754 -305.97335472445803 7.92648798216909 72670.09547886738 1142.9492881694391 7.021331734206156 0.8086521993089053 5.525155747772882 0.4048988515076244 1.214651144478271 0.23435704024329887 71856.29104019905 1080.0188673803334 5.774856360908412 0.2788860734215587 7.511193041112228 0.5857244569535701 2.7997987080999143 0.14154525231097898 70802.42072312508 1200.36970042845 6.053167925745565 0.2546891829908162 8.06212888732097 0.5611948910213985 5.950601583738477 0.11417753196567419
2 OMC23_20160116_00019_850 2457403.7694792002 56.0 0.057 0.009248 0.47724017368344057 -2.37968348386719 1.0057105376499758 0.010068892134468233 -1.0 -4.0 -1.0340703453108517 3.6074080603043814 -3.6958153760425034 4.01301199257154 -1.002262298081547 1.3036805922637213 -3.6953782763486345 1.3813476471244188 -1.0452433662462397 0.8603651643828902 -3.71748732242537 0.9348132727129227 74402.68141361173 519.9976844305819 -591.2230387386035 18.90132443550282 71037.69162357681 564.350654391832 -431.45173570552225 12.097681927782412 67529.78256013179 570.0815249643416 -325.45058469436043 8.215246308230508 77350.79738704383 1022.2647763012295 7.269807866828541 0.7832006556333916 5.794645417396135 0.40306941653632583 4.486981928148506 0.19988988216587694 76622.85336555 991.4467744301049 7.733555305366832 0.5666428089838172 6.013469370513604 0.27494158088445636 4.478668396184114 0.12396679453013196 75664.6288088307 1121.5309214531285 8.25065404385805 0.5382281383425359 6.258009621717249 0.24732842711949393 4.469025538983779 0.10143668115211872
3 OMC23_20160206_00012_850 2457424.6887153015 47.0 0.041 0.01156 1.0974368732480215 -3.8150819696126472 1.0077195789013884 0.006409009339564273 -3.0 -7.0 -2.9397258262110313 3.405889067233995 -6.821665798429905 3.6331337815753018 -2.9302229005424465 1.2590593311866047 -6.806261753199152 1.383616067466513 -2.9662402475057377 0.8550860902197334 -6.823427338767715 0.920179108105873 71382.1519428868 533.3622791848496 -579.0787819969473 19.387112160618546 67921.73044884947 571.5425919246572 -414.476718189946 12.251851641651301 64457.588849798856 571.4053093350932 -309.6821119432256 8.234322953565858 74586.5087609264 1115.6330175224277 7.1002297151527864 0.825117959510076 5.604438402801114 0.41342993557235935 4.473253935249656 0.20835142942764867 73757.22673771998 1072.420749237422 5.861892260502057 0.28722022237202804 7.617545045149717 0.6083864366256672 2.8966481442187137 0.13027149321865772 72731.39662442391 1191.7439013316211 8.162403785260151 0.5765133309913348 6.12815358901515 0.2581833343408908 4.461563982962733 0.1059298095019949
4 OMC23_20160229_00011_850 2457447.669282399 59.0 0.043 0.01236 -0.551694907530692 -1.0194051030144877 0.9114885608337652 0.008765934741099242 -1.0 -4.0 -0.943075757045392 3.5525392515996885 -3.651966582009777 3.8083252593556693 -1.0041643304954277 1.2780015468410808 -3.6060333711197075 1.4751373071998317 -0.9845339778939888 0.5875817944797966 -3.596952315730249 0.7415299327961273 79785.1609060698 564.6303942699591 -572.8799886962156 20.523672650714474 76648.29050660382 589.1788351874042 -423.3508839787789 12.629910271561451 73523.30960447279 584.9962490537512 -328.9613752365678 8.430177236697933 82812.31740865322 1119.4191365778272 5.934073425041426 0.422136691223593 7.794514229365438 0.9301869552132495 2.754382597647567 0.21328329542322477 81972.42468659036 1048.9267099219505 8.369898929903647 0.6700236062535966 6.2307179098460175 0.28972500102624177 4.334578530020587 0.12963206490824727 80917.53337859546 1154.4024113030189 6.549026422961947 0.2616802699931664 8.992309137116083 0.6322562420267678 2.7704303947323807 0.10442234370349303
5 OMC23_20160325_00015_850 2457472.735949099 51.0 0.056 0.01094 4.615651125661402 -4.81958625182221 0.9596143497139786 0.007784448383769177 -2.0 9.0 -2.029855205184276 3.545731126157417 8.47453030281818 4.10175441214033 -2.000371354949607 1.4529273961288869 8.456994470515696 1.6129923045351284 -1.9872920586656733 0.8255607396851538 8.478766456587891 0.8950881740661946 64688.99248409218 420.1263741942688 -584.6989091221466 15.271115884287752 60950.4566933371 477.8896897179255 -406.65946508090184 10.244264701535663 57285.96403573444 497.89275426799173 -295.6824063737325 7.174959154694525 68415.33049394474 1354.0834739207653 6.191212161428256 0.6386185897281886 5.344932658621739 0.4264077129214897 0.8932448972364639 0.5032700111462566 67490.85731042274 1210.6909309644643 6.651169018817163 0.45289235575868575 5.621785704603328 0.2900470545274728 0.9618536878047124 0.2745660719257944 66348.24503280217 1307.054916307625 7.149563899601237 0.4301626541870468 5.908287946393002 0.2642971785859698 0.9965307295372909 0.20567431974102168
6 OMC23_20160422_00011_850 2457500.7114120014 35.0 0.05 0.01136 3.101173376836198 -4.68538926891084 0.9575790080383347 0.00651652163446756 -7.0 7.0 -7.048538862697427 3.794065440923769 6.7155990819609315 4.129871680582102 -7.021386715080979 1.2630147257582087 6.690648339539109 1.3603191989677799 -7.0311283084981255 0.7732254718716186 6.601653519468016 0.8128251867723548 68967.06409683087 447.44728484192285 -610.6853527034995 16.264199944266572 65287.22615001242 495.7511064303872 -435.8479746125468 10.627150348717134 61506.314831700234 514.8694124769538 -321.5532907888499 7.419603825623897 72421.62397618876 1211.0726804705184 5.455586307473176 0.41469099740156645 6.52072954142318 0.6922721883727585 2.7775258903656495 0.3124869085216811 71569.2550277479 1129.0124000155085 5.70546745876927 0.28196840284494606 6.959455175366583 0.4913509122072637 2.7778910047183216 0.18588087399996525 70532.54629780493 1241.0617534682196 5.961560975908088 0.2521957623503577 7.3985468636103855 0.4522909893222148 2.768478374170562 0.1496175977735847
7 OMC23_20160826_00020_850 2457627.149050899 52.0 0.106 0.01442 1.044320862792239 -3.7784555289887582 1.0099971463934483 0.012336424766100298 0.0 -5.0 -0.08375416955283299 3.578188535106275 -4.9043077647855 3.7803695624616247 -0.08138322473482162 1.2086769172514766 -4.888609347126277 1.2685956993672918 -0.08505918150481762 0.7134434910785932 -4.867264901020178 0.7587833446276293 66458.47198418449 513.9822203431993 -575.5041450358337 18.682669133083227 62829.46796685688 549.300961983095 -402.6592317971465 11.775069877105537 59282.732418484804 545.3444727632559 -295.2789693874512 7.858769311081615 69889.74614390597 1202.247636352919 6.709593352619428 0.8005801328541774 5.387395277130036 0.4230128049623516 4.450986182852375 0.24177479768827817 69032.24765131298 1136.0461416278968 5.635804598398348 0.2912024629459105 7.201828189881753 0.5849378227819905 6.0243259262696265 0.14701025343746088 67930.00473715723 1274.476290093898 5.9097221452073505 0.2684013025574388 7.746358800448513 0.5691254147290069 6.022986235015506 0.12060512018860935
8 OMC23_20161126_00052_850 2457718.9526851997 63.0 0.062 0.008352 0.4525208988064875 -0.4908831733329374 1.1100753344746055 0.008608570397056642 1.0 1.0 1.1776117630810177 3.968625585323404 1.0153025192044254 4.060399577503718 1.152413255869135 1.4300418359198759 1.0204351577348518 1.4869960477608388 1.132131045789123 0.5953953523661119 1.0299875034785657 0.7110926989679461 71234.61670232633 546.8369623269716 -588.1868289842671 19.876901737624856 67685.58481924837 570.2918769002492 -419.19205787009554 12.225040771280652 64175.07598436384 559.1458962304062 -312.9969195871011 8.057656847655503 74604.42788889083 1181.342231640597 5.500749325953368 0.4012257891975799 7.034186523803209 0.8151009400240482 2.7740424452114656 0.23155233494689795 73751.60748698852 1118.014699612218 5.7569393608403265 0.27805091711268903 7.53614668522567 0.5937789983933778 2.787575352591346 0.14068422433056785 72655.6447495769 1239.9395958517039 6.042415120505645 0.2544640068024459 8.092960043197202 0.5682353862282952 2.7954668064969805 0.11401932142144681
9 OMC23_20170206_00021_850 2457790.731446799 60.0 0.115 0.01159 -0.47525025267452026 -2.807297831781333 1.0162574634523651 0.005906064644995517 0.0 -2.0 -0.03025049256993384 3.5089292344500262 -1.9697455475281913 3.663931505287835 -0.03311104885142413 1.2694049875460875 -1.9619548069693167 1.350860765609645 -0.030889770364183278 0.7304954040267145 -1.9429107376751915 0.7510208079615767 69152.13107344389 493.6843598699275 -577.3592418054423 17.94486491890216 65671.32515317043 538.7821208683528 -411.78877844114925 11.549582980910731 62171.63749807417 542.0143592344358 -305.9388003638502 7.8107801699089086 72351.99375452206 1117.3911881094457 5.598245100566512 0.4190557885435332 6.863549692845239 0.7569548620560241 2.8384622900708933 0.2565828613453123 71558.31867770007 1066.2234190000531 7.340648113450795 0.5511090126525324 5.830342320986667 0.2866608026786473 1.268681357659469 0.1535712307605763 70525.00651227903 1188.6582862274677 7.883365287464943 0.5291721471929934 6.089677756528763 0.2589226091635056 4.409549548003614 0.12179123439829455
10 OMC23_20170318_00012_850 2457830.6846528016 64.0 0.102 0.0115 3.158122988996289 -2.6219241336988204 0.9542825264973365 0.004370162969735039 -10.0 5.0 -10.095924138434782 3.4464494559204226 4.867860990629765 3.5638473909862802 -10.11471384978367 1.1949135345476654 4.8646472897493425 1.3046763419116656 -10.124973829776422 0.7176388891779003 4.828181920034297 0.7172892416513944 70580.67268096581 485.0271824578964 -594.6038925896676 17.630186467827965 67100.10172991472 518.5547142018786 -429.1036312993617 11.115978931844243 63538.98769963205 523.6895729857981 -321.5306680679296 7.546708067501114 73851.8495694931 1154.9287531531654 5.554101106784797 0.4019053162506577 6.857855188884449 0.7354276265290519 2.729408645878909 0.27320410666883427 73023.39463702188 1087.1185601584434 7.328209148087609 0.5302179882016486 5.806854926580953 0.2767327929367886 1.1750470629144365 0.16268803010180358 71992.62430788475 1200.2949773328307 6.075504191358965 0.2497948236794114 7.815920060271884 0.4948683762866499 5.889559863434116 0.13075827805343543
