# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XCorr_offset_x XCorr_Offset_x_err XCorr_offset_y XCorr_Offset_y_err BA BA_err MA MA_err AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err BD BD_err MD MD_err 
1 OMC23_20151226_00036_850 2457382.8616204 62.0 0.109 0.01162 0.0 0.0 1.0215580205421393 0.011038462943458014 0.0 0.0 0.0 0.3289322444899343 0.0 0.4762762742042078 62542.50945117786 550.0436816459754 -305.97335472445803 7.92648798216909 70802.42072312508 1200.36970042845 6.053167925745565 0.2546891829908162 8.06212888732097 0.5611948910213985 1.00000000013132 inf -2.1824764218081327e-12 inf
2 OMC23_20160116_00019_850 2457403.7694792002 56.0 0.057 0.009248 0.47724017368344057 -2.37968348386719 1.0057105376499758 0.010068892134468233 -1.0 -4.0 -1.0452433662462397 0.8603651643828902 -3.71748732242537 0.9348132727129227 67529.78256013179 570.0815249643416 -325.45058469436043 8.215246308230508 75664.6288088307 1121.5309214531285 8.25065404385805 0.5382281383425359 6.258009621717249 0.24732842711949393 1.0800606257343424 0.0015979949029672957 0.00013699990497351155 2.30281505822362e-05
3 OMC23_20160206_00012_850 2457424.6887153015 47.0 0.041 0.01156 1.0974368732480215 -3.8150819696126472 1.0077195789013884 0.006409009339564273 -3.0 -7.0 -2.9662402475057377 0.8550860902197334 -6.823427338767715 0.920179108105873 64457.588849798856 571.4053093350932 -309.6821119432256 8.234322953565858 72731.39662442391 1191.7439013316211 8.162403785260151 0.5765133309913348 6.12815358901515 0.2581833343408908 1.0294749763569 0.0017539128840365242 0.00017012338127486704 2.527502934478329e-05
4 OMC23_20160229_00011_850 2457447.669282399 59.0 0.043 0.01236 -0.551694907530692 -1.0194051030144877 0.9114885608337652 0.008765934741099242 -1.0 -4.0 -0.9845339778939888 0.5875817944797966 -3.596952315730249 0.7415299327961273 73523.30960447279 584.9962490537512 -328.9613752365678 8.430177236697933 80917.53337859546 1154.4024113030189 6.549026422961947 0.2616802699931664 8.992309137116083 0.6322562420267678 1.1714293072998507 0.0022393035098950665 0.0009294055415789426 3.226982278218135e-05
5 OMC23_20160325_00015_850 2457472.735949099 51.0 0.056 0.01094 4.615651125661402 -4.81958625182221 0.9596143497139786 0.007784448383769177 -2.0 9.0 -1.9872920586656733 0.8255607396851538 8.478766456587891 0.8950881740661946 57285.96403573444 497.89275426799173 -295.6824063737325 7.174959154694525 66348.24503280217 1307.054916307625 7.149563899601237 0.4301626541870468 5.908287946393002 0.2642971785859698 0.918180773042463 0.003771179619391583 -0.00043031927070442684 5.434515710257841e-05
6 OMC23_20160422_00011_850 2457500.7114120014 35.0 0.05 0.01136 3.101173376836198 -4.68538926891084 0.9575790080383347 0.00651652163446756 -7.0 7.0 -7.0311283084981255 0.7732254718716186 6.601653519468016 0.8128251867723548 61506.314831700234 514.8694124769538 -321.5532907888499 7.419603825623897 70532.54629780493 1241.0617534682196 5.961560975908088 0.2521957623503577 7.3985468636103855 0.4522909893222148 0.9883188331608408 0.0023353758330016527 -0.0006188479239328526 3.3654287854750697e-05
7 OMC23_20160826_00020_850 2457627.149050899 52.0 0.106 0.01442 1.044320862792239 -3.7784555289887582 1.0099971463934483 0.012336424766100298 0.0 -5.0 -0.08505918150481762 0.7134434910785932 -4.867264901020178 0.7587833446276293 59282.732418484804 545.3444727632559 -295.2789693874512 7.858769311081615 67930.00473715723 1274.476290093898 5.9097221452073505 0.2684013025574388 7.746358800448513 0.5691254147290069 0.9475707081894804 0.0015526856198657217 -0.00014423000107233186 2.237521127179518e-05
8 OMC23_20161126_00052_850 2457718.9526851997 63.0 0.062 0.008352 0.4525208988064875 -0.4908831733329374 1.1100753344746055 0.008608570397056642 1.0 1.0 1.132131045789123 0.5953953523661119 1.0299875034785657 0.7110926989679461 64175.07598436384 559.1458962304062 -312.9969195871011 8.057656847655503 72655.6447495769 1239.9395958517039 6.042415120505645 0.2544640068024459 8.092960043197202 0.5682353862282952 1.025509159541598 0.0006901744481628327 4.1384644537137335e-05 9.945864885519996e-06
9 OMC23_20170206_00021_850 2457790.731446799 60.0 0.115 0.01159 -0.47525025267452026 -2.807297831781333 1.0162574634523651 0.005906064644995517 0.0 -2.0 -0.030889770364183278 0.7304954040267145 -1.9429107376751915 0.7510208079615767 62171.63749807417 542.0143592344358 -305.9388003638502 7.8107801699089086 70525.00651227903 1188.6582862274677 7.883365287464943 0.5291721471929934 6.089677756528763 0.2589226091635056 0.9943627597750179 0.0006208350877919243 -5.021558853499209e-05 8.946638267527946e-06
10 OMC23_20170318_00012_850 2457830.6846528016 64.0 0.102 0.0115 3.158122988996289 -2.6219241336988204 0.9542825264973365 0.004370162969735039 -10.0 5.0 -10.124973829776422 0.7176388891779003 4.828181920034297 0.7172892416513944 63538.98769963205 523.6895729857981 -321.5306680679296 7.546708067501114 71992.62430788475 1200.2949773328307 6.075504191358965 0.2497948236794114 7.815920060271884 0.4948683762866499 1.0192311812934975 0.0026608482624540697 -0.0003203832897076264 3.8344557500725134e-05
