# Epoch Name                       JD                 Elevation T225  RMS      Steve_offset_x        Steve_offset_y      Cal_f              Cal_f_err             JCMT_Offset_x JCMT_offset_y XC5_offset_x        XC5_Offset_x_err XC5_offset_y        XC5_Offset_y_err XC7_offset_x        XC7_Offset_x_err    XC7_offset_y        XC7_Offset_y_err    XC9_offset_x        XC9_Offset_x_err    XC9_offset_y        XC9_Offset_y_err    XC11_offset_x       XC11_Offset_x_err   XC11_offset_y       XC11_Offset_y_err   BA5                BA5_err            MA5                 MA5_err            BA7                BA7_err            MA7                 MA7_err            BA9                BA9_err            MA9                 MA9_err            BA11               BA11_err           MA11                MA11_err           AC5_amp            AC5_amp_err AC5_sig_x          AC5_sig_x_err AC5_sig_y          AC5_sig_y_err AC5_theta          AC5_theta_err AC7_amp            AC7_amp_err        AC7_sig_x          AC7_sig_x_err       AC7_sig_y          AC7_sig_y_err       AC7_theta          AC7_theta_err        AC9_amp            AC9_amp_err        AC9_sig_x          AC9_sig_x_err       AC9_sig_y          AC9_sig_y_err       AC9_theta          AC9_theta_err        AC11_amp           AC11_amp_err       AC11_sig_x         AC11_sig_x_err      AC11_sig_y         AC11_sig_y_err      AC11_theta         AC11_theta_err       ra_offset            dec_offset            length_scale       flux_cal          
  1     NGC2024_20151226_00049_850 2457382.9589236006 59.0      0.117 0.01283  0.0                   0.0                 0.9654794657825282 0.008469521448471781  0.0           0.0           0.0                 -1.0             0.0                 -1.0             0.0                 0.11182182528302824 0.0                 0.17184681093258578 0.0                 0.1068688930913027  0.0                 0.16989911383947506 0.0                 0.13029561242313573 0.0                 0.21413228017766456 227557.32081953535 908.0217232482239  -2408.978743804854  343.19992897745516 227058.26455649384 1117.6634620250927 -2218.7668670588255 201.2024206077908  226040.03754541156 1302.9554824781112 -1992.344841072561  142.0232724116638  223830.2320211288  1531.6452560035011 -1684.5356354082055 101.1367097864002  227381.72852001112 -1.0        6.0190077760463785 -1.0          8.414766333338978  -1.0          5.86578687663998   -1.0          226295.01287223762 1437.6681298564981 9.080314685677868  0.6742907585598663  6.293054763967986  0.23211185722472946 4.29126700580129   0.09270344152207644  224415.1742291999  1767.3331919746677 9.943418625828432  0.6663124592359163  6.617627600894626  0.2080792916329723  1.147382434783096  0.0732263996727123   221865.62206772278 2288.9067377933034 10.934868496475437 0.7824996891718954  6.9663713225686035 0.22051788238625736 1.1460256337052934 0.06835305410055306  0.0                  0.0                   1.0219705977892004 0.9871296311324936
  2     NGC2024_20160116_00022_850 2457403.8056133986 64.0      0.057 0.009128 2.3279916608003663    -4.863322689131263  0.987745389646519  0.013624860225072206  11.0          -7.0          11.077609620275496  -1.0             -7.333864460973587  -1.0             10.996460047583412  0.10039059625462776 -7.39251618956186   0.1657062531623951  10.972647659968032  0.1032407517936976  -7.349898740964363  0.17012533161538834 10.946356166043444  0.12196126641876191 -7.308655357735233  0.20423345135848084 257039.25917892577 886.563189227773   -2376.5457505751597 335.0893777207595  256555.9478508993  1148.8216476012565 -2191.692288260073  206.81152548695727 255709.85047962976 1364.0520149969009 -2005.4041300388083 148.6828481472343  253861.05768950516 1637.279186216651  -1749.1672637619236 108.11186557471285 256885.31286913392 -1.0        9.055123754704951  -1.0          6.422315769359852  -1.0          4.271874584393391  -1.0          256010.44634376277 1086.4354890645882 6.644965289054939  0.18028538949245712 9.700086572641451  0.5431456979844008  2.7036408639057448 0.0681010432896832   254476.89586665097 1415.6714365577996 10.48497908740346  0.5466211558314396  6.903919363586571  0.16490922027575491 1.1358126552423728 0.055446973196796666 252323.95847115482 1899.1430985956429 11.359655759630524 0.6353673281480356  7.188050086066755  0.17484194043133505 1.1391507796626765 0.05249102934999472  0.23282886082648702  -1.0015933829207597   1.116258048894779  1.276765501618895 
  3     NGC2024_20160206_00013_850 2457424.704884298  52.0      0.043 0.01114  0.6799352104725087    -4.468090371197153  1.0303573821522127 0.009868945729929102  7.0           -14.0         7.214848331189216   -1.0             -13.670401039225823 -1.0             7.183690039454149   0.09817341865840916 -13.667613310326061 0.15277919266251982 7.148271858619438   0.10570906868814058 -13.661989707056279 0.16860518178143227 7.113369894318538   0.12873758606307104 -13.653742307868526 0.21141769434222432 225117.9015770495  803.4174759643199  -2415.340755801335  303.6632909833437  224643.42739902894 1028.949579103271  -2252.746342962401  185.232083457308   223626.1592537556  1225.6131778284655 -2029.8743208860435 133.5928916435465  221453.38822547617 1475.456308780128  -1728.908777035973  97.42647538370983  224980.33694280402 -1.0        6.012256296801093  -1.0          8.101095086099726  -1.0          2.7132162427097857 -1.0          223993.83923447455 1296.2521731105496 8.705485910744628  0.5407030423674366  6.237610649419576  0.20554394145850688 1.1399739572040737 0.08948765687206849  222128.94254480756 1697.6657896341414 6.53371916914608   0.19443362702145486 9.543470510638738  0.5718813058891107  2.708971337670055  0.0734072827912149   219611.21609184207 2221.544829045085  6.851481770062644  0.20638223453208884 10.485533026840052 0.6776973882214657  5.850059153421635  0.06799026025519696  0.6445449935676493   0.9887968823225322    0.9851675749012211 0.9671708410081339
  4     NGC2024_20160229_00022_850 2457447.7382407    67.0      0.044 0.01128  -0.010667883098663834 -2.5978561092575525 1.0720867165348102 0.011533321508377603  -3.0          -2.0          -2.9384677979350897 -1.0             -1.841414036011912  -1.0             -2.972125891061154  0.0922520352310203  -1.8588351127498584 0.14277129142429576 -3.0128370132121063 0.10392167359126933 -1.8815807428375422 0.16559801056356738 -3.055819139972442  0.12914209273993352 -1.9086978251363007 0.21239243604336455 223847.5175074846  933.2182498709889  -2416.0254368203346 352.72330237634384 223371.47867226967 1215.7026183864944 -2246.5753955146834 218.85148907009795 222340.4634847332  1413.5493555707246 -2019.7303794266782 154.07810277981093 220128.38009252903 1661.2110435241837 -1712.6062144163548 109.6921215425235  224423.44865489198 -1.0        7.118029471077307  -1.0          6.142054895088926  -1.0          1.0031448549748188 -1.0          222687.45042336694 1367.5715172247099 9.058744624650188  0.6388331771348332  6.120119860146438  0.20513318436473968 1.1167405381189113 0.08329379157986991  220810.43579819458 1749.1792014172122 9.924851459243614  0.6600152306964018  6.43141643139843   0.19213646203534449 4.264463227989557  0.06824523629787839  218288.47153374983 2292.403639666547  10.891541534946173 0.7817152921317185  6.764465152122515  0.20661831562719787 1.1284087498794921 0.06454967601926918  0.18459660619473084  0.475757891964264     0.9885949351735008 0.9555551572467638
  5     NGC2024_20160325_00021_850 2457472.782083299  40.0      0.057 0.01187  4.894762218040409     -3.794386857168686  0.9299443719513029 0.012002167490530723  2.0           1.0           2.1261004043433616  -1.0             1.2095141991218838  -1.0             2.129764030938105   0.0835393236056611  1.2043142499409498  0.13412882254849554 2.135436152097583   0.09571160747009569 1.1980071294280776  0.15700541658304784 2.143080928721986   0.11946262765283659 1.1914614521785722  0.20075640132798994 239517.62229468205 1006.0319020628118 -2431.6415303445233 380.24436510212445 239040.83137102713 1179.8486663196209 -2254.450767824864  212.39703299518203 238060.9244902843  1372.7052779981643 -2037.482495181524  149.62605962480126 235955.3001653404  1593.0582013456901 -1744.9213824155183 105.19189275551449 239565.52203947026 -1.0        6.760808308380449  -1.0          7.229753979888838  -1.0          5.758104257426518  -1.0          238354.01081104594 1302.8166788285844 6.357299046570912  0.2078025147097572  9.273959302777847  0.6257798747281724  2.7554324022940833 0.07740304919160215  236579.6647808928  1632.2576924125865 10.078311600199951 0.6141541534049338  6.659131993044689  0.18691829987737751 4.317824801963434  0.06272260842443173  234158.99388723285 2134.713618224629  10.98171517933776  0.7067467061152086  6.9811073555794625 0.1969898047265399  4.3105220935468225 0.05944126403113494  0.3783012130300847   0.6285425973656515    1.0400488344862855 1.099552189577121 
  6     NGC2024_20160329_00010_850 2457476.674467601  64.0      0.053 0.008497 1.5555881070196884    -2.8644789812287907 1.0037023736837842 0.02000669340790256   2.0           0.0           1.9637388415938517  -1.0             0.15416229553699168 -1.0             1.950196578318014   0.08938013982286801 0.1418951522893792  0.1390686059183785  1.933843155094337   0.10245635401896178 0.1265939529565685  0.16393001839511753 1.9173437565911797  0.12720757905093438 0.1100343494014453  0.20995295957209495 227933.22480773384 846.0026407495636  -2308.9054149160265 319.7589600481685  227424.59684815034 1053.3552243311444 -2120.981271006545  189.62561081213158 226437.98662796852 1230.7632309949229 -1902.765084842398  134.1542535645871  224327.23390038603 1448.9854400641245 -1609.889489128002  95.6785647206315   227784.736685858   -1.0        6.807283500552464  -1.0          7.381530864608109  -1.0          2.5759462754184383 -1.0          226683.05459666322 1379.1353501307374 9.26243861845398   0.6841969724658329  6.4660322541261275 0.24018089201589704 4.290391607449537  0.09482231383260281  224822.43973367615 1726.9814952139616 10.17669703354706  0.6957482943642183  6.811913552168896  0.22013937788484758 4.290977392142001  0.07593402617319087  222386.14904359783 2183.505188548814  7.169696325683193  0.22704873931045208 11.196676350978565 0.798315211921844   2.7201809043714196 0.06882323906878009  -0.10878347521844489 0.46248688661097503   1.0717310060527403 0.9917669458428474
  7     NGC2024_20160427_00012_850 2457505.693888899  39.0      0.052 0.01342  3.08295928127772      -3.808225813645816  0.83941949328283   0.009798749892129867  1.0           1.0           0.89185316600134    -1.0             0.9731577726242335  -1.0             0.9022270344237882  0.08253551998658712 0.9656663548618951  0.13449136574510268 0.9130816055092907  0.09290382703522398 0.956049837455538   0.1562771678273286  0.9221686989455122  0.1132677015075931  0.9438456022753883  0.1961333653622189  268518.7161002286  1077.833300497716  -2282.3064683768976 407.38272083081205 268103.9742730445  1271.0253415967404 -2132.063624016716  228.81071042624188 267183.1697998464  1477.1399988807734 -1928.8788704277854 161.00953519375236 265286.3267530767  1698.4044516503552 -1664.3595573065331 112.14805511972416 269383.22111994174 -1.0        7.011262352986631  -1.0          7.649400371744454  -1.0          2.5594470899279953 -1.0          268671.8389938574  -1.0               8.620268733208135  -1.0                7.198007272016352  -1.0                4.175941868986767  -1.0                 265782.41733264393 1481.6114791019495 7.168890291836665  0.18613229394901193 11.427685942077286 0.718379725176358   5.896850708519115  0.053459417058863874 263658.0070546683  1869.9144043360113 12.366575642732842 0.7797428500759184  7.500704973361794  0.18695052970720388 1.1826801451647668 0.04891784385308113  -0.32444050199597996 -0.08052668212729941  1.2259353586267312 1.394042746112133 
  8     NGC2024_20160826_00029_850 2457627.2134028003 67.0      0.092 0.01181  1.8435510478663368    -5.039556788890646  0.990322360980081  0.022065136025845977  8.0           -4.0          8.233953523924754   -1.0             -3.955897252573436  -1.0             8.217968187449884   0.09665432148474426 -3.9271590622823283 0.14384642327219457 8.200964603384193   0.10602554566602312 -3.890743749227852  0.16528038584707375 8.18555981272334    0.13040106914903002 -3.8506564198264925 0.21167610385887914 234794.11037661103 912.8323686847331  -2599.730598389635  345.01824795053983 234191.05162135526 1208.48938389334   -2363.132400463958  217.5529532493175  233093.34433086938 1419.0954001320601 -2120.062861940652  154.68262355930884 230798.20637859122 1684.5876616265327 -1801.8214096818072 111.23571241414986 234596.92918164964 -1.0        8.251226210131158  -1.0          5.895683892904341  -1.0          1.1073405481789944 -1.0          233469.18292551953 1410.6584982522247 6.1519540404715025 0.20470607128617127 8.930141333925171  0.6022397638142438  5.827124402773916  0.08580249832926953  231529.44113439755 1802.1780529752161 6.452252739240335  0.19041610520717975 9.77882036906579   0.6208450321399154  5.833789274925179  0.06944095447059509  228872.8098720716  2372.367041872818  6.781894075704382  0.20528798988128388 10.751026494537335 0.7428616622866908  2.697900696342934  0.06542838788998953  0.7018605717742616   0.1323082422796915    0.9851912488319358 1.050467363105783 
  9     NGC2024_20161119_00099_850 2457712.1103472    47.0      0.067 0.008818 2.620444599441902     -2.751990828568756  1.0017959250622963 0.016592042852615143  1.0           2.0           1.0392432337631305  -1.0             1.9281931666231458  -1.0             1.0202564165596186  0.08261342268000266 1.9118800231242972  0.13154014758502713 1.015559617998008   0.09630290069896195 1.9152892129638417  0.15737756096118083 1.0101873961051808  0.12181505279172795 1.917081939864488   0.2044694620813478  232991.6135951552  1078.4711296937521 -2510.490712793352  407.6237705483957  232449.0123742496  1318.7214587282876 -2302.8745275059655 237.39698865846248 231445.87554455767 1521.7159768841327 -2080.1073731391575 165.86835308253922 229265.43679650914 1756.0356775851626 -1777.7972438927995 115.95352669111946 232806.1782933117  -1.0        5.8713530767418805 -1.0          8.625813161257762  -1.0          5.87052324183436   -1.0          231778.92549650252 1328.7184639456514 6.11776530870895   0.1935522442389774  9.256861104219546  0.6456123373471179  2.726864968900646  0.07267565752714325  229981.07128436444 1702.4242020160798 10.04745045311704  0.6474288912695272  6.410743859102928  0.1793720591658675  4.295599757247913  0.06057816231313157  227510.70882267962 2243.5820636563694 6.730361144842079  0.19239325908971813 10.935188468198998 0.7502404331406339  5.864918078262022  0.05837402989665167  0.11772970128939164  -0.2154205001305627   0.99187334057635   1.0380011817434895
  10    NGC2024_20161126_00053_850 2457718.9750694    68.0      0.063 0.008582 0.755937592521003     -0.7091294370401039 1.13541806238978   0.029335680967867282  2.0           -4.0          2.0703123571683193  -1.0             -3.6625259217738915 -1.0             2.039651637558279   0.0962282735299688  -3.681138177223062  0.15380012098718615 2.003560651920708   0.10593154896918697 -3.703431010731663  0.171713618476829   1.9672650429470764  0.13038031473420245 -3.7260563993640687 0.21651030186931927 224570.27948428845 875.9276925386982  -2396.7043856975884 331.06955119836647 224017.1401125638  1149.6939013136798 -2183.6344023668726 206.96855142538317 223006.88821335926 1345.2415426560367 -1959.3881983772255 146.63249099388915 220875.53194476984 1590.8842518732909 -1663.9629288194956 105.04834301414985 224379.69355341597 -1.0        8.468898170463572  -1.0          5.983552492830562  -1.0          1.1107392014983724 -1.0          223325.87534269653 1322.1761882484454 6.24951804817646   0.2099529210800106  9.170054574799309  0.6384651016376279  5.829679126369371  0.08478234378233321  221501.95214214004 1693.8263300906601 6.564074637762042  0.19628112830912753 10.05209021995817  0.6612515117383633  2.694037003461558  0.06917827878891973  219014.89641879554 2220.2635187673914 11.05907496155153  0.788425132176174   6.908614912865651  0.21104181337351777 1.1281537254013674 0.06520801440889624  0.21093707150495788  1.0124222346783256    1.0209484661954695 0.9619255718224836
