# ID Name UT JD Obs Elev Tau225 RMS RMS_unit Cal_f Cal_f_err Offset_x Offset_y
1 SERPENS_SOUTH_20160202_00058_850 "2016-02-02 18:09:36.996589" 2457421.2566782013 00058 55.0 0.093 0.01171 Jy/bm 0.9642893940967802 0.010728024019502319 0.0 0.0
2 SERPENS_SOUTH_20160223_00065_850 "2016-02-23 18:20:54.000843" 2457442.2645138986 00065 67.0 0.053 0.009764 Jy/bm 1.0419106517375334 0.0115673394259348 0.563076159277626 0.32939360881980373
3 SERPENS_SOUTH_20160317_00052_850 "2016-03-17 15:40:34.000397" 2457465.153171301 00052 59.0 0.042 0.01292 Jy/bm 0.9022730273488716 0.00882968784163168 -0.3165178439381272 0.5678565130885715
4 SERPENS_SOUTH_20160415_00048_850 "2016-04-15 13:14:40.997622" 2457494.0518633984 00048 55.0 0.04 0.01065 Jy/bm 1.0764624971650802 0.010698090425084388 0.49687033714944534 2.1077881442539943
5 SERPENS_SOUTH_20160521_00044_850 "2016-05-21 09:56:44.998147" 2457529.914409701 00044 42.0 0.074 0.01297 Jy/bm 0.9754860695728501 0.010270849478913916 2.560984737687822 3.2924709251291957
6 SERPENS_SOUTH_20160721_00011_850 "2016-07-21 08:31:20.000639" 2457590.8550926 00011 67.0 0.077 0.01162 Jy/bm 1.0098356393802794 0.007027556304484435 1.9487972808602947 2.2834599933105437
7 SERPENS_SOUTH_20160827_00017_850 "2016-08-27 05:59:49.001226" 2457627.7498726994 00017 67.0 0.092 0.01184 Jy/bm 0.9676306991639959 0.009890378916555052 2.1240118474567504 -0.8477844214826824
8 SERPENS_SOUTH_20160929_00018_850 "2016-09-29 06:14:38.999054" 2457660.7601736 00018 52.0 0.083 0.01214 Jy/bm 0.9175837980918399 0.01171358545105603 2.076370467118248 1.1047076665418174
9 SERPENS_SOUTH_20170222_00081_850 "2017-02-22 18:11:04.001226" 2457807.2576851994 00081 67.0 0.099 0.00857 Jy/bm 1.1445282234427692 0.007239643036026932 -1.653243579770583 -0.20082203342403537
10 SERPENS_SOUTH_20170322_00094_850 "2017-03-22 14:05:57.002020" 2457835.087465301 00094 45.0 0.068 0.01018 Jy/bm 1.07004772260837 0.00917516232238048 1.1645620278229714 1.7515517980311475
11 SERPENS_SOUTH_20170419_00036_850 "2017-04-19 11:29:55.000255" 2457862.9791087992 00036 38.0 0.109 0.01508 Jy/bm 1.0152438701835182 0.008000117445261173 1.630705175008826 1.5502892736184786
12 SERPENS_SOUTH_20170518_00037_850 "2017-05-18 10:39:16.001329" 2457891.9439352006 00037 49.0 0.042 0.01078 Jy/bm 1.0846890959512878 0.01061005869730744 0.4518307818208163 4.3865085441942835
13 SERPENS_SOUTH_20170616_00021_850 "2017-06-16 12:22:16.996651" 2457921.0154744983 00021 59.0 0.104 0.01088 Jy/bm 0.9920760813369195 0.010648641917490945 1.2417661393692039 2.996888724901893
14 SERPENS_SOUTH_20170714_00011_850 "2017-07-14 11:23:53.001494" 2457948.974918999 00011 49.0 0.104 0.01391 Jy/bm 0.8466098550327467 0.012949511557370163 -0.5703542449267632 2.938889717618814
15 SERPENS_SOUTH_20170812_00022_850 "2017-08-12 06:58:08.996243" 2457977.790381901 00022 67.0 0.097 0.01007 Jy/bm 1.0473443786315841 0.005037506390847985 1.6712785137979542 0.9367235443124333
16 SERPENS_SOUTH_20170912_00018_850 "2017-09-12 06:09:36.996589" 2458008.7566782013 00018 65.0 0.101 0.009999 Jy/bm 1.0802146580654417 0.019553217962651234 -0.10850260395498183 0.7522979083415127
17 SERPENS_SOUTH_20171109_00012_850 "2017-11-09 04:55:48.003030" 2458066.7054167017 00012 32.0 0.081 0.01362 Jy/bm 0.8675013955972329 0.016466635713421406 -0.5012844208597385 4.086718894117783
18 SERPENS_SOUTH_20180310_00046_850 "2018-03-10 15:33:13.999565" 2458188.1480786987 00046 55.0 0.096 0.01004 Jy/bm 1.0111327015866804 0.006328401432030196 3.1171497245879025 3.37210775155828
19 SERPENS_SOUTH_20180425_00018_850 "2018-04-25 14:50:27.003872" 2458234.1183681004 00018 67.0 0.064 0.009814 Jy/bm 1.096139365707085 0.015175214329587981 -1.9411196688888959 1.6594399370789437
20 SERPENS_SOUTH_20180614_00028_850 "2018-06-14 08:20:25.995898" 2458283.8475231007 00028 42.0 0.086 0.01071 Jy/bm 0.9711021807469474 0.010071609834862308 -1.2175207140439752 0.710468112243378
21 SERPENS_SOUTH_20180910_00013_850 "2018-09-10 05:19:11.000690" 2458371.7216551006 00013 67.0 0.086 0.01119 Jy/bm 1.0271787691496335 0.015450825686681947 2.033612915441057 -1.1913283558726206
22 SERPENS_SOUTH_20181022_00012_850 "2018-10-22 04:28:10.997815" 2458413.6862384006 00012 53.0 0.086 0.01001 Jy/bm 1.03268900022843 0.010824984979078541 0.7774502405599866 2.273470966836477
23 SERPENS_SOUTH_20190216_00037_850 "2019-02-16 16:01:21.002927" 2458531.1676042005 00037 40.0 0.034 0.009759 Jy/bm 1.0962375352530696 0.004770339232383725 0.3650749957501699 -0.05400638126624446
24 SERPENS_SOUTH_20190316_00058_850 "2019-03-16 13:47:04.997699" 2458559.0743633993 00058 34.0 0.034 0.009957 Jy/bm 1.1166007096084163 0.014317141965268919 -0.2323424339520862 2.035753460790338
25 SERPENS_SOUTH_20190331_00078_850 "2019-03-31 17:59:07.002339" 2458574.249386601 00078 56.0 0.109 0.01314 Jy/bm 0.9288493712099234 0.008048818643304671 0.9293904562730808 3.0016104516353814
26 SERPENS_SOUTH_20190507_00056_850 "2019-05-07 13:21:06.998506" 2458611.056331001 00056 67.0 0.084 0.009138 Jy/bm 1.1023722437425805 0.014981213318971327 1.4924191862130176 0.7515918154889104
27 SERPENS_SOUTH_20190524_00051_850 "2019-05-24 11:30:27.996576" 2458627.979490701 00051 63.0 0.115 0.01216 Jy/bm 1.0192495155016323 0.01560344477905765 1.13632159943597 0.2137569517704789
28 SERPENS_SOUTH_20190608_00042_850 "2019-06-08 13:31:07.996895" 2458643.063287001 00042 54.0 0.109 0.01156 Jy/bm 1.0010583124050982 0.01166418410325073 0.09805388163703743 0.6417583641729171
29 SERPENS_SOUTH_20190711_00015_850 "2019-07-11 06:40:01.004076" 2458675.777789399 00015 41.0 0.064 0.009844 Jy/bm 1.043535780493295 0.010541475701044889 1.3375393197307877 1.7546544329678668
30 SERPENS_SOUTH_20190813_00016_850 "2019-08-13 04:56:18.000855" 2458708.705763899 00016 49.0 0.099 0.01256 Jy/bm 0.9389828552148168 0.003603444784526842 1.2971011858363382 -0.6521410205152067
31 SERPENS_SOUTH_20190827_00036_850 "2019-08-27 08:56:06.996396" 2458722.872303199 00036 44.0 0.098 0.01118 Jy/bm 1.0293614677425935 0.011009165083994884 1.6696794654063045 0.8991015979070138
32 SERPENS_SOUTH_20190910_00023_850 "2019-09-10 08:17:17.998044" 2458736.8453471996 00023 40.0 0.102 0.01379 Jy/bm 0.9311122460225135 0.009273785043388064 -0.2494723718559961 2.387915763543633
33 SERPENS_SOUTH_20191005_00010_850 "2019-10-05 05:01:13.998606" 2458761.7091897987 00010 62.0 0.052 0.008292 Jy/bm 1.0534887657981584 0.00945352220602395 2.103861135921166 1.3712278824724675
34 SERPENS_SOUTH_20191019_00010_850 "2019-10-19 04:40:07.003105" 2458775.694525499 00010 57.0 0.058 0.01019 Jy/bm 0.9721900410422296 0.00721399280655724 0.6349847803028703 1.313137466650821
35 SERPENS_SOUTH_20191102_00011_850 "2019-11-02 04:38:42.002721" 2458789.693541698 00011 45.0 0.107 0.01926 Jy/bm 0.8179312568536119 0.018983562671729088 0.08240936596858786 -1.822554419323254
