# Epoch JD Elevation T225 RMS Cal_f Cal_f_err B_5 B_Err_5 m_5 m_5_err B_10 B_Err_10 m_10 m_10_err B_15 B_Err_15 m_15 m_15_err
  1  2457378.728461   54  0.064000  0.011820  1.007666  0.015136  1.000000      inf -0.000000      inf  1.000000     inf -0.000000      inf  1.000000      inf -0.000000      inf
  2  2457402.826019   66  0.072000  0.009275  1.035233  0.008043  0.923438  0.010290  0.000127  0.000679  0.934842  0.007001 -0.000498  0.000120  0.917833  0.008109 -0.000130  0.000062
  3  2457423.767616   67  0.037000  0.012900  0.958525  0.014201  1.056168  0.016303  0.001418  0.001076  1.084907  0.008852 -0.000304  0.000151  1.074758  0.011045 -0.000121  0.000085
  4  2457444.789607   44  0.054000  0.012060  0.959124  0.013335  0.959656  0.004139 -0.001066  0.000273  0.954645  0.004294 -0.000658  0.000073  0.929950  0.006496 -0.000207  0.000050
  5  2457465.746725   39  0.048000  0.011170  0.934664  0.017218  0.999439  0.008405  0.000151  0.000555  1.011292  0.006842 -0.000373  0.000117  0.997511  0.008136 -0.000105  0.000062
  6  2457495.679271   35  0.036000  0.011570  0.915382  0.004538  0.990041  0.011469  0.000996  0.000757  1.009955  0.007579  0.000298  0.000130  1.027803  0.009318 -0.000103  0.000071
  7  2457627.298495   39  0.082000  0.014970  0.959331  0.017476  0.916523  0.008951 -0.002203  0.000591  0.894671  0.006941 -0.000738  0.000119  0.877311  0.010681 -0.000421  0.000082
  8  2457718.750069   40  0.049000  0.009727  1.211807  0.030727  0.843438  0.005758 -0.002432  0.000380  0.823832  0.005496 -0.001281  0.000094  0.782996  0.006839 -0.000487  0.000052
  9  2457793.821759   46  0.089000  0.012240  1.018267  0.024943  1.109007  0.010108 -0.000023  0.000667  1.117797  0.008882 -0.000464  0.000152  1.167860  0.014769 -0.001338  0.000113
 10  2457832.726424   43  0.086000  0.011410  0.966883  0.004335  0.916499  0.006197 -0.001775  0.000409  0.905763  0.005997 -0.001008  0.000103  0.880920  0.007566 -0.000523  0.000058
