# Epoch JD Elevation T225 RMS Cal_f  Cal_f_err B_5 B_Err_5 m_5 m_5_err B_10 B_Err_10 m_10 m_10_err B_15 B_Err_15 m_15 m_15_err
  1  2457382.861620   62  0.109000  0.011620  1.021558  0.011038  1.000000  0.000000 -0.000000  0.000000  1.000000  0.000000 -0.000000  0.000000  1.000000  1.000000 -0.000000  0.000000
  2  2457403.769479   56  0.057000  0.009248  1.005711  0.010069  1.057038  0.003205  0.006154  0.000884  1.071452  0.002452  0.002369  0.000345  1.074521  1.074521  0.001845  0.000250
  3  2457424.688715   47  0.041000  0.011560  1.007720  0.006409  1.023210  0.002527  0.002289  0.000697  1.023518  0.002481  0.002169  0.000349  1.019114  1.019114  0.002883  0.000347
  4  2457447.669282   59  0.043000  0.012360  0.911489  0.008766  1.119616  0.001657  0.014636  0.000457  1.123792  0.002905  0.014482  0.000408  1.164035  1.164035  0.008051  0.000216
  5  2457472.735949   51  0.056000  0.010940  0.959614  0.007784  0.952444  0.005222 -0.009477  0.001440  0.942767  0.005632 -0.007155  0.000791  0.918337  0.918337 -0.003171  0.000555
  6  2457500.711412   35  0.050000  0.011360  0.957579  0.006517  1.003733  0.002285 -0.005651  0.000630  1.014775  0.003398 -0.008795  0.000477  0.994621  0.994621 -0.005649  0.000380
  7  2457627.149051   52  0.106000  0.014420  1.009997  0.012336  0.968191  0.002031 -0.005003  0.000560  0.959299  0.002195 -0.002984  0.000308  0.938103  0.938103  0.000427  0.000248
  8  2457718.952685   63  0.062000  0.008352  1.110075  0.008609  1.026468  0.000495 -0.000084  0.000137  1.024406  0.000890  0.000473  0.000125  1.023456  1.023456  0.000635  0.000139
  9  2457790.731447   60  0.115000  0.011590  1.016257  0.005906  0.996380  0.001750 -0.000396  0.000482  0.997996  0.000948 -0.000973  0.000133  0.989120  0.989120  0.000437  0.000106
 10  2457830.684653   64  0.102000  0.011500  0.954283  0.004370  1.017132  0.001696 -0.000791  0.000468  1.029290  0.003760 -0.003936  0.000528  1.025043  1.025043 -0.003385  0.000391
 11  2457864.686921   45  0.090000  0.014550  0.859944  0.017076  1.032601  0.004976  0.000154  0.001372  1.043795  0.005543 -0.002420  0.000779  1.048805  1.048805 -0.003219  0.000496
 12  2457943.287581   53  0.047000  0.009700  1.162824  0.010975  0.951253  0.002358 -0.003448  0.000650  0.946043  0.002650 -0.002373  0.000372  0.928582  0.928582  0.000413  0.000300
 13  2457978.135556   39  0.072000  0.010070  1.012404  0.019262  1.075955  0.004918  0.002875  0.001356  1.088935  0.004272 -0.000640  0.000600  1.079754  1.079754  0.000753  0.000438
 14  2458009.096863   49  0.097000  0.010360  1.039972  0.015055  1.035299  0.003426  0.001626  0.000945  1.043948  0.002615 -0.000796  0.000367  1.036311  1.036311  0.000370  0.000294
 15  2458048.076238   64  0.089000  0.008819  1.084200  0.006401  0.958544  0.001578 -0.005642  0.000435  0.960780  0.002534 -0.006457  0.000356  0.944307  0.944307 -0.003934  0.000296
 16  2458075.994699   64  0.057000  0.010360  1.103173  0.008784  0.963246  0.001076 -0.006545  0.000297  0.963000  0.001426 -0.006691  0.000200  0.947158  0.947158 -0.004254  0.000203
 17  2458112.001736   47  0.071000  0.010080  1.016287  0.008050  0.936469  0.005442 -0.011124  0.001501  0.923245  0.005365 -0.007950  0.000754  0.895467  0.895467 -0.003427  0.000503
 18  2458157.839838   56  0.087000  0.008906  1.085391  0.011656  0.916346  0.005514 -0.012078  0.001521  0.906428  0.005064 -0.009888  0.000711  0.873789  0.873789 -0.004612  0.000507
 19  2458185.820613   37  0.106000  0.013700  0.907355  0.007019  0.930584  0.005314 -0.010724  0.001466  0.916835  0.004565 -0.007128  0.000641  0.893542  0.893542 -0.003333  0.000527
 20  2458368.142164   59  0.114000  0.012030  1.054392  0.010540  1.006539  0.002318 -0.001002  0.000639  1.008968  0.001596 -0.001849  0.000224  1.000485  1.000485 -0.000504  0.000164
 21  2458396.059977   56  0.117000  0.010750  1.101180  0.013865  1.006254  0.002129 -0.002012  0.000587  1.008544  0.001297 -0.002816  0.000182  1.000567  1.000567 -0.001559  0.000099
 22  2458424.939410   46  0.112000  0.011710  1.006620  0.014803  1.056264  0.004186  0.003378  0.001154  1.069493  0.003496 -0.000146  0.000491  1.065362  1.065362  0.000449  0.000389
 23  2458455.955359   64  0.085000  0.007756  1.162423  0.003350  0.987018  0.002084 -0.002743  0.000575  0.999664  0.002900 -0.006259  0.000407  0.986330  0.986330 -0.004291  0.000320
 24  2458485.889560   63  0.099000  0.008567  1.124714  0.004350  0.976139  0.001454 -0.004699  0.000401  0.990282  0.002762 -0.008665  0.000388  0.971949  0.971949 -0.005902  0.000322
 25  2458519.864954   51  0.053000  0.008279  1.087024  0.009766  0.967335  0.004306 -0.010578  0.001188  0.967351  0.004768 -0.011117  0.000670  0.931138  0.931138 -0.005309  0.000495
 26  2458552.695937   64  0.076000  0.012660  0.820423  0.009135  1.028852  0.000875 -0.001324  0.000241  1.034121  0.003025 -0.002569  0.000425  1.031700  1.031700 -0.002268  0.000377
 27  2458580.696875   54  0.071000  0.011540  0.948547  0.010460  0.963507  0.005638 -0.007258  0.001555  0.953671  0.005476 -0.004431  0.000769  0.943086  0.943086 -0.002690  0.000506
 28  2458708.199931   56  0.101000  0.009675  1.103383  0.011539  0.982620  0.002814 -0.002354  0.000776  0.975021  0.002564 -0.000618  0.000360  0.958844  0.958844  0.002003  0.000246
 29  2458736.156215   62  0.065000  0.008478  1.131810  0.012280  0.983629  0.000624 -0.002677  0.000172  0.978788  0.000461 -0.001541  0.000065  0.971029  0.971029 -0.000281  0.000058
 30  2458766.005787   43  0.091000  0.011080  1.000168  0.018851  1.083851  0.001127  0.006612  0.000311  1.092028  0.001412  0.004628  0.000198  1.099444  1.099444  0.003417  0.000301
