# Epoch Name JD Elevation T225 RMS Steve_offset_x Steve_offset_y Cal_f Cal_f_err JCMT_Offset_x JCMT_offset_y XC5_offset_x XC5_Offset_x_err XC5_offset_y XC5_Offset_y_err XC7_offset_x XC7_Offset_x_err XC7_offset_y XC7_Offset_y_err XC9_offset_x XC9_Offset_x_err XC9_offset_y XC9_Offset_y_err XC11_offset_x XC11_Offset_x_err XC11_offset_y XC11_Offset_y_err BA5 BA5_err MA5 MA5_err BA7 BA7_err MA7 MA7_err BA9 BA9_err MA9 MA9_err BA11 BA11_err MA11 MA11_err AC5_amp AC5_amp_err AC5_sig_x AC5_sig_x_err AC5_sig_y AC5_sig_y_err AC5_theta AC5_theta_err AC7_amp AC7_amp_err AC7_sig_x AC7_sig_x_err AC7_sig_y AC7_sig_y_err AC7_theta AC7_theta_err AC9_amp AC9_amp_err AC9_sig_x AC9_sig_x_err AC9_sig_y AC9_sig_y_err AC9_theta AC9_theta_err AC11_amp AC11_amp_err AC11_sig_x AC11_sig_x_err AC11_sig_y AC11_sig_y_err AC11_theta AC11_theta_err
1 SERPENS_SOUTH_20160202_00058_850 2457421.2566782013 55.0 0.093 0.01171 0.0 0.0 0.9642893940967802 0.010728024019502319 0.0 0.0 0.0 -1.0 0.0 -1.0 0.0 0.3224851577477279 0.0 0.4951743421043609 0.0 0.16778656223704544 0.0 0.27226780740212975 0.0 0.14636620390807897 0.0 0.2465890335483071 19555.513636333595 90.50881782879416 -263.88202618221993 34.20911775311648 19527.00963881126 90.21457629027948 -255.5956855367177 16.24047925725751 19407.904552186297 106.9600145266089 -229.84818029115738 11.65873387027949 19149.3365882122 115.68878947863226 -193.30898899412728 7.639094833273061 19553.90594296314 -1.0 5.445961092815387 -1.0 6.7508980367460945 -1.0 0.0032807405469119206 -1.0 19450.690026025157 181.4558485012948 5.60676810018173 0.2653362349270197 7.158710297923538 0.5453279384604547 6.243422686307629 0.11189520125958625 19252.33681927412 195.6136995522862 5.874733001899645 0.206396556523868 7.721404038070358 0.45624013881030434 6.194526983739933 0.07989512649153906 18982.099188685723 261.0563181542952 8.335524731597637 0.5276572285479654 6.150253071658282 0.22213884438380407 4.577428175573911 0.07924695846580898
2 SERPENS_SOUTH_20160223_00065_850 2457442.2645138986 67.0 0.053 0.009764 0.563076159277626 0.32939360881980373 1.0419106517375334 0.0115673394259348 -5.0 8.0 -4.972973236472313 -1.0 7.972373879577162 -1.0 -4.97244673075042 0.06598804631510788 7.95108695445262 0.10663152446999426 -4.971875728088094 0.0773142439921451 7.924810942289184 0.12864983565288748 -4.972840984007405 0.09971195558764542 7.896207229841963 0.17062231394330765 20841.25727468273 92.81735658817237 -290.01367698763676 35.081661765223224 20778.74999372801 93.85364376464187 -261.26090117041264 16.895585877173055 20645.731683498816 111.67455784986947 -231.15748851490508 12.172623049042244 20396.669666350383 123.37807890603221 -196.4195962603407 8.146829619135959 20819.312788588806 -1.0 6.90284755610723 -1.0 5.492426570782487 -1.0 4.559923294656584 -1.0 20690.250573977326 170.39686831941017 5.746268745622621 0.24761372518243346 7.42432410404998 0.5257828595533952 6.110468397017987 0.10660453710211776 20497.450863499485 186.86091857133133 7.988514660473839 0.44260597518714273 6.00009341358869 0.1936245742686466 1.374033075389744 0.07642487370131491 20226.641801374255 247.1181772861081 8.647960740936043 0.5097494289412768 6.274004227460276 0.20560321728569095 1.346718243699975 0.07377311769654725
3 SERPENS_SOUTH_20160317_00052_850 2457465.153171301 59.0 0.042 0.01292 -0.3165178439381272 0.5678565130885715 0.9022730273488716 0.00882968784163168 0.0 1.0 0.05727387081753932 -1.0 1.0048324025642614 -1.0 0.04281868635322894 0.06560302728632651 1.001926246128619 0.10427750921718192 0.0256730731415189 0.07568921190015064 0.9947000887207764 0.12402028705050787 0.00490177447184692 0.0958809009226794 0.9857245027280044 0.16201999493588679 22942.439456302225 78.75213617393528 -279.5254104988003 29.765511029748453 22930.291095352728 82.51407689640348 -265.1000644659081 14.854231179530435 22792.27784527587 100.61171197462625 -232.93853342437333 10.966763351095398 22565.211959969027 109.68790519155897 -200.67339288893933 7.242847931160774 22942.95112743804 -1.0 5.912676703199534 -1.0 7.150553876325233 -1.0 3.2598957274592824 -1.0 22816.47519689993 216.98070586300187 6.160896240107356 0.3544568014814152 7.674366023541315 0.6786635219413749 0.05474907345971284 0.14765158489076574 22654.190401013733 184.68925979448332 6.384946958265057 0.20988097833743638 8.144935671166321 0.4274650793301147 6.268758739547549 0.07938476074258023 22406.30129242823 244.98209820652744 6.635408378167832 0.2180364344873142 8.732886153941731 0.48050057260474677 6.20435675232398 0.07508524529995178
4 SERPENS_SOUTH_20160415_00048_850 2457494.0518633984 55.0 0.04 0.01065 0.49687033714944534 2.1077881442539943 1.0764624971650802 0.010698090425084388 -1.0 -3.0 -0.705760370404164 -1.0 -3.0926068641553854 -1.0 -0.7071984969679477 0.07192808756614648 -3.0941632319086523 0.11253818504763527 -0.7087670567719044 0.08153876974549809 -3.1003205080024543 0.13315344929851938 -0.7098616973257492 0.10363441139138226 -3.107038091807084 0.17546127402117964 18971.72242031834 87.25919956627206 -233.02348728164057 32.980881663936195 18977.565377203686 89.40482948766042 -247.9477360472845 16.09470791820707 18861.371284340836 103.85778340415361 -223.8384530047043 11.320588175159934 18613.137823016332 112.66960600524546 -189.16635203904664 7.439733873032435 18992.121099813932 -1.0 5.48839744976247 -1.0 6.792575568439872 -1.0 0.0021165219660735594 -1.0 18923.61665061509 172.5973650556378 5.568015540112182 0.25433951979663927 7.067662387955614 0.5136043362935775 6.240706539017037 0.11025270301366316 18715.966502239575 196.13337991582537 5.857854903826755 0.21112964191529293 7.670839952308207 0.46151415635269943 6.1894528818100865 0.08306828745761007 18466.51780022497 250.02505526651325 8.256577673062088 0.505285060060756 6.105168284362809 0.21433061852946617 4.571347536460374 0.07779885572406778
5 SERPENS_SOUTH_20160521_00044_850 2457529.914409701 42.0 0.074 0.01297 2.560984737687822 3.2924709251291957 0.9754860695728501 0.010270849478913916 -3.0 -6.0 -2.7390139074177 -1.0 -5.9595794040895385 -1.0 -2.750519182006599 0.06830785529247202 -5.9659352675096216 0.11211719757042485 -2.7641635411378047 0.07859719968010895 -5.970306021973272 0.13369869652553235 -2.778765729685233 0.09912630894367298 -5.975155366512581 0.17393225576531926 20133.54177228212 107.86792596258765 -262.3519617216057 40.77025191138245 20120.884348273597 102.23278079600848 -257.4482385419616 18.4040042339088 19997.407878774473 118.87506603989003 -229.8672393726157 12.957484688036585 19746.87526400281 124.46074814831957 -193.93367968237953 8.218319794632498 20137.086605622513 -1.0 5.446469690164495 -1.0 7.070254300721526 -1.0 0.06918971046540534 -1.0 20027.17581024496 201.27439724114458 5.654874347719894 0.292808438159141 7.457575587332245 0.662626555733193 0.02212837236036334 0.11067087501921548 19852.359982909238 186.9734344202836 5.904197729184876 0.19440122850926092 7.953718647901566 0.46270682869645596 6.251367275123891 0.0687109376308746 19597.082220083965 251.19580285522477 6.171342392200205 0.20962128968647256 8.534282176591294 0.5296824279077023 6.198945068161362 0.06912885361265719
6 SERPENS_SOUTH_20160721_00011_850 2457590.8550926 67.0 0.077 0.01162 1.9487972808602947 2.2834599933105437 1.0098356393802794 0.007027556304484435 -6.0 8.0 -5.94099595898885 -1.0 7.966260051317903 -1.0 -5.9456312995989435 0.06454053904948694 7.9641501587572066 0.10461352180544413 -5.948350427332457 0.07853834889485055 7.9568881290909985 0.1304424896039292 -5.952866490419581 0.10226813196151405 7.945827966707867 0.17403067353939977 20083.219517566104 100.57442567337408 -277.85846731341115 38.01355775795578 20099.446969669123 101.71515613772432 -271.26822178513146 18.310820272599248 19949.02943440454 116.5086932332085 -237.28997967392073 12.699548183379969 19699.41760179708 124.26211588638856 -202.11681052368507 8.205203729275604 20100.621821528643 -1.0 6.849306649330435 -1.0 5.383129920590968 -1.0 4.605344289268678 -1.0 19999.175031723433 227.99498251535402 7.189500178809894 0.6683279880367239 5.553662756422869 0.3128693276206404 4.579910778225095 0.1341233327044377 19813.6083003477 194.26274410487073 5.792173937582413 0.18981905192819326 7.684532222250308 0.42920814296530624 2.9753780158577183 0.07650725843201323 19522.50381551937 268.6659653623828 8.320418342500128 0.5183072236233485 6.07969454354276 0.2137426005114945 1.3688460802926592 0.07913603446922744
7 SERPENS_SOUTH_20160827_00017_850 2457627.7498726994 67.0 0.092 0.01184 2.1240118474567504 -0.8477844214826824 0.9676306991639959 0.009890378916555052 -2.0 9.0 -2.0346322016928298 -1.0 8.990517579986658 -1.0 -2.0398136311354733 0.06364316883783981 8.989495781476677 0.10482759431861945 -2.0501141111590755 0.07664256304299456 8.983428962680819 0.12977991318998305 -2.0624481195197006 0.09933591880434038 8.974370690701079 0.17260457920044645 20181.14693112975 98.38642643720183 -289.8218603150874 37.18657483378435 20123.105139893403 97.41775438767792 -260.5079549445804 17.537199931996042 19981.469024508027 116.96262304217557 -228.54999431159547 12.749026923104832 19736.28586282308 126.85692913102143 -194.14922053689074 8.376542937610235 20164.644789176335 -1.0 5.392065545256412 -1.0 6.819690508056312 -1.0 3.0370395043147784 -1.0 20030.28881989848 186.71527063980938 7.395086554866815 0.5928616363459028 5.641987669162324 0.2674045665173758 4.576657480729565 0.10897066876345864 19840.848077935338 185.54261945935824 5.889866340301218 0.189577212433659 7.96664747765879 0.4542585628472711 2.978852842795866 0.071171971045239 19572.606281221673 244.36187639124344 6.170591626679507 0.20178667927434832 8.612710176967393 0.5193664512383285 6.089215186101049 0.0698287363520918
8 SERPENS_SOUTH_20160929_00018_850 2457660.7601736 52.0 0.083 0.01214 2.076370467118248 1.1047076665418174 0.9175837980918399 0.01171358545105603 -10.0 14.0 -9.7020170690121 -1.0 14.03206886970861 -1.0 -9.704444421017456 0.07009400037396302 14.020971727678187 0.11569987024156717 -9.706689732145975 0.08058342147153792 14.004731162465191 0.13820450134989376 -9.709186766544974 0.10276657666567184 13.986515540965172 0.18167720594561923 20770.164013793747 122.88164520783657 -290.4701612833008 46.44489652687136 20738.52824820437 116.19439018114747 -275.93737979399236 20.91738133002398 20605.945404184586 133.84530979005666 -246.161497495716 14.589254368636775 20325.426308295333 140.67352002011413 -205.9762406667217 9.288872045534156 20766.33488852705 -1.0 5.271699470736894 -1.0 6.972880250145441 -1.0 6.2720010882770545 -1.0 20638.09026973387 215.4625625163219 5.4985965020166825 0.2803545487991173 7.406039566780977 0.6745749735035511 6.236642557694055 0.10390279244988782 20442.265824798465 205.31629264832605 5.750091658460187 0.1919763344692395 7.930339204096142 0.4880378626843144 6.197808967375562 0.06718398600590453 20148.346875707586 278.1231101013784 8.566897129270737 0.5739730900613578 6.040528149031104 0.21222017196065462 4.583525518370196 0.0693603296646382
9 SERPENS_SOUTH_20170222_00081_850 2457807.2576851994 67.0 0.099 0.00857 -1.653243579770583 -0.20082203342403537 1.1445282234427692 0.007239643036026932 -3.0 8.0 -3.113758084704614 -1.0 8.052905680365512 -1.0 -3.116905276435972 0.06660433212691906 8.053726112676117 0.10720027250858379 -3.121078298887795 0.07863622273082813 8.055320199635332 0.1302833842640271 -3.1267299407752205 0.10227242041038753 8.0581234296601 0.17392133991619618 20783.558486894028 97.29627001030961 -303.59834398216964 36.774533721422934 20703.668610489804 98.08634057442238 -270.06229390876814 17.65755899590384 20568.983763843466 114.59962607716835 -239.89631244571967 12.491458127922607 20303.764429793533 124.81797288006558 -203.0053017329289 8.241907874106799 20756.087953479462 -1.0 6.733781538327085 -1.0 5.360898480487125 -1.0 4.603869867975131 -1.0 20622.621009119357 166.57525045928813 7.238689945997614 0.4827696070817183 5.613351297122583 0.2285220423189809 4.57858186001476 0.09809792202054228 20415.14120862519 198.52103728473708 5.881766301852916 0.1964108791182657 7.790228487241702 0.44242385892356495 2.9749576479776794 0.078253889325155 20130.289897721534 262.10151760514873 8.416911989242763 0.506413911621529 6.166890595793937 0.21007180274595824 1.3697375088329353 0.07705666542099512
10 SERPENS_SOUTH_20170322_00094_850 2457835.087465301 45.0 0.068 0.01018 1.1645620278229714 1.7515517980311475 1.07004772260837 0.00917516232238048 -3.0 -4.0 -2.8753300332521974 -1.0 -4.1210670781000545 -1.0 -2.8640259582710996 0.06757760240665742 -4.1189374133768695 0.11059154868231477 -2.8506943980736423 0.07860293339590727 -4.111376525784436 0.13189547091836504 -2.833195783289142 0.10089203013653328 -4.103494770573832 0.1736425649962797 19562.525452569153 104.99970149435005 -247.34932399862873 39.68615942617908 19563.014563592693 98.1407078046509 -253.57800970557273 17.66734655223502 19457.299459938065 113.221665764245 -231.4262156026541 12.341259359098714 19211.868314350515 120.62986217091216 -197.30536208588197 7.965360971332677 19580.291099082417 -1.0 5.423819059324618 -1.0 6.967017623345557 -1.0 0.00726048867715458 -1.0 19515.12476312048 152.58301044785816 5.532257408771533 0.21400974358430808 7.161314951396363 0.4579429546773842 6.249833663119548 0.08759289245945384 19322.664797648686 188.6052322855884 5.790167851932362 0.19050900431976164 7.68247619035025 0.432612397574992 6.201144562179357 0.07277007486326667 19065.815961376604 251.8676427812098 6.045280247222474 0.20385642166651297 8.240760627065404 0.4915783493629304 3.0114452710326525 0.07284960631081279
